class1_high_balk,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced
0.0,1,1,18460,15405,0,15405,3055,8707,1169,5509,9.923141837065888,9.923141837065888,0.2984290357529794
0.0,1,2,18123,10173,4970,15143,2980,5202,679,4285,8.708640519020937,9.971604041471307,0.2364398830215748
0.0,2,1,18290,15427,0,15427,2863,8881,1084,5434,9.98424839566993,9.98424839566993,0.29710224166211047
0.0,2,2,18101,10348,5074,15422,2679,5215,690,4433,8.583591032083495,9.878485280767734,0.24490359648638196
0.0,3,1,18522,15369,0,15369,3153,8671,1162,5510,9.996356301646172,9.996356301646172,0.2974840729942771
0.0,3,2,18342,10220,4948,15168,3174,5243,716,4255,8.71624266144814,9.953652426160337,0.23198124522952787
0.0,4,1,18572,15570,0,15570,3002,8937,1213,5394,9.951380860629415,9.951380860629415,0.2904372173163903
0.0,4,2,18421,10191,5091,15282,3139,5138,686,4354,8.710038269060936,9.986323779609998,0.23636067531621519
0.0,5,1,18338,15333,0,15333,3005,8737,1165,5416,9.942216135133373,9.942216135133373,0.2953430035990839
0.0,5,2,18336,10328,5025,15353,2983,5233,729,4351,8.705364058869094,9.954992509607242,0.23729275741710296
0.0,6,1,18143,15393,0,15393,2750,8807,1098,5469,9.930357954914571,9.930357954914571,0.3014385713498319
0.0,6,2,18148,10390,4952,15342,2806,5293,656,4430,8.652358036573629,9.901838091513492,0.2441040335023143
0.0,7,1,18197,15278,0,15278,2919,8721,1111,5432,9.947178950124362,9.947178950124362,0.29851074352915313
0.0,7,2,18226,10240,4982,15222,3004,5121,706,4397,8.64853515625,9.922020759427145,0.2412487654998354
0.0,8,1,18238,15263,0,15263,2975,8708,1186,5349,9.980279106335583,9.980279106335583,0.2932887378001974
0.0,8,2,18205,10208,4957,15165,3040,5053,724,4416,8.706602664576803,9.953643257500824,0.24257072232903049
0.0,9,1,18340,15434,0,15434,2906,8733,1233,5446,9.984903459893742,9.984903459893742,0.2969465648854962
0.0,9,2,18192,10263,5003,15266,2926,5275,661,4322,8.72347266881029,9.968819599109132,0.2375769569041337
0.0,10,1,18454,15499,0,15499,2955,8875,1181,5418,9.95567455964901,9.95567455964901,0.2935948845778693
0.0,10,2,18138,10246,5029,15275,2863,5177,672,4385,8.647960179582276,9.92746317512275,0.24175763590252508
0.0,11,1,18113,15219,0,15219,2894,8620,1183,5400,9.98508443393127,9.98508443393127,0.2981284160547673
0.0,11,2,18260,10150,5163,15313,2947,5066,717,4351,8.710738916256158,10.000783647880885,0.2382803943044907
0.0,12,1,18126,15296,0,15296,2830,8745,1198,5326,10.006799163179917,10.006799163179917,0.2938320644378241
0.0,12,2,18285,10358,5127,15485,2800,5230,698,4422,8.60928750724078,9.903777849531805,0.24183757178014767
