class1_balk_threshold,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced
3,1,1,18108,9910,8198,18108,0,4820,812,4274,8.03087790110999,8.593715484868566,0.23602827479567043
3,1,2,18534,12640,5894,18534,0,6040,1054,5545,7.730617088607595,8.57715549800367,0.29917988561562536
3,2,1,18050,9936,8114,18050,0,4828,805,4303,7.902475845410628,8.479612188365651,0.23839335180055402
3,2,2,18216,12626,5590,18216,0,6055,987,5584,7.6652938381118325,8.476394378568292,0.3065436978480457
3,3,1,18167,9822,8345,18167,0,4751,848,4223,7.868763999185502,8.450982550778885,0.2324544503770573
3,3,2,18163,12649,5514,18163,0,6037,1063,5547,7.650011858644953,8.44293343610637,0.30540109012828276
3,4,1,18053,9916,8137,18053,0,4885,831,4199,7.986183945139169,8.498587492383537,0.232592920844181
3,4,2,18109,12628,5481,18109,0,5984,1030,5614,7.669543870763383,8.481141973604284,0.31001159644375725
3,5,1,17940,9578,8362,17940,0,4603,786,4189,7.944664856963875,8.500891861761428,0.2335005574136009
3,5,2,18545,12794,5751,18545,0,6113,1065,5616,7.704236360794122,8.51339983823133,0.3028309517390132
3,6,1,18306,10071,8235,18306,0,4968,844,4259,8.01380200575911,8.592483338796024,0.23265595979460285
3,6,2,18227,12612,5615,18227,0,6043,1009,5560,7.75,8.584298019421738,0.30504197070280353
3,7,1,18452,10084,8368,18452,0,4886,874,4317,8.006842522808409,8.60031432907002,0.23395837849555604
3,7,2,18316,12435,5881,18316,0,5947,1067,5420,7.766304784881383,8.61738370823324,0.2959161388949552
3,8,1,18327,10028,8299,18327,0,4859,831,4338,8.013861188671719,8.575653407540786,0.23669995089212637
3,8,2,18224,12366,5858,18224,0,5853,1057,5456,7.736050460941291,8.57138937664618,0.2993854258121159
3,9,1,18337,10095,8242,18337,0,4956,816,4322,8.018722139673105,8.597425969351585,0.23569831488247805
3,9,2,18259,12521,5738,18259,0,5970,1064,5480,7.73907834837473,8.571115614217646,0.30012596527739743
3,10,1,18171,9950,8221,18171,0,4749,860,4337,7.921708542713568,8.503549612019151,0.23867701282262946
3,10,2,18145,12490,5655,18145,0,6009,1007,5468,7.677181745396317,8.499751997795537,0.30135023422430424
3,11,1,18178,9910,8268,18178,0,4827,830,4250,8.089001009081736,8.63950929695236,0.2337990978105402
3,11,2,18285,12497,5788,18285,0,5877,989,5619,7.777706649595903,8.617500683620454,0.3073010664479081
3,12,1,18211,9868,8343,18211,0,4801,829,4238,7.913761653830563,8.477733238152766,0.23271649003349623
3,12,2,18375,12669,5706,18375,0,6057,1031,5581,7.620254163706686,8.437278911564626,0.3037278911564626
3,13,1,18177,9914,8263,18177,0,4797,826,4288,7.888238854145652,8.463937943555042,0.23590251416625405
3,13,2,18006,12443,5563,18006,0,5863,1032,5545,7.663746684883066,8.465289347995112,0.30795290458735974
3,14,1,18406,10189,8217,18406,0,4985,845,4354,8.061046226322505,8.645170053243508,0.23655329783766163
3,14,2,18366,12504,5862,18366,0,6042,1028,5431,7.8110204734484965,8.65430687139279,0.2957094631384079
3,15,1,18073,9861,8212,18073,0,4789,846,4225,7.896055166818781,8.448735683063132,0.23377413821723012
3,15,2,18299,12613,5686,18299,0,6014,1019,5580,7.5547451042575124,8.386633149352424,0.30493469588502103
3,16,1,18151,9982,8169,18151,0,4879,816,4286,8.01061911440593,8.56503773896755,0.23613024075808495
3,16,2,18124,12437,5687,18124,0,5845,1045,5545,7.681434429524805,8.517876848377842,0.30594791436768926
3,17,1,18125,10030,8095,18125,0,4830,858,4342,7.800797607178465,8.422344827586207,0.23955862068965517
3,17,2,18112,12525,5587,18112,0,6038,1010,5477,7.6651497005988025,8.472007508833922,0.30239620141342755
3,18,1,18205,9910,8295,18205,0,4790,850,4269,7.858224016145308,8.450700357044768,0.23449601757758856
3,18,2,18300,12663,5637,18300,0,6099,1013,5548,7.641317223406776,8.445245901639344,0.3031693989071038
3,19,1,18261,10027,8234,18261,0,4914,794,4310,8.016056647052958,8.587207710421117,0.23602212365149772
3,19,2,18532,12629,5903,18532,0,6038,1058,5524,7.748436139045055,8.59907187567451,0.2980789984890999
3,20,1,18201,9942,8259,18201,0,4830,842,4270,7.987326493663247,8.565243667930334,0.2346024943684413
3,20,2,18299,12486,5813,18299,0,5909,1020,5557,7.753563991670672,8.568173124214438,0.30367779660090716
3,21,1,18270,9984,8286,18270,0,4851,855,4278,7.964342948717949,8.55303776683087,0.2341543513957307
