class1_balk_threshold,mean,std,n,se,ci95,metric
3,0.8407046232876713,0.0032273359686749133,100,0.0003227335968674913,0.000632557849860283,average_utilization
4,0.8406601027397261,0.003549552837407255,100,0.00035495528374072553,0.000695712356131822,average_utilization
5,0.840195205479452,0.0031813819377753145,100,0.00031813819377753144,0.0006235508598039616,average_utilization
6,0.8406969178082191,0.0033495734234764507,100,0.00033495734234764506,0.0006565163910013843,average_utilization
7,0.8408330479452054,0.003435197540638542,100,0.0003435197540638542,0.0006732987179651543,average_utilization
8,0.840529109589041,0.0029565333533505527,100,0.0002956533353350553,0.0005794805372567084,average_utilization
9,0.8408467465753425,0.003391724848073015,100,0.0003391724848073015,0.0006647780702223109,average_utilization
10,0.8412071917808219,0.0036642506044115026,100,0.00036642506044115027,0.0007181931184646545,average_utilization
11,0.8403510273972603,0.003276747890734656,100,0.0003276747890734656,0.0006422425865839925,average_utilization
12,0.8408330479452054,0.003716670630437261,100,0.0003716670630437261,0.0007284674435657032,average_utilization
13,0.8406412671232877,0.003512323507244677,100,0.00035123235072446774,0.0006884154074199568,average_utilization
3,0.2690981475327731,0.0017870487726203887,100,0.00017870487726203888,0.0003502615594335962,overall_percent_serviced
4,0.269030586489401,0.001913203853042439,100,0.0001913203853042439,0.000374987955196318,overall_percent_serviced
5,0.2687455172421263,0.0018543107432674264,100,0.00018543107432674263,0.0003634449056804155,overall_percent_serviced
6,0.2690527781418114,0.0016738381080703601,100,0.00016738381080703602,0.00032807226918179057,overall_percent_serviced
7,0.2688950165604253,0.0018226718355725466,100,0.00018226718355725466,0.0003572436797722191,overall_percent_serviced
8,0.26874825790193235,0.0016722992647209731,100,0.0001672299264720973,0.0003277706558853107,overall_percent_serviced
9,0.26873068333974687,0.0018875263833138555,100,0.00018875263833138556,0.0003699551711295157,overall_percent_serviced
10,0.2691105415551047,0.001928458505123747,100,0.0001928458505123747,0.0003779778670042544,overall_percent_serviced
11,0.26844091998615677,0.001809938820079736,100,0.0001809938820079736,0.00035474800873562827,overall_percent_serviced
12,0.26893558167083526,0.0017981838465331813,100,0.00017981838465331814,0.00035244403392050355,overall_percent_serviced
13,0.2685102525298961,0.0018511462501214979,100,0.00018511462501214979,0.00036282466502381356,overall_percent_serviced
3,9818.99,38.2365035276529,100,3.82365035276529,7.494354691419969,total_served
4,9816.12,42.01689895720305,100,4.201689895720305,8.235312195611797,total_served
5,9811.93,39.470038502565295,100,3.9470038502565297,7.736127546502798,total_served
6,9816.26,39.27283997365039,100,3.927283997365039,7.697476634835477,total_served
7,9814.84,42.122889000848154,100,4.212288900084816,8.256086244166239,total_served
8,9808.84,36.928464836105924,100,3.6928464836105923,7.237979107876761,total_served
9,9814.18,40.01852601286582,100,4.001852601286582,7.8436310985217,total_served
10,9816.17,44.566612270767685,100,4.4566612270767685,8.735056005070467,total_served
11,9798.14,39.89937342866451,100,3.989937342866451,7.820277192018244,total_served
12,9803.02,44.48560770551857,100,4.448560770551857,8.719179110281639,total_served
13,9798.15,44.9107701195073,100,4.49107701195073,8.80251094342343,total_served
3,10950.95,39.67478271948554,100,3.967478271948554,7.776257413019166,total_value
4,10949.04,41.397535670568146,100,4.139753567056815,8.113916991431356,total_value
5,10942.15,38.80913539231415,100,3.8809135392314147,7.606590536893573,total_value
6,10946.67,41.3052336058318,100,4.13052336058318,8.095825786743033,total_value
7,10947.83,42.03751451100112,100,4.203751451100112,8.23935284415622,total_value
8,10943.69,34.7186949319496,100,3.47186949319496,6.804864206662121,total_value
9,10947.75,41.77461773456082,100,4.177461773456082,8.18782507597392,total_value
10,10952.64,42.79915981427768,100,4.279915981427768,8.388635323598425,total_value
11,10940.21,39.90804961711871,100,3.990804961711871,7.821977724955267,total_value
12,10948.78,47.447915090809126,100,4.744791509080913,9.299791357798588,total_value
13,10944.96,42.291418046738656,100,4.229141804673866,8.289117937160777,total_value
