scenario_id,lambda_total,class_1_share,class_1_balk_step,class_2_balk_step,class_1_balk_threshold,class_2_balk_threshold,class_1_no_show_step,class_2_no_show_step,class_1_no_show_threshold,class_2_no_show_threshold,class_1_cancel_prob,class_2_cancel_prob,average_utilization,overall_percent_serviced,mean_accepted_booking_delay,mean_offered_booking_delay,class_1_percent_serviced,class_2_percent_serviced,overall_balking_rate,class_1_balking_rate,class_2_balking_rate,class_1_slot_utilization,class_2_slot_utilization,class_1_mean_offered_booking_delay,class_2_mean_offered_booking_delay,access_advantage_class_1,balking_rate_gap_class_1,delay_advantage_class_1,total_arrivals,total_booked,served_rate,balked_rate,no_offer_rate,canceled_rate,no_show_rate,unresolved_booked_rate,lost_after_booking_rate,balk_step_mean,balk_step_gap_c1_minus_c2,balk_threshold_mean,balk_threshold_gap_c1_minus_c2,no_show_step_mean,no_show_step_gap_c1_minus_c2,no_show_threshold_mean,no_show_threshold_gap_c1_minus_c2,cancel_prob_mean,cancel_prob_gap_c1_minus_c2
0,77.92835490147738,0.856849285728239,0.7832700613069014,0.17161649593031658,1,4,0.802538260874427,0.2031912033924267,3,8,0.28446577373691473,0.29676847162585435,1.0,0.40907805773600536,1.5291155630438924,1.7729949048156306,0.34846046395683195,0.7720481046071006,0.5168067914307826,0.6031122032476086,0.0,0.7300513698630138,0.2701198630136986,1.7728438714023302,1.7738875076050453,-0.42358764065026866,0.6031122032476086,0.0010436362027153034,28557.0,13798.5,0.40907805773600536,0.5168067914307826,0.0,0.0741151508332121,0.0,0.0,0.0741151508332121,0.47744327861860897,0.6116535653765848,2.5,-3,0.5028647321334269,0.5993470574820003,5.5,-5,0.2906171226813845,-0.012302697888939618
1,123.08616963962864,0.6310612043946338,0.07087703505680809,0.6015851539506202,10,12,0.17668257602738424,0.14405244818193108,0,2,0.14981344288607887,0.2173209329053218,0.8508561643835617,0.2203685960026599,8.631066928114413,9.10971099312173,0.24290872751632642,0.1819208138643278,0.1110624019720283,0.034939925473786444,0.24082460509862436,0.5902825342465754,0.2591609589041096,9.107069741285429,9.11420984470875,0.060987913651998654,-0.2058846796248379,0.007140103423321165,45022.5,34997.5,0.2203685960026599,0.09711896881496596,0.12554752714307843,0.517984597966799,0.03860267491666558,0.0003776351558311009,0.5569649080392957,0.33623109450371413,-0.5307081188938121,11.0,-2,0.16036751210465766,0.03263012784545316,1.0,-2,0.18356718789570034,-0.06750749001924294
2,132.7260554689488,0.6901929882012089,0.28428051772263296,0.39209913777337513,11,8,0.22459714621034144,0.8264540165090049,4,9,0.14388495340169866,0.12486060602081822,0.8497003424657534,0.20498323301330265,8.945668459762079,9.609795982003373,0.21071674599790888,0.19222239252993284,0.18173230952991792,0.1474154083945031,0.2580575836679937,0.6016695205479452,0.24708904109589042,9.60358454125357,9.623732998876424,0.018494353467976038,-0.1106421752734906,0.020148457622855,48362.5,30957.0,0.20498323301330265,0.14216670781709487,0.21772945351868792,0.3986252969810088,0.0359887120024741,0.0005065966674316658,0.4351206056509146,0.33818982774800405,-0.10781862005074216,9.5,3,0.5255255813596731,-0.6018568702986634,6.5,-5,0.13437277971125844,0.019024347380880435
3,85.87513816650832,0.20077869034831003,0.05925628918134107,0.9178810031203325,3,0,0.3318749745239773,0.35183200608824083,13,8,0.22349640187616723,0.2517784506482807,1.0,0.3756506223868148,0.6073253983107214,0.8533173973928208,0.9996808802816624,0.21814635908828328,0.6242689660696509,0.0,0.7818333979967369,0.536472602739726,0.4638698630136986,0.8553616223867269,0.8528056586125736,0.7815345211933791,-0.7818333979967369,-0.002555963774153236,31103.5,11686.5,0.3756506223868148,0.6242689660696509,0.0,8.04115435343716e-05,0.0,0.0,8.04115435343716e-05,0.4885686461508368,-0.8586247139389914,1.5,3,0.34185349030610906,-0.01995703156426354,10.5,5,0.23763742626222395,-0.02828204877211346
4,107.83118680130708,0.4120869337856674,0.36208703669773623,0.5851812011879521,2,9,0.8699463606174164,0.9444776532032654,0,9,0.1840485812941461,0.0005241223440728082,0.32251712328767124,0.09540222894789652,10.918244926524993,11.511703489415442,0.011514538344476324,0.15375550799492305,0.4359720532547813,0.3526579734758165,0.4937546600647804,0.015924657534246576,0.30560787671232875,11.497151508217076,11.52180246960032,-0.14224096965044672,-0.14109668658896393,0.02465096138324352,39364.5,19433.0,0.09540222894789652,0.3815854884954003,0.12474854264335228,0.19678635519255294,0.2000675418848621,0.0014098428359358595,0.3982637399133509,0.4736341189428442,-0.2230941644902159,5.5,-7,0.9072120069103409,-0.07453129258584901,4.5,-9,0.09228635181910946,0.1835244589500733
5,128.04377970590207,0.28297015119333024,0.9890830682191116,0.873449694522105,5,1,0.10798065464670947,0.6798325522619577,1,6,0.29731263811215775,0.13634898739155474,0.9482876712328767,0.236747620941924,2.866473428117808,3.075298843908239,0.46254018754724274,0.14864401081479503,0.589316348003563,0.0,0.8192881398184337,0.5199486301369863,0.4282106164383561,3.060172260659093,3.0811912273761966,0.31389617673244774,-0.8192881398184337,0.02101896671710346,46778.0,19211.0,0.236747620941924,0.589316348003563,0.0,0.1609821030545333,0.01295392799997969,0.0,0.173936031054513,0.9312663813706084,0.11563337369700666,3.0,4,0.3939066034543336,-0.5718518976152482,3.5,-5,0.21683081275185623,0.160963650720603
6,145.27164346578607,0.8675839441153612,0.2567870075272267,0.011785757150468257,5,12,0.2618787654073734,0.7733072832531626,3,9,0.011916877582932117,0.26523930256004974,0.7478167808219178,0.16288628797990387,11.672743872462867,11.807062286759873,0.18475595161822714,0.018252816661063695,0.20814913500587134,0.23886135458150565,0.006693999371111088,0.7318493150684932,0.01091609589041096,11.81038005325508,11.785957424922003,0.16650313495716346,0.23216735521039455,-0.024422628333079288,53261.0,15665.0,0.16288628797990387,0.07731764479091302,0.6285646678387848,0.07484843634317283,0.05498418877647193,0.0013987742707535526,0.1312313993903983,0.1342863823388475,0.24500125037675846,8.5,-7,0.517593024330268,-0.5114285178457891,6.0,-6,0.13857809007149094,-0.2533224249771176
7,111.51683122697814,0.3198065041694108,0.13221993993433312,0.8387203309554314,12,2,0.6661507696387406,0.13264919877589132,6,11,0.2997440351821912,0.24067237002080227,1.0,0.2874857951921974,3.051424195761067,3.3823433396860754,0.458312732970265,0.2077726025292248,0.47853705522239187,0.0,0.7018416175093316,0.5075770547945205,0.49310787671232875,3.3895124149250426,3.3789946211996815,0.2505401304410401,-0.7018416175093316,-0.010517793725361324,40656.0,21200.5,0.2874857951921974,0.47853705522239187,0.0,0.2339771495854107,0.0,0.0,0.2339771495854107,0.48547013544488227,-0.7065003910210983,7.0,10,0.399399984207316,0.5335015708628493,8.5,-5,0.27020820260149675,0.05907166516138895
8,63.35232509243391,0.10060610193469088,0.4224510440155754,0.5994410540529299,3,3,0.7065933804117318,0.39881005150584425,0,6,0.15270779439307564,0.15100110872914585,0.9235445205479452,0.46610528457721623,2.9921786843621314,3.3037257430189246,0.16375759095214218,0.4998411243199238,0.309073076371565,0.22386957490668002,0.3185765186641368,0.03253424657534247,0.8900256849315069,3.3120196111203963,3.302802886079537,-0.3360835333677816,-0.09470694375745674,-0.009216725040859464,23118.5,15973.0,0.46610528457721623,0.309073076371565,0.0,0.18619667846897725,0.03862496058224145,0.0,0.2248216390512187,0.5109460490342527,-0.17699001003735448,3.0,0,0.552701715958788,0.30778332890588755,3.0,-6,0.15185445156111074,0.0017066856639297856
9,116.76788864536601,0.27793086857325167,0.8515511975163534,0.23506614825556682,3,2,0.2810199275003453,0.20377322641935447,5,0,0.05918161397579525,0.2625064990741207,0.8374571917808219,0.23033406569508347,5.006486593567543,5.358702257673257,0.257839030916607,0.21978838358395858,0.33896504890032775,0.6832020727985626,0.2068964453567858,0.2600599315068493,0.5777825342465754,5.369357495019553,5.354623712853545,0.038050647332648416,0.47630562744177685,-0.014733782166008513,42488.0,28085.5,0.23033406569508347,0.33896504890032775,0.0,0.3859819983058545,0.04471888709873431,0.0,0.43070088540458884,0.5433086728859602,0.6164850492607866,2.5,1,0.2423965769598499,0.07724670108099085,2.5,5,0.16084405652495798,-0.20332488509832547
