assumption,metric,comparison,n_pairs,mean_difference,ci95_low,ci95_high,tolerance,status,regime_id,q,total_demand,class_1_share,class_1_threshold,class_2_threshold
C1 no material reduction vs FCFS,class_1_served_rate,Q=1 minus FCFS; demand=24; C1 share=0.25; regime=t05_09_b03,20,0.0,0.0,0.0,0.005,supported,t05_09_b03,1.0,24,0.25,,
C2 no material improvement vs FCFS,class_2_served_rate,Q=1 minus FCFS; demand=24; C1 share=0.25; regime=t05_09_b03,20,0.0,0.0,0.0,0.005,supported,t05_09_b03,1.0,24,0.25,,
C1 no material reduction vs FCFS,class_1_served_rate,Q=1 minus FCFS; demand=24; C1 share=0.50; regime=t05_09_b03,20,0.0,0.0,0.0,0.005,supported,t05_09_b03,1.0,24,0.5,,
C2 no material improvement vs FCFS,class_2_served_rate,Q=1 minus FCFS; demand=24; C1 share=0.50; regime=t05_09_b03,20,0.0,0.0,0.0,0.005,supported,t05_09_b03,1.0,24,0.5,,
C1 no material reduction vs FCFS,class_1_served_rate,Q=1 minus FCFS; demand=24; C1 share=0.75; regime=t05_09_b03,20,0.0,0.0,0.0,0.005,supported,t05_09_b03,1.0,24,0.75,,
C2 no material improvement vs FCFS,class_2_served_rate,Q=1 minus FCFS; demand=24; C1 share=0.75; regime=t05_09_b03,20,0.0,0.0,0.0,0.005,supported,t05_09_b03,1.0,24,0.75,,
C1 no material reduction vs FCFS,class_1_served_rate,Q=1 minus FCFS; demand=32; C1 share=0.25; regime=t05_09_b03,20,-0.00020718788427870894,-0.0006215636528361268,0.0,0.005,supported,t05_09_b03,1.0,32,0.25,,
C2 no material improvement vs FCFS,class_2_served_rate,Q=1 minus FCFS; demand=32; C1 share=0.25; regime=t05_09_b03,20,-0.0001122606794304204,-0.0003367820382912612,0.0,0.005,supported,t05_09_b03,1.0,32,0.25,,
C1 no material reduction vs FCFS,class_1_served_rate,Q=1 minus FCFS; demand=32; C1 share=0.50; regime=t05_09_b03,20,0.0,0.0,0.0,0.005,supported,t05_09_b03,1.0,32,0.5,,
C2 no material improvement vs FCFS,class_2_served_rate,Q=1 minus FCFS; demand=32; C1 share=0.50; regime=t05_09_b03,20,0.0,0.0,0.0,0.005,supported,t05_09_b03,1.0,32,0.5,,
C1 no material reduction vs FCFS,class_1_served_rate,Q=1 minus FCFS; demand=32; C1 share=0.75; regime=t05_09_b03,20,0.0,0.0,0.0,0.005,supported,t05_09_b03,1.0,32,0.75,,
C2 no material improvement vs FCFS,class_2_served_rate,Q=1 minus FCFS; demand=32; C1 share=0.75; regime=t05_09_b03,20,0.0,0.0,0.0,0.005,supported,t05_09_b03,1.0,32,0.75,,
C1 no material reduction vs FCFS,class_1_served_rate,Q=1 minus FCFS; demand=50; C1 share=0.25; regime=t05_09_b03,20,0.006426525101985286,0.0017821072085240335,0.01098389143796651,0.005,supported,t05_09_b03,1.0,50,0.25,,
C2 no material improvement vs FCFS,class_2_served_rate,Q=1 minus FCFS; demand=50; C1 share=0.25; regime=t05_09_b03,20,0.003240283361354834,-0.001120385915442217,0.007627579829903577,0.005,inconclusive,t05_09_b03,1.0,50,0.25,,
C1 no material reduction vs FCFS,class_1_served_rate,Q=1 minus FCFS; demand=50; C1 share=0.50; regime=t05_09_b03,20,-0.0008496468959094172,-0.0031984861400737087,0.0013837317917957885,0.005,supported,t05_09_b03,1.0,50,0.5,,
C2 no material improvement vs FCFS,class_2_served_rate,Q=1 minus FCFS; demand=50; C1 share=0.50; regime=t05_09_b03,20,0.00015618296831934608,-0.0010581707010756379,0.0016154440609564599,0.005,supported,t05_09_b03,1.0,50,0.5,,
C1 no material reduction vs FCFS,class_1_served_rate,Q=1 minus FCFS; demand=50; C1 share=0.75; regime=t05_09_b03,20,0.00020141807848845228,1.0857942317277491e-05,0.0005606126730422227,0.005,supported,t05_09_b03,1.0,50,0.75,,
C2 no material improvement vs FCFS,class_2_served_rate,Q=1 minus FCFS; demand=50; C1 share=0.75; regime=t05_09_b03,20,-0.00018486652220255916,-0.00041416011552130824,-3.222002354684117e-05,0.005,supported,t05_09_b03,1.0,50,0.75,,
C1 no material reduction vs FCFS,class_1_served_rate,Q=1 minus FCFS; demand=100; C1 share=0.25; regime=t05_09_b03,20,0.0034237484247947704,0.0012531176386776895,0.005826710339699219,0.005,supported,t05_09_b03,1.0,100,0.25,,
C2 no material improvement vs FCFS,class_2_served_rate,Q=1 minus FCFS; demand=100; C1 share=0.25; regime=t05_09_b03,20,-0.001967031653361545,-0.002872242013149652,-0.0009291940832396652,0.005,supported,t05_09_b03,1.0,100,0.25,,
C1 no material reduction vs FCFS,class_1_served_rate,Q=1 minus FCFS; demand=100; C1 share=0.50; regime=t05_09_b03,20,0.0012462397231149335,-8.804876611452694e-05,0.002535966595915386,0.005,supported,t05_09_b03,1.0,100,0.5,,
C2 no material improvement vs FCFS,class_2_served_rate,Q=1 minus FCFS; demand=100; C1 share=0.50; regime=t05_09_b03,20,-0.0015491553851333189,-0.0029047243308709023,-0.00016034648575374068,0.005,supported,t05_09_b03,1.0,100,0.5,,
C1 no material reduction vs FCFS,class_1_served_rate,Q=1 minus FCFS; demand=100; C1 share=0.75; regime=t05_09_b03,20,-0.00040765214191548494,-0.0012633040538285454,0.0003015481050843383,0.005,supported,t05_09_b03,1.0,100,0.75,,
C2 no material improvement vs FCFS,class_2_served_rate,Q=1 minus FCFS; demand=100; C1 share=0.75; regime=t05_09_b03,20,-0.00043314449162107084,-0.001772647051869563,0.0010536858301631925,0.005,supported,t05_09_b03,1.0,100,0.75,,
C1 no material reduction vs FCFS,class_1_served_rate,Q=4 minus FCFS; demand=24; C1 share=0.25; regime=t05_09_b03,20,0.0,0.0,0.0,0.005,supported,t05_09_b03,4.0,24,0.25,,
C2 no material improvement vs FCFS,class_2_served_rate,Q=4 minus FCFS; demand=24; C1 share=0.25; regime=t05_09_b03,20,0.0,0.0,0.0,0.005,supported,t05_09_b03,4.0,24,0.25,,
C1 no material reduction vs FCFS,class_1_served_rate,Q=4 minus FCFS; demand=24; C1 share=0.50; regime=t05_09_b03,20,0.0,0.0,0.0,0.005,supported,t05_09_b03,4.0,24,0.5,,
