check,tasks_evaluated,failed_tasks,passed_tasks
configuration_probabilities,28800,0,28800
class_accounting,28800,0,28800
total_accounting,28800,0,28800
delay_accounting,28800,0,28800
slot_utilization_accounting,28800,0,28800
capacity_total,28800,0,28800
capacity_reserved,28800,0,28800
capacity_general,28800,0,28800
reserved_ownership,28800,0,28800
earliest_admissible_offer,28800,0,28800
zero_unresolved_with_cooldown,28800,0,28800
deterministic_replay_canary,2,0,2
q0_exact_fcfs_equivalence,3600,0,3600
q_s_class2_exclusion,3600,0,3600
