scenario_id,arrival_rate_class_1,arrival_rate_class_2,tau_1,tau_2,post_threshold_balking_rate,w1,w2,objective_name,direction,near_tie_tolerance,fcfs_mean,exact_best_q_values,exact_best_value,near_tie_q_values,near_tie_q_ranges,best_strict_q_values,best_strict_near_tie_q_values,best_strict_q_ranges,best_strict_value,best_strict_delta_vs_fcfs,composition_effect_likely,class_1_service_rate_delta_min,class_1_service_rate_delta_max,class_2_service_rate_delta_min,class_2_service_rate_delta_max,class_1_no_offer_rate_delta_min,class_1_no_offer_rate_delta_max,class_2_no_offer_rate_delta_min,class_2_no_offer_rate_delta_max
t05_09_b03_l25,25,25,5,9,0.3,0.5,1.0,Obj_util_norm,maximize,0.01,0.5072888127853881,0,0.5072888127853881,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]",2,"2,4,6,8,10,12","2-12 [2,4,6,8,10,12]",0.5071118721461187,-0.0001769406392693,False,-0.0004190209196544,0.007670573890427,-0.0123900565672488,0.0002080027897849,0.0,0.0,0.0,0.0
t05_09_b03_l25,25,25,5,9,0.3,0.5,1.0,Obj_service_norm,maximize,0.01,0.6498278228958532,2,0.6502424368487134,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]",2,"2,4,6,8,10,12","2-12 [2,4,6,8,10,12]",0.6502424368487134,0.0004146139528602,False,-0.0004190209196544,0.007670573890427,-0.0123900565672488,0.0002080027897849,0.0,0.0,0.0,0.0
t05_09_b03_l25,25,25,5,9,0.3,0.5,1.0,T_wait_offered,minimize,0.01,4.802675170521922,32,0.0100505019649588,32,32,32,32,32,0.0100505019649588,-4.792624668556963,False,0.3998299369931861,0.3998299369931861,-0.6746567028403728,-0.6746567028403728,0.0,0.0,1.0,1.0
t05_09_b03_l25,25,25,5,9,0.3,1.0,1.0,Obj_util_norm,maximize,0.01,0.4980779109589041,2,0.4982063356164384,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]",2,"2,4,6,8,10,12","2-12 [2,4,6,8,10,12]",0.4982063356164384,0.0001284246575343,False,-0.0004190209196544,0.007670573890427,-0.0123900565672488,0.0002080027897849,0.0,0.0,0.0,0.0
t05_09_b03_l25,25,25,5,9,0.3,1.0,1.0,Obj_service_norm,maximize,0.01,0.6374133829235932,10,0.6387316506823153,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]",10,"2,4,6,8,10,12","2-12 [2,4,6,8,10,12]",0.6387316506823153,0.0013182677587221,False,-0.0004190209196544,0.007670573890427,-0.0123900565672488,0.0002080027897849,0.0,0.0,0.0,0.0
t05_09_b03_l25,25,25,5,9,0.3,1.0,1.0,T_wait_offered,minimize,0.01,4.803146996082136,32,0.0100505019649588,32,32,32,32,32,0.0100505019649588,-4.793096494117177,False,0.3998299369931861,0.3998299369931861,-0.6746567028403728,-0.6746567028403728,0.0,0.0,1.0,1.0
t05_09_b03_l25,25,25,5,9,0.3,1.5,1.0,Obj_util_norm,maximize,0.01,0.4925513698630136,24,0.5334392123287671,24,24,24,24,24,0.5334392123287671,0.0408878424657535,False,0.3596651284686893,0.3596651284686893,-0.4065618225612691,-0.4065618225612691,0.0,0.0,0.1271008508165416,0.1271008508165416
t05_09_b03_l25,25,25,5,9,0.3,1.5,1.0,Obj_service_norm,maximize,0.01,0.6299647189402373,24,0.6831390669969433,24,24,24,24,24,0.6831390669969433,0.0531743480567059,False,0.3596651284686893,0.3596651284686893,-0.4065618225612691,-0.4065618225612691,0.0,0.0,0.1271008508165416,0.1271008508165416
t05_09_b03_l25,25,25,5,9,0.3,1.5,1.0,T_wait_offered,minimize,0.01,4.803429539286588,32,0.0100505019649588,32,32,32,32,32,0.0100505019649588,-4.793379037321629,False,0.3998299369931861,0.3998299369931861,-0.6746567028403728,-0.6746567028403728,0.0,0.0,1.0,1.0
t05_09_b03_l25,25,25,5,9,0.3,2.0,1.0,Obj_util_norm,maximize,0.01,0.4888670091324201,24,0.5694420662100457,24,24,24,24,24,0.5694420662100457,0.0805750570776255,False,0.3596651284686893,0.3596651284686893,-0.4065618225612691,-0.4065618225612691,0.0,0.0,0.1271008508165416,0.1271008508165416
