scenario_id,arrival_rate_class_1,arrival_rate_class_2,tau_1,tau_2,post_threshold_balking_rate,w1,w2,util_exact_best_q_values,util_near_tie_q_values,util_near_tie_q_ranges,util_best_value,util_fcfs_value,util_best_strict_value,util_best_strict_delta_vs_fcfs,util_composition_effect_likely,service_exact_best_q_values,service_near_tie_q_values,service_near_tie_q_ranges,service_best_value,service_fcfs_value,service_best_strict_value,service_best_strict_delta_vs_fcfs,service_composition_effect_likely,wait_exact_best_q_values,wait_near_tie_q_values,wait_near_tie_q_ranges,wait_best_value,wait_fcfs_value,wait_best_strict_value,wait_best_strict_delta_vs_fcfs,wait_composition_effect_likely
t05_09_b03_l25,25,25,5,9,0.3,0.5,1.0,0,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]",0.5072888127853881,0.5072888127853881,0.5071118721461187,-0.0001769406392693,False,2,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]",0.6502424368487134,0.6498278228958532,0.6502424368487134,0.0004146139528602,False,32,32,32,0.0100505019649588,4.802675170521922,0.0100505019649588,-4.792624668556963,False
t05_09_b03_l25,25,25,5,9,0.3,1.0,1.0,2,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]",0.4982063356164384,0.4980779109589041,0.4982063356164384,0.0001284246575343,False,10,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]",0.6387316506823153,0.6374133829235932,0.6387316506823153,0.0013182677587221,False,32,32,32,0.0100505019649588,4.803146996082136,0.0100505019649588,-4.793096494117177,False
t05_09_b03_l25,25,25,5,9,0.3,1.5,1.0,24,24,24,0.5334392123287671,0.4925513698630136,0.5334392123287671,0.0408878424657535,False,24,24,24,0.6831390669969433,0.6299647189402373,0.6831390669969433,0.0531743480567059,False,32,32,32,0.0100505019649588,4.803429539286588,0.0100505019649588,-4.793379037321629,False
t05_09_b03_l25,25,25,5,9,0.3,2.0,1.0,24,24,24,0.5694420662100457,0.4888670091324201,0.5694420662100457,0.0805750570776255,False,24,24,24,0.7292550877433699,0.6249989429513334,0.7292550877433699,0.1042561447920364,False,32,32,32,0.0100505019649588,4.803617668058874,0.0100505019649588,-4.793567166093915,False
t05_09_b03_l50,50,50,5,9,0.3,0.5,1.0,0,"0,2,4,6,8","0-8 [0,2,4,6,8]",0.4255179794520548,0.4255179794520548,0.4254266552511415,-9.132420091328974e-05,False,2,"0,2,4,6,8","0-8 [0,2,4,6,8]",0.2726168661170912,0.2726083012780514,0.2726168661170912,8.564839039770789e-06,False,32,32,32,4.620508313477343,9.966697326704564,4.620508313477343,-5.346189013227221,False
t05_09_b03_l50,50,50,5,9,0.3,1.0,1.0,32,32,32,0.4999614726027397,0.4209289383561644,0.4999614726027397,0.0790325342465753,False,32,32,32,0.320012181879543,0.2695081165132965,0.320012181879543,0.0505040653662464,False,32,32,32,4.620508313477343,9.967537118944588,4.620508313477343,-5.347028805467245,False
t05_09_b03_l50,50,50,5,9,0.3,1.5,1.0,32,32,32,0.5999537671232877,0.4181755136986302,0.5999537671232877,0.1817782534246575,False,32,32,32,0.3840146182554516,0.2676480056544436,0.3840146182554516,0.1163666126010079,False,32,32,32,4.620508313477343,9.968040520971355,4.620508313477343,-5.347532207494012,False
t05_09_b03_l50,50,50,5,9,0.3,2.0,1.0,32,32,32,0.666615296803653,0.416339897260274,0.666615296803653,0.2502753995433789,False,32,32,32,0.4266829091727239,0.2664079317485416,0.4266829091727239,0.1602749774241823,False,32,32,32,4.620508313477343,9.96837591674095,4.620508313477343,-5.347867603263607,False
t05_09_b05_l25,25,25,5,9,0.5,0.5,1.0,0,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]",0.5117208904109589,0.5117208904109589,0.5116395547945205,-8.133561643841603e-05,False,4,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]",0.6556968368563191,0.6555318100181974,0.6556968368563191,0.0001650268381216,False,32,32,32,0.0100505019649588,4.665750981850815,0.0100505019649588,-4.655700479885856,False
t05_09_b05_l25,25,25,5,9,0.5,1.0,1.0,6,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]",0.4998244863013698,0.4997581335616438,0.4998244863013698,6.635273972604994e-05,False,4,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]",0.6406395337482375,0.6399980378225381,0.6406395337482375,0.0006414959256993,False,32,32,32,0.0100505019649588,4.665447795163353,0.0100505019649588,-4.655397293198394,False
t05_09_b05_l25,25,25,5,9,0.5,1.5,1.0,24,24,24,0.5337140410958905,0.4925804794520548,0.5337140410958905,0.0411335616438356,False,24,24,24,0.6816498998630677,0.6306777745051424,0.6816498998630677,0.0509721253579252,False,32,32,32,0.0100505019649588,4.665265715881392,0.0100505019649588,-4.655215213916433,False
t05_09_b05_l25,25,25,5,9,0.5,2.0,1.0,24,24,24,0.5697388698630137,0.4877953767123286,0.5697388698630137,0.081943493150685,False,24,24,24,0.7274749665998326,0.6244642656268786,0.7274749665998326,0.1030107009729539,False,32,32,32,0.0100505019649588,4.665144262081138,0.0100505019649588,-4.655093760116179,False
t05_09_b05_l50,50,50,5,9,0.5,0.5,1.0,2,"0,2,4,6,8","0-8 [0,2,4,6,8]",0.429783105022831,0.4290325342465753,0.429783105022831,0.0007505707762557,False,2,"0,2,4,6","0-6 [0,2,4,6]",0.2756746830509439,0.274686436458236,0.2756746830509439,0.0009882465927079,False,32,32,32,4.533999150483735,8.804245006483082,4.533999150483735,-4.270245855999347,False
t05_09_b05_l50,50,50,5,9,0.5,1.0,1.0,32,32,32,0.5000321061643834,0.4203531678082192,0.5000321061643834,0.0796789383561642,False,32,32,32,0.319378235408213,0.2689570152538407,0.319378235408213,0.0504212201543723,False,32,32,32,4.533999150483735,8.803566521325306,4.533999150483735,-4.269567370841571,False
t05_09_b05_l50,50,50,5,9,0.5,1.5,1.0,32,32,32,0.6000385273972603,0.4151455479452055,0.6000385273972603,0.1848929794520547,False,32,32,32,0.3832538824898556,0.2655193625312035,0.3832538824898556,0.117734519958652,False,32,32,32,4.533999150483735,8.803155820448257,4.533999150483735,-4.269156669964522,False
t05_09_b05_l50,50,50,5,9,0.5,2.0,1.0,32,32,32,0.6667094748858449,0.411673801369863,0.6667094748858449,0.2550356735159818,False,32,32,32,0.4258376472109507,0.2632275940494453,0.4258376472109507,0.1626100531615054,False,32,32,32,4.533999150483735,8.802880522180518,4.533999150483735,-4.268881371696782,False
t05_09_b07_l25,25,25,5,9,0.7,0.5,1.0,0,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]",0.5128224885844748,0.5128224885844748,0.512712614155251,-0.0001098744292237,False,0,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]",0.6568050929951836,0.6568050929951836,0.6566636108453445,-0.0001414821498391,False,32,32,32,0.0100505019649588,4.596074632128544,0.0100505019649588,-4.586024130163585,False
t05_09_b07_l25,25,25,5,9,0.7,1.0,1.0,"0,2,4","0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]",0.4999828767123287,0.4999828767123287,0.4999828767123287,0.0,False,10,"0,2,4,6,8,10,12","0-12 [0,2,4,6,8,10,12]",0.6402221027646448,0.6399249871392738,0.6402221027646448,0.0002971156253709,False,32,32,32,0.0100505019649588,4.596317615619993,0.0100505019649588,-4.586267113655034,False
t05_09_b07_l25,25,25,5,9,0.7,1.5,1.0,24,24,24,0.5337226027397259,0.4922791095890411,0.5337226027397259,0.0414434931506847,False,24,24,24,0.6832360999903871,0.6297969236257279,0.6832360999903871,0.0534391763646592,False,32,32,32,0.0100505019649588,4.596463639853904,0.0100505019649588,-4.586413137888945,False
t05_09_b07_l25,25,25,5,9,0.7,2.0,1.0,24,24,24,0.5697402968036529,0.4871432648401826,0.5697402968036529,0.0825970319634702,False,24,24,24,0.7292544124919715,0.6230448812833641,0.7292544124919715,0.1062095312086074,False,32,32,32,0.0100505019649588,4.596561088273967,0.0100505019649588,-4.586510586309008,False
