policy,seed,Q,rho_1,rho_2,tau_1,tau_2,offered_1,offered_2,total_offered_delay_1,total_offered_delay_2,served_rate_1,served_rate_2,arrivals_1,arrivals_2,served_1,served_2,overall_served_rate,min_served_rate,served_rate_flag,w1,w2,weight_set,weighted_utilization,weighted_offered_wait,fcfs_weighted_utilization,fcfs_weighted_offered_wait,fcfs_served_rate_1,fcfs_served_rate_2,fcfs_overall_served_rate,delta_weighted_utilization,delta_weighted_offered_wait
Strict C1 reservation,5101,0,0.5060787671232877,0.4952054794520548,5.361535106846925,5.3316755083996465,9172.0,9048.0,49176.0,48241.0,0.5931094635848234,0.5908488063660478,9172.0,9048.0,5440.0,5346.0,0.59198682766191,0.5908488063660478,False,1.0,1.0,"w1=1, w2=1",1.0012842465753424,5.3467069154774975,1.0012842465753424,5.3467069154774975,0.5931094635848234,0.5908488063660478,0.59198682766191,0.0,0.0
Strict C1 reservation,5101,4,0.5069349315068493,0.49434931506849317,5.347361535106847,5.346043324491601,9172.0,9048.0,49046.0,48371.0,0.5944177932839075,0.5895225464190982,9172.0,9048.0,5452.0,5334.0,0.59198682766191,0.5895225464190982,False,1.0,1.0,"w1=1, w2=1",1.0012842465753424,5.3467069154774975,1.0012842465753424,5.3467069154774975,0.5931094635848234,0.5908488063660478,0.59198682766191,0.0,0.0
Strict C1 reservation,5101,8,0.508304794520548,0.49297945205479454,5.311382468382032,5.38262599469496,9172.0,9048.0,48716.0,48702.0,0.5964893153074575,0.587422634836428,9172.0,9048.0,5471.0,5315.0,0.59198682766191,0.587422634836428,False,1.0,1.0,"w1=1, w2=1",1.0012842465753424,5.346761800219539,1.0012842465753424,5.3467069154774975,0.5931094635848234,0.5908488063660478,0.59198682766191,0.0,5.488474204184968e-05
Strict C1 reservation,5101,12,0.5142123287671233,0.4870719178082192,5.239969472307021,5.4552387267904505,9172.0,9048.0,48061.0,49359.0,0.6049934583515045,0.5785809018567639,9172.0,9048.0,5549.0,5235.0,0.5918770581778265,0.5785809018567639,False,1.0,1.0,"w1=1, w2=1",1.0012842465753424,5.346871569703622,1.0012842465753424,5.3467069154774975,0.5931094635848234,0.5908488063660478,0.59198682766191,0.0,0.00016465422612466085
Strict C1 reservation,5101,16,0.5405821917808219,0.46113013698630134,4.647550908090259,6.089283743516169,9085.0,9061.0,42223.0,55175.0,0.6834342322509631,0.5003862708310342,9085.0,9061.0,6209.0,4534.0,0.5920313016642786,0.5003862708310342,False,1.0,1.0,"w1=1, w2=1",1.0017123287671232,5.367463903890664,1.0012842465753424,5.3467069154774975,0.5931094635848234,0.5908488063660478,0.59198682766191,0.00042808219178080975,0.020756988413166866
Strict C1 reservation,5101,20,0.6357876712328767,0.363527397260274,3.1084520831067115,7.576876712328767,9193.0,9125.0,28576.0,69139.0,0.8077885347547047,0.3873972602739726,9193.0,9125.0,7426.0,3535.0,0.5983731848455072,0.3873972602739726,True,1.0,1.0,"w1=1, w2=1",0.9993150684931507,5.334370564472104,1.0012842465753424,5.3467069154774975,0.5931094635848234,0.5908488063660478,0.59198682766191,-0.0019691780821917693,-0.012336351005393986
Strict C1 reservation,5101,24,0.7462328767123287,0.2488013698630137,1.1711881297752187,9.376763217400667,9031.0,9287.0,10577.0,87082.0,0.9651201417340273,0.2609958060006452,9031.0,9299.0,8716.0,2427.0,0.607910529187125,0.2609958060006452,True,1.0,1.0,"w1=1, w2=1",0.9950342465753425,5.331313462168359,1.0012842465753424,5.3467069154774975,0.5931094635848234,0.5908488063660478,0.59198682766191,-0.006249999999999978,-0.015393453309138216
Strict C1 reservation,5101,28,0.781763698630137,0.12551369863013698,0.06538166684919505,10.560570535365377,9131.0,5118.0,597.0,54049.0,1.0,0.13287867121328786,9131.0,9091.0,9131.0,1208.0,0.5673910657447042,0.13287867121328786,True,1.0,1.0,"w1=1, w2=1",0.9072773972602739,3.8350761456944347,1.0012842465753424,5.3467069154774975,0.5931094635848234,0.5908488063660478,0.59198682766191,-0.09400684931506853,-1.5116307697830629
Strict C1 reservation,5101,32,0.7746575342465754,0.0,0.007957559681697613,,9048.0,0.0,72.0,0.0,1.0,0.0,9048.0,9030.0,9048.0,0.0,0.5004978426817126,0.0,True,1.0,1.0,"w1=1, w2=1",0.7746575342465754,0.007957559681697613,1.0012842465753424,5.3467069154774975,0.5931094635848234,0.5908488063660478,0.59198682766191,-0.22662671232876708,-5.3387493557958
Strict C1 reservation,5102,0,0.5008561643835616,0.49888698630136985,5.491321908088636,5.488626325088339,9161.0,9056.0,50306.0,49705.0,0.5761379762034713,0.5760821554770318,9161.0,9056.0,5278.0,5217.0,0.5761102267113136,0.5760821554770318,False,1.0,1.0,"w1=1, w2=1",0.9997431506849315,5.489981885052424,0.9997431506849315,5.489981885052424,0.5761379762034713,0.5760821554770318,0.5761102267113136,0.0,0.0
Strict C1 reservation,5102,4,0.5007705479452055,0.49897260273972605,5.474620674598843,5.505521201413427,9161.0,9056.0,50153.0,49858.0,0.5760288178146491,0.5761925795053003,9161.0,9056.0,5277.0,5218.0,0.5761102267113136,0.5760288178146491,False,1.0,1.0,"w1=1, w2=1",0.9997431506849315,5.489981885052424,0.9997431506849315,5.489981885052424,0.5761379762034713,0.5760821554770318,0.5761102267113136,0.0,0.0
Strict C1 reservation,5102,8,0.5019691780821918,0.4977739726027397,5.442528108285122,5.537985865724382,9161.0,9056.0,49859.0,50152.0,0.5781028272022705,0.5740945229681979,9161.0,9056.0,5296.0,5199.0,0.5761102267113136,0.5740945229681979,False,1.0,1.0,"w1=1, w2=1",0.9997431506849315,5.489981885052424,0.9997431506849315,5.489981885052424,0.5761379762034713,0.5760821554770318,0.5761102267113136,0.0,0.0
Strict C1 reservation,5102,12,0.5060787671232877,0.4936643835616438,5.36786377033075,5.613626325088339,9161.0,9056.0,49175.0,50837.0,0.5849798056980678,0.5673586572438163,9161.0,9056.0,5359.0,5138.0,0.5762200142723829,0.5673586572438163,False,1.0,1.0,"w1=1, w2=1",0.9997431506849315,5.490036778832958,0.9997431506849315,5.489981885052424,0.5761379762034713,0.5760821554770318,0.5761102267113136,0.0,5.489378053447069e-05
Strict C1 reservation,5102,16,0.539554794520548,0.4594178082191781,4.987412587412587,6.398267923700943,9295.0,9122.0,46358.0,58365.0,0.6478752017213556,0.49364174523130894,9295.0,9122.0,6022.0,4503.0,0.5714828690883423,0.49364174523130894,True,1.0,1.0,"w1=1, w2=1",0.9989726027397261,5.686213824184177,0.9997431506849315,5.489981885052424,0.5761379762034713,0.5760821554770318,0.5761102267113136,-0.0007705479452053687,0.19623193913175374
Strict C1 reservation,5102,20,0.6393835616438356,0.3626712328767123,3.0667754214246874,7.7298850574712645,9195.0,9222.0,28199.0,71285.0,0.811636759108211,0.38418998048145736,9195.0,9222.0,7463.0,3543.0,0.5976000434381278,0.38418998048145736,True,1.0,1.0,"w1=1, w2=1",1.0020547945205478,5.4017483846446215,0.9997431506849315,5.489981885052424,0.5761379762034713,0.5760821554770318,0.5761102267113136,0.0023116438356163282,-0.08823350040780209
Strict C1 reservation,5102,24,0.7482020547945205,0.2495719178082192,1.3124246079613993,9.629491673970202,9119.0,9128.0,11968.0,87898.0,0.9583287641188727,0.26271460965338517,9119.0,9261.0,8739.0,2433.0,0.6078346028291621,0.26271460965338517,True,1.0,1.0,"w1=1, w2=1",0.9977739726027397,5.473009261796459,0.9997431506849315,5.489981885052424,0.5761379762034713,0.5760821554770318,0.5761102267113136,-0.0019691780821917693,-0.01697262325596416
