analysis_family,w1,median_best_q,low_best_q,high_best_q,median_delta_vs_fcfs
balk_probability_grid,0.9,24.0,23.0,24.0,0.0077
balk_probability_grid,1.0,24.0,24.0,24.0,0.0219
balk_probability_grid,1.1,24.0,24.0,25.0,0.0351
balk_threshold_grid,0.9,23.0,0.0,24.0,0.0067
balk_threshold_grid,1.0,24.0,6.0,24.0,0.021
balk_threshold_grid,1.1,24.0,10.0,25.0,0.0339
cancellation_probability_grid,0.9,24.0,0.0,25.0,0.0352
cancellation_probability_grid,1.0,24.0,0.0,25.0,0.0442
cancellation_probability_grid,1.1,24.0,1.0,25.0,0.0524
class1_balk_surface,0.9,23.0,0.0,23.0,0.0074
class1_balk_surface,1.0,24.0,5.0,24.0,0.0215
class1_balk_surface,1.1,25.0,4.0,25.0,0.0349
class1_no_show_surface,0.9,23.0,0.0,24.0,0.0006
class1_no_show_surface,1.0,24.0,24.0,24.0,0.0144
class1_no_show_surface,1.1,25.0,25.0,25.0,0.0275
class2_balk_surface,0.9,24.0,0.0,24.0,0.0079
class2_balk_surface,1.0,24.0,12.0,24.0,0.0222
class2_balk_surface,1.1,24.0,16.0,25.0,0.0351
class2_no_show_surface,0.9,19.0,16.0,25.0,0.0158
class2_no_show_surface,1.0,23.0,16.0,25.0,0.0215
class2_no_show_surface,1.1,24.0,16.0,25.0,0.0349
no_show_probability_grid,0.9,22.0,0.0,25.0,0.0079
no_show_probability_grid,1.0,24.0,23.0,25.0,0.0215
no_show_probability_grid,1.1,25.0,24.0,25.0,0.0349
no_show_threshold_grid,0.9,23.0,0.0,24.0,0.0143
no_show_threshold_grid,1.0,24.0,12.0,25.0,0.0264
no_show_threshold_grid,1.1,25.0,14.0,25.0,0.0382
