policy,Q,rho_1,rho_2,rho_total,weighted_util_class_1,weighted_util_class_2,weighted_utilization,tau_1,tau_2,weighted_wait,served_rate_1,served_rate_2,min_served_rate,served_rate_flag
Pooled FCFS,0,0.5033732876712329,0.4974657534246575,1.0008390410958905,0.7550599315068494,0.4974657534246575,1.252525684931507,5.420387187309788,5.417746496996356,5.419327076599282,0.5856168523932497,0.5831648769911885,0.5822518148626945,False
Strict C1 reservation,0,0.5033732876712329,0.4974657534246575,1.0008390410958905,0.7550599315068494,0.4974657534246575,1.252525684931507,5.420387187309788,5.417746496996356,5.419327076599282,0.5856168523932497,0.5831648769911885,0.5822518148626945,False
Strict C1 reservation,2,0.5036301369863013,0.49720890410958907,1.0008390410958905,0.755445205479452,0.49720890410958907,1.252654109589041,5.414483905961556,5.423710095162571,5.4181416716041015,0.5859883548221368,0.5827888493948581,0.5819302913761714,False
Strict C1 reservation,4,0.5040410958904109,0.49679794520547943,1.0008390410958903,0.7560616438356165,0.49679794520547943,1.2528595890410958,5.404223823863045,5.434055205853594,5.416082993456576,0.5865749661567066,0.5821905707467911,0.5817682949677919,False
Strict C1 reservation,6,0.5050171232876712,0.4958219178082192,1.0008390410958905,0.7575256849315068,0.4958219178082192,1.253347602739726,5.39093822758246,5.447498495754814,5.413424022998173,0.5880207451348608,0.5807356736359269,0.5807356736359269,False
Strict C1 reservation,8,0.5057534246575343,0.4950856164383562,1.0008390410958905,0.7586301369863013,0.4950856164383562,1.2537157534246577,5.371112650554835,5.467539326510287,5.409452500893094,0.5892694559686573,0.5794794343768854,0.5794794343768854,False
Strict C1 reservation,10,0.508013698630137,0.4928253424657534,1.0008390410958905,0.7620205479452056,0.4928253424657534,1.254845890410959,5.3415022636514085,5.497479117548346,5.403536058377236,0.5925475895141867,0.5761439240587493,0.5761439240587493,False
Strict C1 reservation,12,0.5102739726027398,0.4905479452054794,1.0008219178082194,0.7654109589041097,0.4905479452054794,1.255958904109589,5.297898984060231,5.541814214498086,5.394883923626186,0.59664858104329,0.5717944904677434,0.5717944904677434,False
Strict C1 reservation,16,0.5400856164383562,0.4605993150684931,1.0006849315068493,0.8101284246575343,0.4605993150684931,1.2707277397260275,4.7640364791065135,6.2414345946406025,5.352202351502965,0.668160395296686,0.4981708641338566,0.4981708641338566,True
Strict C1 reservation,20,0.6375,0.3628253424657534,1.0003253424657532,0.95625,0.3628253424657534,1.3190753424657535,3.014408218082071,7.622842818110007,4.85711270231649,0.813939264832598,0.3884136494822938,0.3884136494822938,True
Strict C1 reservation,24,0.7500684931506849,0.24931506849315072,0.9993835616438357,1.1251027397260274,0.24931506849315072,1.374417808219178,1.3413450917895893,9.371245424098928,4.53513015886817,0.9556596751241028,0.26743859568932266,0.26743859568932266,True
Strict C1 reservation,28,0.7740068493150685,0.12513698630136988,0.8991438356164384,1.1610102739726027,0.12513698630136988,1.2861472602739725,0.06988147678539305,10.581308854161334,2.9380837430017683,1.0,0.13608925592634805,0.13608925592634805,True
Strict C1 reservation,32,0.781095890410959,0.0,0.781095890410959,1.1716438356164383,0.0,1.1716438356164383,0.008749072997816461,,0.008749072997816461,1.0,0.0,0.0,True
