policy,noshow_level,balk_level,analysis_range,backgrounds,median_delta_average_utilization,mean_delta_average_utilization,median_delta_class_1_percent_serviced,mean_delta_class_1_percent_serviced,median_delta_class_2_percent_serviced,mean_delta_class_2_percent_serviced,share_c1_positive,share_c1_ge_0_5pp,share_c1_supported_gain,share_util_within_0_5pp_budget_mean,share_util_budget_supported_by_ci
both_flexible,high,high,full,60,-0.0005890410958903692,-0.0007905631659056653,0.03191092536082605,0.04053389921774731,-0.04019470236797763,-0.08274809948963789,0.9833333333333333,0.9666666666666667,0.9666666666666667,1.0,0.9833333333333333
both_flexible,high,low,full,60,-0.0005890410958903692,-0.0007905631659056653,0.03191092536082605,0.04053389921774731,-0.04019470236797763,-0.08274809948963789,0.9833333333333333,0.9666666666666667,0.9666666666666667,1.0,0.9833333333333333
both_flexible,high,medium,full,60,-0.0005890410958903692,-0.0007905631659056653,0.03191092536082605,0.04053389921774731,-0.04019470236797763,-0.08274809948963789,0.9833333333333333,0.9666666666666667,0.9666666666666667,1.0,0.9833333333333333
both_flexible,low,high,full,60,-0.0006429223744292056,-0.0008712633181126281,0.036949473290652,0.06246617594271315,-0.051627462484273245,-0.09471602884250004,0.9833333333333333,0.9833333333333333,0.9833333333333333,1.0,0.9833333333333333
both_flexible,low,low,full,60,-0.0006474885844747813,-0.0008531202435311917,0.039518158415285456,0.06802758589081322,-0.051627462484273245,-0.10448156780200184,1.0,1.0,1.0,1.0,0.9833333333333333
both_flexible,low,medium,full,60,-0.0006292237442923898,-0.0007871841704718347,0.04125931376501646,0.07903088940866655,-0.051627462484273245,-0.11229857486286199,0.9833333333333333,0.9666666666666667,0.9666666666666667,1.0,0.9833333333333333
both_flexible,medium,high,full,60,-0.0005789954337899362,-0.0008288280060882945,0.03307317766086362,0.04141959413951192,-0.04019470236797763,-0.07918739431818124,0.9833333333333333,0.95,0.95,1.0,0.9833333333333333
both_flexible,medium,low,full,60,-0.0005789954337899362,-0.0008283713850837222,0.033479203001485686,0.042719156979314984,-0.04037614254816861,-0.07976999653946645,0.9833333333333333,0.95,0.95,1.0,0.9833333333333333
both_flexible,medium,medium,full,60,-0.0005789954337899362,-0.0008212176560121863,0.033479203001485686,0.042727697926235216,-0.04022578140036501,-0.07976498450120632,0.9833333333333333,0.95,0.95,1.0,0.9833333333333333
horizon_only,high,high,full,60,0.0,0.00010273972602744246,0.0,0.00017228410353092397,0.0,-2.6185647062489514e-05,0.26666666666666666,0.03333333333333333,0.03333333333333333,1.0,1.0
horizon_only,high,low,full,60,0.0,0.00010273972602744246,0.0,0.00017228410353092397,0.0,-2.6185647062489514e-05,0.26666666666666666,0.03333333333333333,0.03333333333333333,1.0,1.0
horizon_only,high,medium,full,60,0.0,0.00010273972602744246,0.0,0.00017228410353092397,0.0,-2.6185647062489514e-05,0.26666666666666666,0.03333333333333333,0.03333333333333333,1.0,1.0
horizon_only,low,high,full,60,0.0,0.00012703196347035945,0.0,0.002329383578548316,0.0,-0.0015855675756695007,0.48333333333333334,0.13333333333333333,0.13333333333333333,1.0,1.0
horizon_only,low,low,full,60,0.0,0.00010468797564691324,0.0,0.0005723282049707904,0.0,-0.0005281953206642549,0.43333333333333335,0.016666666666666666,0.0,1.0,1.0
horizon_only,low,medium,full,60,0.0,0.00013391171993916762,6.798930765490874e-05,0.0012729664831004246,0.0,-0.0006051573447766342,0.5,0.11666666666666667,0.11666666666666667,1.0,1.0
horizon_only,medium,high,full,60,0.0,0.0001211567732116096,0.0,0.0002883648743211727,0.0,1.4589470900693165e-05,0.26666666666666666,0.03333333333333333,0.03333333333333333,1.0,1.0
horizon_only,medium,low,full,60,0.0,0.0001211567732116096,0.0,0.0002883648743211727,0.0,1.4589470900693165e-05,0.26666666666666666,0.03333333333333333,0.03333333333333333,1.0,1.0
horizon_only,medium,medium,full,60,0.0,0.0001211567732116096,0.0,0.0002883648743211727,0.0,1.4589470900693165e-05,0.26666666666666666,0.03333333333333333,0.03333333333333333,1.0,1.0
reservation_only,high,high,full,60,-0.0003004566210045301,-0.0009947945205479015,0.010399340786306091,0.023622467018157827,-0.015039049726895074,-0.03849807148150121,0.85,0.6666666666666666,0.65,0.95,0.8833333333333333
reservation_only,high,low,full,60,-0.0003187214611871048,-0.0011268188736681497,0.010138786068303634,0.023889646847627104,-0.015039049726895074,-0.039052259645639756,0.85,0.6833333333333333,0.6666666666666666,0.9333333333333333,0.85
reservation_only,high,medium,full,60,-0.0003004566210045301,-0.0010781430745813983,0.010138786068303634,0.024375929871762573,-0.015039049726895074,-0.039046885646904096,0.85,0.6666666666666666,0.65,0.9666666666666667,0.85
reservation_only,low,high,full,60,-0.00036894977168937525,-0.0007886149162860814,0.0346557311688058,0.10141798270700167,-0.07222026188883965,-0.11011456490797239,0.9833333333333333,0.9,0.8833333333333333,0.9833333333333333,0.95
reservation_only,low,low,full,60,-0.00042739726027405387,-0.0007877321156772819,0.04094861725913815,0.09853042649969904,-0.07232480454686988,-0.11132931346196161,0.9666666666666667,0.8833333333333333,0.8666666666666667,0.9833333333333333,0.95
reservation_only,low,medium,full,60,-0.00040182648401831944,-0.0007366818873667466,0.03017511240543795,0.10639835153667204,-0.0701119478263375,-0.11242336972696551,0.9666666666666667,0.8666666666666667,0.85,0.9833333333333333,0.95
reservation_only,medium,high,full,60,-0.00031872146118718246,-0.001095464231354585,0.013549146488297813,0.025180272824040187,-0.016910786138091258,-0.04454949219073694,0.8666666666666667,0.7166666666666667,0.7,0.9333333333333333,0.85
reservation_only,medium,low,full,60,-0.00035433789954339434,-0.0011750684931506506,0.014645009762987594,0.025710747661720698,-0.016910786138091258,-0.04708631149314197,0.8666666666666667,0.7333333333333333,0.7166666666666667,0.9166666666666666,0.8833333333333333
reservation_only,medium,medium,full,60,-0.00035433789954339434,-0.0011414916286148651,0.016706806182069028,0.031609676979212714,-0.01874444650151256,-0.052915882742062555,0.8666666666666667,0.7333333333333333,0.7166666666666667,0.9333333333333333,0.8666666666666667
both_flexible,high,high,headline_rho_le_2_5,50,-0.0006200913242010776,-0.0008444566210045959,0.034982714512349924,0.040806078843842124,-0.04019470236797763,-0.08450928923770172,1.0,0.98,0.98,1.0,0.98
both_flexible,high,low,headline_rho_le_2_5,50,-0.0006200913242010776,-0.0008444566210045959,0.034982714512349924,0.040806078843842124,-0.04019470236797763,-0.08450928923770172,1.0,0.98,0.98,1.0,0.98
both_flexible,high,medium,headline_rho_le_2_5,50,-0.0006200913242010776,-0.0008444566210045959,0.034982714512349924,0.040806078843842124,-0.04019470236797763,-0.08450928923770172,1.0,0.98,0.98,1.0,0.98
