background_id,policy,candidate_type,candidate_exists,utilization_tolerance,win_threshold,neutral_band,avg_opt_horizon_days,avg_opt_Q,avg_opt_window,avg_opt_average_utilization,avg_opt_class_1_percent_serviced,avg_opt_class_2_percent_serviced,baseline_average_utilization,baseline_class_1_percent_serviced,baseline_class_2_percent_serviced,n_feasible_cells,selected_horizon_days,selected_Q,selected_window,search_average_utilization,search_class_1_percent_serviced,search_class_2_percent_serviced,delta_utilization_vs_avg_opt,delta_sr1_vs_avg_opt,delta_sr2_vs_avg_opt,delta_utilization_vs_baseline,delta_sr1_vs_baseline,delta_sr2_vs_baseline,same_as_avg_utilization_optimum,genuinely_active_reservation
PBF_NS_HIGH_BK_HIGH_C001,horizon_only,access_recovery,True,0.005,0.005,0.005,3,0,-1,0.9486757990867561,0.7943402412853062,0.7914042727539932,0.9486757990867563,0.7943402412853061,0.7914042727539933,25,3.0,0.0,-1.0,0.9486757990867561,0.7943402412853062,0.7914042727539932,0.0,0.0,0.0,-1.1102230246251565e-16,1.1102230246251565e-16,-1.1102230246251565e-16,True,False
PBF_NS_HIGH_BK_HIGH_C001,horizon_only,best_win_win,False,0.005,0.005,0.005,3,0,-1,0.9486757990867561,0.7943402412853062,0.7914042727539932,0.9486757990867563,0.7943402412853061,0.7914042727539933,25,,,,,,,,,,,,,False,False
PBF_NS_HIGH_BK_HIGH_C001,horizon_only,c1_win_c2_neutral_if_better,False,0.005,0.005,0.005,3,0,-1,0.9486757990867561,0.7943402412853062,0.7914042727539932,0.9486757990867563,0.7943402412853061,0.7914042727539933,25,,,,,,,,,,,,,False,False
PBF_NS_HIGH_BK_HIGH_C001,reservation_only,access_recovery,True,0.005,0.005,0.005,100,19,5,0.9497716894977151,0.8279216863450973,0.7838054907767075,0.9486757990867563,0.7943402412853061,0.7914042727539933,99,100.0,25.0,5.0,0.9455159817351587,0.8604027464803228,0.7774261266368716,-0.004255707762556349,0.03248106013522545,-0.006379364139835864,-0.003159817351597538,0.06606250519501666,-0.01397814611712167,False,True
PBF_NS_HIGH_BK_HIGH_C001,reservation_only,best_win_win,False,0.005,0.005,0.005,100,19,5,0.9497716894977151,0.8279216863450973,0.7838054907767075,0.9486757990867563,0.7943402412853061,0.7914042727539933,99,,,,,,,,,,,,,False,False
PBF_NS_HIGH_BK_HIGH_C001,reservation_only,c1_win_c2_neutral_if_better,True,0.005,0.005,0.005,100,19,5,0.9497716894977151,0.8279216863450973,0.7838054907767075,0.9486757990867563,0.7943402412853061,0.7914042727539933,99,100.0,16.0,3.0,0.9486575342465736,0.8216956297445982,0.7882669278894234,-0.0011141552511414465,-0.00622605660049913,0.00446143711271596,-1.8264840182635744e-05,0.027355388459292085,-0.0031373448645698465,False,True
PBF_NS_HIGH_BK_HIGH_C001,both_flexible,access_recovery,True,0.005,0.005,0.005,2,10,2,0.950027397260272,0.8103061195942605,0.7813856508981124,0.9486757990867563,0.7943402412853061,0.7914042727539933,789,6.0,25.0,5.0,0.9455159817351587,0.8604027464803228,0.7774261266368716,-0.004511415525113249,0.05009662688606231,-0.003959524261240799,-0.003159817351597538,0.06606250519501666,-0.01397814611712167,False,True
PBF_NS_HIGH_BK_HIGH_C001,both_flexible,best_win_win,False,0.005,0.005,0.005,2,10,2,0.950027397260272,0.8103061195942605,0.7813856508981124,0.9486757990867563,0.7943402412853061,0.7914042727539933,789,,,,,,,,,,,,,False,False
PBF_NS_HIGH_BK_HIGH_C001,both_flexible,c1_win_c2_neutral_if_better,True,0.005,0.005,0.005,2,10,2,0.950027397260272,0.8103061195942605,0.7813856508981124,0.9486757990867563,0.7943402412853061,0.7914042727539933,789,3.0,19.0,3.0,0.9487853881278525,0.8330146927682467,0.7867597048653442,-0.0012420091324194527,0.022708573173986224,0.005374053967231784,0.00010958904109625855,0.038674451482940575,-0.004644567888649087,False,True
PBF_NS_HIGH_BK_HIGH_C002,horizon_only,access_recovery,True,0.005,0.005,0.005,2,0,-1,0.9499616438356149,0.78860490480621,0.7930589704913653,0.9498630136986291,0.7887198269595203,0.7906374131156446,25,3.0,0.0,-1.0,0.9498630136986289,0.7887198269595203,0.7906374131156447,-9.863013698596657e-05,0.00011492215331021516,-0.0024215573757205844,-2.220446049250313e-16,0.0,1.1102230246251565e-16,False,False
PBF_NS_HIGH_BK_HIGH_C002,horizon_only,best_win_win,False,0.005,0.005,0.005,2,0,-1,0.9499616438356149,0.78860490480621,0.7930589704913653,0.9498630136986291,0.7887198269595203,0.7906374131156446,25,,,,,,,,,,,,,False,False
PBF_NS_HIGH_BK_HIGH_C002,horizon_only,c1_win_c2_neutral_if_better,False,0.005,0.005,0.005,2,0,-1,0.9499616438356149,0.78860490480621,0.7930589704913653,0.9498630136986291,0.7887198269595203,0.7906374131156446,25,,,,,,,,,,,,,False,False
PBF_NS_HIGH_BK_HIGH_C002,reservation_only,access_recovery,True,0.005,0.005,0.005,100,40,3,0.9499726027397252,0.8498240251360072,0.7819870007902476,0.9498630136986291,0.7887198269595203,0.7906374131156446,173,100.0,44.0,9.0,0.9481972602739717,0.8697975188243363,0.7837104547619095,-0.0017753424657535044,0.019973493688329125,0.001723453971661848,-0.001665753424657468,0.08107769186481606,-0.006926958353735135,False,True
PBF_NS_HIGH_BK_HIGH_C002,reservation_only,best_win_win,False,0.005,0.005,0.005,100,40,3,0.9499726027397252,0.8498240251360072,0.7819870007902476,0.9498630136986291,0.7887198269595203,0.7906374131156446,173,,,,,,,,,,,,,False,False
PBF_NS_HIGH_BK_HIGH_C002,reservation_only,c1_win_c2_neutral_if_better,True,0.005,0.005,0.005,100,40,3,0.9499726027397252,0.8498240251360072,0.7819870007902476,0.9498630136986291,0.7887198269595203,0.7906374131156446,173,100.0,48.0,3.0,0.9470684931506836,0.852729505354288,0.7860757723186513,-0.002904109589041526,0.0029054802182808537,0.004088771528403701,-0.0027945205479454893,0.06400967839476779,-0.004561640796993283,False,True
PBF_NS_HIGH_BK_HIGH_C002,both_flexible,access_recovery,True,0.005,0.005,0.005,3,25,3,0.9511671232876697,0.8174919818677007,0.7923693168684001,0.9498630136986291,0.7887198269595203,0.7906374131156446,1619,8.0,45.0,8.0,0.9461917808219162,0.8715491635264829,0.779368920418563,-0.004975342465753485,0.05405718165878226,-0.013000396449837082,-0.0036712328767128932,0.08282933656696267,-0.011268492697081633,False,True
PBF_NS_HIGH_BK_HIGH_C002,both_flexible,best_win_win,False,0.005,0.005,0.005,3,25,3,0.9511671232876697,0.8174919818677007,0.7923693168684001,0.9498630136986291,0.7887198269595203,0.7906374131156446,1619,,,,,,,,,,,,,False,False
PBF_NS_HIGH_BK_HIGH_C002,both_flexible,c1_win_c2_neutral_if_better,True,0.005,0.005,0.005,3,25,3,0.9511671232876697,0.8174919818677007,0.7923693168684001,0.9498630136986291,0.7887198269595203,0.7906374131156446,1619,3.0,40.0,3.0,0.9482082191780812,0.8535512973817214,0.7881828547233141,-0.002958904109588545,0.03605931551402075,-0.004186462145086001,-0.001654794520547953,0.06483147042220117,-0.0024545583923305525,False,True
PBF_NS_HIGH_BK_HIGH_C003,horizon_only,access_recovery,True,0.005,0.005,0.005,2,0,-1,0.9481095890410941,0.7825361562899114,0.783761703991345,0.948073059360729,0.7927045289190089,0.7919319767722838,25,3.0,0.0,-1.0,0.948073059360729,0.7927045289190089,0.7919319767722837,-3.6529680365049444e-05,0.010168372629097533,0.008170272780938626,0.0,0.0,-1.1102230246251565e-16,False,False
PBF_NS_HIGH_BK_HIGH_C003,horizon_only,best_win_win,False,0.005,0.005,0.005,2,0,-1,0.9481095890410941,0.7825361562899114,0.783761703991345,0.948073059360729,0.7927045289190089,0.7919319767722838,25,,,,,,,,,,,,,False,False
PBF_NS_HIGH_BK_HIGH_C003,horizon_only,c1_win_c2_neutral_if_better,False,0.005,0.005,0.005,2,0,-1,0.9481095890410941,0.7825361562899114,0.783761703991345,0.948073059360729,0.7927045289190089,0.7919319767722838,25,,,,,,,,,,,,,False,False
PBF_NS_HIGH_BK_HIGH_C003,reservation_only,access_recovery,True,0.005,0.005,0.005,100,0,-1,0.948073059360729,0.7927045289190089,0.7919319767722837,0.948073059360729,0.7927045289190089,0.7919319767722838,110,100.0,27.0,7.0,0.944255707762556,0.8556591764861388,0.7565532424234205,-0.003817351598173091,0.06295464756712987,-0.03537873434886318,-0.003817351598173091,0.06295464756712987,-0.035378734348863294,False,True
