analysis_range,policy,point_type,noshow_level,balk_level,frozen_candidates,strict_target_validated,favorable_or_better,final_win_win,final_c1_win_c2_neutral
full,both_flexible,best_win_win,high,high,2,0,0,0,0
full,both_flexible,best_win_win,high,low,2,0,0,0,0
full,both_flexible,best_win_win,high,medium,4,0,0,0,0
full,both_flexible,best_win_win,medium,high,1,0,0,0,0
full,both_flexible,best_win_win,medium,low,1,0,0,0,0
full,both_flexible,best_win_win,medium,medium,3,0,0,0,0
full,both_flexible,c1_win_c2_neutral_if_better,high,high,30,1,1,0,1
full,both_flexible,c1_win_c2_neutral_if_better,high,low,46,2,2,0,2
full,both_flexible,c1_win_c2_neutral_if_better,high,medium,35,0,0,0,0
full,both_flexible,c1_win_c2_neutral_if_better,low,high,30,2,2,0,2
full,both_flexible,c1_win_c2_neutral_if_better,low,low,29,1,1,0,1
full,both_flexible,c1_win_c2_neutral_if_better,low,medium,28,0,0,0,0
full,both_flexible,c1_win_c2_neutral_if_better,medium,high,29,1,1,0,1
full,both_flexible,c1_win_c2_neutral_if_better,medium,low,45,2,2,0,2
full,both_flexible,c1_win_c2_neutral_if_better,medium,medium,34,0,0,0,0
full,horizon_only,best_win_win,high,high,2,0,0,0,0
full,horizon_only,best_win_win,high,low,2,0,0,0,0
full,horizon_only,best_win_win,high,medium,4,0,1,0,1
full,horizon_only,best_win_win,medium,high,1,0,0,0,0
full,horizon_only,best_win_win,medium,low,1,0,0,0,0
full,horizon_only,best_win_win,medium,medium,3,0,1,0,1
full,horizon_only,c1_win_c2_neutral_if_better,high,high,24,10,10,0,10
full,horizon_only,c1_win_c2_neutral_if_better,high,low,40,15,15,0,15
full,horizon_only,c1_win_c2_neutral_if_better,high,medium,28,9,9,0,9
full,horizon_only,c1_win_c2_neutral_if_better,low,high,7,4,4,0,4
full,horizon_only,c1_win_c2_neutral_if_better,low,low,12,1,1,0,1
full,horizon_only,c1_win_c2_neutral_if_better,low,medium,11,4,4,0,4
full,horizon_only,c1_win_c2_neutral_if_better,medium,high,20,8,8,0,8
full,horizon_only,c1_win_c2_neutral_if_better,medium,low,36,14,14,0,14
full,horizon_only,c1_win_c2_neutral_if_better,medium,medium,24,8,8,0,8
full,reservation_only,c1_win_c2_neutral_if_better,high,high,8,5,5,0,5
full,reservation_only,c1_win_c2_neutral_if_better,high,low,8,5,5,0,5
full,reservation_only,c1_win_c2_neutral_if_better,high,medium,8,5,5,0,5
full,reservation_only,c1_win_c2_neutral_if_better,low,high,25,8,8,0,8
full,reservation_only,c1_win_c2_neutral_if_better,low,low,22,8,8,0,8
full,reservation_only,c1_win_c2_neutral_if_better,low,medium,23,9,9,0,9
full,reservation_only,c1_win_c2_neutral_if_better,medium,high,12,8,8,0,8
full,reservation_only,c1_win_c2_neutral_if_better,medium,low,11,8,8,0,8
full,reservation_only,c1_win_c2_neutral_if_better,medium,medium,14,9,9,0,9
headline_rho_le_2_5,both_flexible,best_win_win,high,high,2,0,0,0,0
headline_rho_le_2_5,both_flexible,best_win_win,high,low,2,0,0,0,0
headline_rho_le_2_5,both_flexible,best_win_win,high,medium,4,0,0,0,0
headline_rho_le_2_5,both_flexible,best_win_win,medium,high,1,0,0,0,0
headline_rho_le_2_5,both_flexible,best_win_win,medium,low,1,0,0,0,0
headline_rho_le_2_5,both_flexible,best_win_win,medium,medium,3,0,0,0,0
headline_rho_le_2_5,both_flexible,c1_win_c2_neutral_if_better,high,high,29,1,1,0,1
headline_rho_le_2_5,both_flexible,c1_win_c2_neutral_if_better,high,low,37,1,1,0,1
headline_rho_le_2_5,both_flexible,c1_win_c2_neutral_if_better,high,medium,31,0,0,0,0
headline_rho_le_2_5,both_flexible,c1_win_c2_neutral_if_better,low,high,25,2,2,0,2
headline_rho_le_2_5,both_flexible,c1_win_c2_neutral_if_better,low,low,25,1,1,0,1
headline_rho_le_2_5,both_flexible,c1_win_c2_neutral_if_better,low,medium,24,0,0,0,0
headline_rho_le_2_5,both_flexible,c1_win_c2_neutral_if_better,medium,high,28,1,1,0,1
headline_rho_le_2_5,both_flexible,c1_win_c2_neutral_if_better,medium,low,36,1,1,0,1
headline_rho_le_2_5,both_flexible,c1_win_c2_neutral_if_better,medium,medium,30,0,0,0,0
headline_rho_le_2_5,horizon_only,best_win_win,high,high,2,0,0,0,0
headline_rho_le_2_5,horizon_only,best_win_win,high,low,2,0,0,0,0
headline_rho_le_2_5,horizon_only,best_win_win,high,medium,4,0,1,0,1
headline_rho_le_2_5,horizon_only,best_win_win,medium,high,1,0,0,0,0
headline_rho_le_2_5,horizon_only,best_win_win,medium,low,1,0,0,0,0
headline_rho_le_2_5,horizon_only,best_win_win,medium,medium,3,0,1,0,1
headline_rho_le_2_5,horizon_only,c1_win_c2_neutral_if_better,high,high,22,8,8,0,8
headline_rho_le_2_5,horizon_only,c1_win_c2_neutral_if_better,high,low,30,8,8,0,8
headline_rho_le_2_5,horizon_only,c1_win_c2_neutral_if_better,high,medium,23,6,6,0,6
headline_rho_le_2_5,horizon_only,c1_win_c2_neutral_if_better,low,high,4,2,2,0,2
headline_rho_le_2_5,horizon_only,c1_win_c2_neutral_if_better,low,low,8,1,1,0,1
headline_rho_le_2_5,horizon_only,c1_win_c2_neutral_if_better,low,medium,7,1,1,0,1
headline_rho_le_2_5,horizon_only,c1_win_c2_neutral_if_better,medium,high,18,6,6,0,6
headline_rho_le_2_5,horizon_only,c1_win_c2_neutral_if_better,medium,low,26,7,7,0,7
headline_rho_le_2_5,horizon_only,c1_win_c2_neutral_if_better,medium,medium,19,5,5,0,5
headline_rho_le_2_5,reservation_only,c1_win_c2_neutral_if_better,high,high,8,5,5,0,5
headline_rho_le_2_5,reservation_only,c1_win_c2_neutral_if_better,high,low,8,5,5,0,5
headline_rho_le_2_5,reservation_only,c1_win_c2_neutral_if_better,high,medium,8,5,5,0,5
headline_rho_le_2_5,reservation_only,c1_win_c2_neutral_if_better,low,high,19,8,8,0,8
headline_rho_le_2_5,reservation_only,c1_win_c2_neutral_if_better,low,low,18,8,8,0,8
headline_rho_le_2_5,reservation_only,c1_win_c2_neutral_if_better,low,medium,20,9,9,0,9
headline_rho_le_2_5,reservation_only,c1_win_c2_neutral_if_better,medium,high,12,8,8,0,8
headline_rho_le_2_5,reservation_only,c1_win_c2_neutral_if_better,medium,low,11,8,8,0,8
headline_rho_le_2_5,reservation_only,c1_win_c2_neutral_if_better,medium,medium,14,9,9,0,9
stress_rho_3,both_flexible,c1_win_c2_neutral_if_better,high,high,1,0,0,0,0
stress_rho_3,both_flexible,c1_win_c2_neutral_if_better,high,low,9,1,1,0,1
stress_rho_3,both_flexible,c1_win_c2_neutral_if_better,high,medium,4,0,0,0,0
stress_rho_3,both_flexible,c1_win_c2_neutral_if_better,low,high,5,0,0,0,0
stress_rho_3,both_flexible,c1_win_c2_neutral_if_better,low,low,4,0,0,0,0
stress_rho_3,both_flexible,c1_win_c2_neutral_if_better,low,medium,4,0,0,0,0
stress_rho_3,both_flexible,c1_win_c2_neutral_if_better,medium,high,1,0,0,0,0
stress_rho_3,both_flexible,c1_win_c2_neutral_if_better,medium,low,9,1,1,0,1
stress_rho_3,both_flexible,c1_win_c2_neutral_if_better,medium,medium,4,0,0,0,0
stress_rho_3,horizon_only,c1_win_c2_neutral_if_better,high,high,2,2,2,0,2
stress_rho_3,horizon_only,c1_win_c2_neutral_if_better,high,low,10,7,7,0,7
stress_rho_3,horizon_only,c1_win_c2_neutral_if_better,high,medium,5,3,3,0,3
stress_rho_3,horizon_only,c1_win_c2_neutral_if_better,low,high,3,2,2,0,2
stress_rho_3,horizon_only,c1_win_c2_neutral_if_better,low,low,4,0,0,0,0
stress_rho_3,horizon_only,c1_win_c2_neutral_if_better,low,medium,4,3,3,0,3
stress_rho_3,horizon_only,c1_win_c2_neutral_if_better,medium,high,2,2,2,0,2
stress_rho_3,horizon_only,c1_win_c2_neutral_if_better,medium,low,10,7,7,0,7
