comparison,n_paired_seeds,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,average_utilization_status,delta_weighted_utilization,delta_weighted_utilization_ci_low,delta_weighted_utilization_ci_high,weighted_utilization_status,background_id,variant
both_flexible_vs_baseline,10,-0.00046575342465757783,-0.003123287671232967,0.0021280821917809127,inconclusive,0.004662975319511898,7.739196986196437e-05,0.009315506856902793,inconclusive,BG00001,release
both_flexible_vs_reservation_only,10,-0.00035616438356166346,-0.004274429223744446,0.003744520547945251,inconclusive,0.003632682001319154,-0.0005165524170359718,0.008637984501085107,inconclusive,BG00001,release
both_flexible_vs_horizon_only,10,-0.00046575342465757783,-0.003068493150685014,0.002155479452054919,inconclusive,0.004662975319511898,0.00048087782156485634,0.009334223387877103,inconclusive,BG00001,release
both_flexible_vs_baseline,10,-0.0032602739726027784,-0.008986529680365188,0.0022924657534246387,inconclusive,0.0007907292288400036,-0.0005266097477174165,0.002249183968742946,inconclusive,BG00002,release
both_flexible_vs_reservation_only,10,-0.0032602739726027784,-0.00895890410958895,0.0022465753424657526,inconclusive,0.0007907292288400036,-0.0005173587920475972,0.00221558841674799,inconclusive,BG00002,release
both_flexible_vs_horizon_only,10,-0.0032602739726027784,-0.008749315068493269,0.0022465753424658645,inconclusive,0.0007907292288400036,-0.00058860408384698,0.0021404118820580933,inconclusive,BG00002,release
both_flexible_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00003,release
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00003,release
both_flexible_vs_horizon_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00003,release
both_flexible_vs_baseline,10,-0.0008127853881279235,-0.0027397260273974377,0.0012148401826486636,inconclusive,0.32756752939816813,0.3234118460082472,0.33195861553486605,supported,BG00004,release
both_flexible_vs_reservation_only,10,-0.0014977168949773078,-0.003461187214612128,0.0007123287671228981,inconclusive,0.0013113132062112065,-0.0013139756164433512,0.003370578026446775,inconclusive,BG00004,release
both_flexible_vs_horizon_only,10,-0.0008127853881279235,-0.0027305936073061775,0.0010958904109587997,inconclusive,0.32756752939816813,0.32347998634045055,0.3321543396865967,supported,BG00004,release
both_flexible_vs_baseline,10,-0.00026484018264829603,-0.0014429223744292351,0.0011689497716896784,inconclusive,0.09469370839310827,0.09248294207216422,0.09660747245028857,supported,BG00005,release
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00005,release
both_flexible_vs_horizon_only,10,-0.00026484018264829603,-0.0014246575342465098,0.0011415525114157556,inconclusive,0.09469370839310827,0.09255531028454371,0.09664577252709691,supported,BG00005,release
both_flexible_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00006,release
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00006,release
both_flexible_vs_horizon_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00006,release
both_flexible_vs_baseline,10,-0.0009178082191779735,-0.0029999999999997945,0.0010410958904110592,inconclusive,0.0033500099869721244,-0.0045560541204521824,0.012391146853943626,inconclusive,BG00007,release
