background_id,variant,baseline_horizon_days,baseline_Q,baseline_window,baseline_average_utilization,baseline_weighted_utilization,baseline_n_seeds,horizon_only_horizon_days,horizon_only_Q,horizon_only_window,horizon_only_average_utilization,horizon_only_weighted_utilization,horizon_only_n_seeds,reservation_only_horizon_days,reservation_only_Q,reservation_only_window,reservation_only_average_utilization,reservation_only_weighted_utilization,reservation_only_n_seeds,both_flexible_horizon_days,both_flexible_Q,both_flexible_window,both_flexible_average_utilization,both_flexible_weighted_utilization,both_flexible_n_seeds,horizon_days,rho,class1_share,slots_per_day,noshow_threshold_1,noshow_threshold_2
BG00001,release,2,0,-1,0.7204383561643835,0.9006044558197928,10,2,0,-1,0.7204383561643835,0.9006044558197928,10,2,24,2,0.7203287671232876,0.9016347491379856,10,6,26,3,0.719972602739726,0.9052674311393046,10,2,0.8,0.1,30,4,4
BG00002,release,2,0,-1,0.7221917808219177,0.9009992169055734,10,2,0,-1,0.7221917808219177,0.9009992169055734,10,2,0,-1,0.7221917808219177,0.9009992169055734,10,6,30,3,0.718931506849315,0.9017899461344134,10,2,0.8,0.5,30,4,4
BG00003,release,2,0,-1,0.7195799086757988,0.9023747156127591,10,2,0,-1,0.7195799086757988,0.9023747156127591,10,2,0,-1,0.7195799086757988,0.9023747156127591,10,2,0,-1,0.7195799086757988,0.9023747156127591,10,2,0.8,0.9,30,4,4
BG00004,release,2,0,-1,0.9490684931506836,0.31914348233394574,10,2,0,-1,0.9490684931506836,0.31914348233394574,10,2,30,2,0.9497534246575329,0.6453996985259026,10,10,29,10,0.9482557077625557,0.6467110117321138,10,2,3.0,0.1,30,4,4
BG00005,release,2,0,-1,0.9496986301369847,0.3163212790991426,10,2,0,-1,0.9496986301369847,0.3163212790991426,10,2,30,2,0.9494337899543364,0.41101498749225096,10,2,30,2,0.9494337899543364,0.41101498749225096,10,2,3.0,0.5,30,4,4
BG00006,release,2,0,-1,0.9496073059360715,0.316555967855176,10,2,0,-1,0.9496073059360715,0.316555967855176,10,2,0,-1,0.9496073059360715,0.316555967855176,10,2,0,-1,0.9496073059360715,0.316555967855176,10,2,3.0,0.9,30,4,4
BG00007,release,2,0,-1,0.6661780821917808,0.715643972671235,10,2,0,-1,0.6661780821917808,0.715643972671235,10,2,17,2,0.6679178082191779,0.7189805317734882,10,6,17,6,0.6652602739726028,0.7189939826582072,10,2,0.8,0.1,20,4,4
BG00008,release,2,0,-1,0.8931050228310499,0.7308142235562585,10,6,0,-1,0.8922100456621,0.7322942977101252,10,2,23,2,0.8846027397260272,0.740494449340251,10,26,30,23,0.8644840182648403,0.7424338055500412,10,2,1.2,0.1,30,14,20
BG00009,release,2,0,-1,0.8095342465753426,0.2665632360114314,10,2,0,-1,0.8095342465753426,0.2665632360114314,10,2,40,2,0.8088109589041098,0.26689834107359817,10,2,40,2,0.8088109589041098,0.26689834107359817,10,2,3.0,0.9,50,14,7
BG00010,release,2,0,-1,0.6632547945205478,0.7063229406128744,10,2,0,-1,0.6632547945205478,0.7063229406128744,10,2,50,2,0.6611232876712329,0.706891532534273,10,6,50,5,0.6652657534246577,0.7094494158625719,10,2,0.8,0.1,50,22,14
BG00011,release,2,0,-1,0.9228013698630138,0.5191046209090369,10,6,0,-1,0.923671232876712,0.5225096254983379,10,2,39,2,0.9071164383561644,0.5394887073335886,10,18,40,16,0.904595890410959,0.5410347996583093,10,2,1.4,0.1,40,14,4
BG00012,release,2,0,-1,0.904267123287671,0.56859764448796,10,2,0,-1,0.904267123287671,0.56859764448796,10,2,39,2,0.9066643835616441,0.7410219446545951,10,2,39,2,0.9066643835616441,0.7410219446545951,10,2,1.6,0.1,40,7,20
BG00013,release,2,0,-1,0.9501753424657521,0.5808131247387311,10,2,0,-1,0.9501753424657521,0.5808131247387311,10,2,49,2,0.9485150684931496,0.6502655960372394,10,18,49,18,0.9497917808219164,0.6509139040520872,10,2,1.6,0.5,50,4,22
BG00014,release,2,0,-1,0.7760342465753427,0.7780694998641774,10,2,0,-1,0.7760342465753427,0.7780694998641774,10,2,21,2,0.7761643835616442,0.7784159221167177,10,6,34,3,0.7757534246575343,0.7792702661332923,10,2,1.2,0.1,40,20,4
BG00015,release,2,0,-1,0.7988712328767124,0.627663076631277,10,2,0,-1,0.7988712328767124,0.627663076631277,10,2,35,2,0.7980109589041098,0.6291734235633727,10,2,35,2,0.7980109589041098,0.6291734235633727,10,2,1.2,0.5,50,14,4
BG00016,release,2,0,-1,0.889808219178083,0.286122051908292,10,2,0,-1,0.889808219178083,0.286122051908292,10,2,0,-1,0.889808219178083,0.286122051908292,10,2,0,-1,0.889808219178083,0.286122051908292,10,2,3.0,0.9,30,7,22
BG00017,release,2,0,-1,0.6776712328767117,0.7623828716431504,10,2,0,-1,0.6776712328767117,0.7623828716431504,10,2,0,-1,0.6776712328767117,0.7623828716431504,10,10,30,9,0.6810776255707758,0.764443696714847,10,2,1.0,0.1,30,4,14
