comparison,n_paired_seeds,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,average_utilization_status,delta_weighted_utilization,delta_weighted_utilization_ci_low,delta_weighted_utilization_ci_high,weighted_utilization_status,background_id,variant
both_flexible_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00001,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00001,strict
both_flexible_vs_horizon_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00001,strict
both_flexible_vs_baseline,10,0.003662100456621009,0.0006301369863013753,0.007159817351598164,inconclusive,0.0007366528803071093,0.0002803544522206408,0.0012406577813515137,inconclusive,BG00002,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00002,strict
both_flexible_vs_horizon_only,10,0.003662100456621009,0.0007123287671233105,0.007324200913241975,inconclusive,0.0007366528803071093,0.00029222484612919264,0.0012790302735877443,inconclusive,BG00002,strict
both_flexible_vs_baseline,10,0.0010410958904110811,-0.0012511415525113811,0.003744520547945323,inconclusive,0.0010865006198669813,0.0001788578184925449,0.0022238986794298763,inconclusive,BG00003,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00003,strict
both_flexible_vs_horizon_only,10,0.0010410958904110811,-0.0012239726027396874,0.003799543378995709,inconclusive,0.0010865006198669813,0.00014914185894513405,0.0021951880509563566,inconclusive,BG00003,strict
both_flexible_vs_baseline,10,-0.08293150684931284,-0.08527853881278327,-0.07976187214611642,contradicted,0.35236808525731866,0.34883299279319613,0.35598736168786693,supported,BG00004,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00004,strict
both_flexible_vs_horizon_only,10,-0.08293150684931284,-0.08527876712328555,-0.07983538812785163,contradicted,0.35236808525731866,0.3489144630404998,0.35601280348690717,supported,BG00004,strict
both_flexible_vs_baseline,10,0.00030136986301372294,-0.0009863013698627864,0.0016986301369862132,inconclusive,0.10547477018866769,0.10327596833924498,0.10755937540781818,supported,BG00005,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00005,strict
both_flexible_vs_horizon_only,10,0.00030136986301372294,-0.0010136986301367522,0.0016166666666665324,inconclusive,0.10547477018866769,0.1033187700745129,0.10750079307066757,supported,BG00005,strict
both_flexible_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00006,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00006,strict
both_flexible_vs_horizon_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00006,strict
both_flexible_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00007,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00007,strict
