comparison,n_paired_seeds,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,average_utilization_status,delta_weighted_utilization,delta_weighted_utilization_ci_low,delta_weighted_utilization_ci_high,weighted_utilization_status,background_id,variant,optimization_objective
horizon_only_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00001,release,average_utilization
reservation_only_vs_baseline,10,0.0012511415525114033,-0.0013607305936072735,0.004201141552511291,inconclusive,-0.0016825271408150155,-0.005003595582231629,0.0014143327649099703,inconclusive,BG00001,release,average_utilization
both_flexible_vs_baseline,10,0.0020913242009132694,-0.00025593607305937426,0.005187671232876594,inconclusive,-0.0012037207454880573,-0.00263815185347958,-5.453108153367773e-05,inconclusive,BG00001,release,average_utilization
both_flexible_vs_horizon_only,10,0.0020913242009132694,-0.00028310502283094283,0.005178082191780653,inconclusive,-0.0012037207454880573,-0.0026537528235833553,-4.002041943759898e-05,inconclusive,BG00001,release,average_utilization
both_flexible_vs_reservation_only,10,0.0008401826484018659,-0.0016260273972603992,0.0030958904109589804,inconclusive,0.00047880639532695837,-0.002122920581267795,0.0031743951748031095,inconclusive,BG00001,release,average_utilization
reservation_only_vs_horizon_only,10,0.0012511415525114033,-0.0014429223744291898,0.004265525114155162,inconclusive,-0.0016825271408150155,-0.004908002800555908,0.0014662590135243946,inconclusive,BG00001,release,average_utilization
horizon_only_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00002,release,average_utilization
reservation_only_vs_baseline,10,0.0009497716894977471,-1.826484018265795e-05,0.0023287671232877782,inconclusive,-7.790553897828456e-05,-0.00036171706617727303,0.00014371099541989895,inconclusive,BG00002,release,average_utilization
both_flexible_vs_baseline,10,0.0009497716894977471,-1.826484018265795e-05,0.002319634703196449,inconclusive,-7.790553897828456e-05,-0.00036947290542944656,0.00014371099541989895,inconclusive,BG00002,release,average_utilization
both_flexible_vs_horizon_only,10,0.0009497716894977471,-1.826484018265795e-05,0.0021917808219179546,inconclusive,-7.790553897828456e-05,-0.00036947290542944656,0.00014371099541989895,inconclusive,BG00002,release,average_utilization
