background_id,variant,optimization_objective,baseline_horizon_days,baseline_Q,baseline_window,baseline_average_utilization,baseline_weighted_utilization,baseline_n_seeds,horizon_only_horizon_days,horizon_only_Q,horizon_only_window,horizon_only_average_utilization,horizon_only_weighted_utilization,horizon_only_n_seeds,reservation_only_horizon_days,reservation_only_Q,reservation_only_window,reservation_only_average_utilization,reservation_only_weighted_utilization,reservation_only_n_seeds,both_flexible_horizon_days,both_flexible_Q,both_flexible_window,both_flexible_average_utilization,both_flexible_weighted_utilization,both_flexible_n_seeds,horizon_days,rho,class1_share,slots_per_day,noshow_threshold_1,noshow_threshold_2
BG00001,release,average_utilization,2,0,-1,0.7204383561643835,0.9006044558197928,10,2,0,-1,0.7204383561643835,0.9006044558197928,10,2,23,2,0.721689497716895,0.8989219286789778,10,6,25,2,0.7225296803652969,0.8994007350743047,10,2,0.8,0.1,30,4,4
BG00002,release,average_utilization,2,0,-1,0.7221917808219177,0.9009992169055734,10,2,0,-1,0.7221917808219177,0.9009992169055734,10,2,25,2,0.7231415525114155,0.9009213113665953,10,2,25,2,0.7231415525114155,0.9009213113665953,10,2,0.8,0.5,30,4,4
BG00003,release,average_utilization,2,0,-1,0.7195799086757988,0.9023747156127591,10,2,0,-1,0.7195799086757988,0.9023747156127591,10,2,0,-1,0.7195799086757988,0.9023747156127591,10,2,0,-1,0.7195799086757988,0.9023747156127591,10,2,0.8,0.9,30,4,4
BG00004,release,average_utilization,2,0,-1,0.9490684931506836,0.31914348233394574,10,2,0,-1,0.9490684931506836,0.31914348233394574,10,2,10,2,0.9504018264840169,0.6064913918745607,10,2,10,2,0.9504018264840169,0.6064913918745607,10,2,3.0,0.1,30,4,4
BG00005,release,average_utilization,2,0,-1,0.9496986301369847,0.3163212790991426,10,2,0,-1,0.9496986301369847,0.3163212790991426,10,2,27,2,0.9499086757990854,0.39341740207790454,10,2,27,2,0.9499086757990854,0.39341740207790454,10,2,3.0,0.5,30,4,4
BG00006,release,average_utilization,2,0,-1,0.9496073059360715,0.316555967855176,10,2,0,-1,0.9496073059360715,0.316555967855176,10,2,0,-1,0.9496073059360715,0.316555967855176,10,2,0,-1,0.9496073059360715,0.316555967855176,10,2,3.0,0.9,30,4,4
BG00007,release,average_utilization,2,0,-1,0.6661780821917808,0.715643972671235,10,2,0,-1,0.6661780821917808,0.715643972671235,10,2,17,2,0.6679178082191779,0.7189805317734882,10,6,19,3,0.6704794520547945,0.7219307538564624,10,2,0.8,0.1,20,4,4
BG00008,release,average_utilization,2,0,-1,0.8931050228310499,0.7308142235562585,10,2,0,-1,0.8931050228310499,0.7308142235562585,10,2,0,-1,0.8931050228310499,0.7308142235562585,10,2,0,-1,0.8931050228310499,0.7308142235562585,10,2,1.2,0.1,30,14,20
BG00009,release,average_utilization,2,0,-1,0.8095342465753426,0.2665632360114314,10,2,0,-1,0.8095342465753426,0.2665632360114314,10,2,43,2,0.8112986301369862,0.26619499725326956,10,2,43,2,0.8112986301369862,0.26619499725326956,10,2,3.0,0.9,50,14,7
BG00010,release,average_utilization,2,0,-1,0.6632547945205478,0.7063229406128744,10,2,0,-1,0.6632547945205478,0.7063229406128744,10,2,49,2,0.6646958904109588,0.7043082152390266,10,10,50,7,0.6661479452054795,0.7058791011724279,10,2,0.8,0.1,50,22,14
