comparison,n_paired_seeds,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,average_utilization_status,delta_weighted_utilization,delta_weighted_utilization_ci_low,delta_weighted_utilization_ci_high,weighted_utilization_status,background_id,variant,optimization_objective
horizon_only_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00001,strict,average_utilization
reservation_only_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00001,strict,average_utilization
both_flexible_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00001,strict,average_utilization
both_flexible_vs_horizon_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00001,strict,average_utilization
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00001,strict,average_utilization
reservation_only_vs_horizon_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00001,strict,average_utilization
horizon_only_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00002,strict,average_utilization
reservation_only_vs_baseline,10,0.003662100456621009,0.0006755707762558709,0.007305936073059286,inconclusive,0.0007366528803071093,0.0002838215660771248,0.0012521443044376044,inconclusive,BG00002,strict,average_utilization
both_flexible_vs_baseline,10,0.003662100456621009,0.0006755707762554592,0.007223744292237535,inconclusive,0.0007366528803071093,0.0002778978088605738,0.0012278940016134494,inconclusive,BG00002,strict,average_utilization
both_flexible_vs_horizon_only,10,0.003662100456621009,0.0005662100456622945,0.007150684931506838,inconclusive,0.0007366528803071093,0.0002760626548653788,0.0012558250144185624,inconclusive,BG00002,strict,average_utilization
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00002,strict,average_utilization
reservation_only_vs_horizon_only,10,0.003662100456621009,0.0006481735159815492,0.0072970319634703025,inconclusive,0.0007366528803071093,0.0002758016480179143,0.0012591864234749246,inconclusive,BG00002,strict,average_utilization
horizon_only_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00003,strict,average_utilization
reservation_only_vs_baseline,10,0.003232876712328947,-0.0026212328767123527,0.008776255707762871,inconclusive,-0.009908804760603008,-0.013707882168053569,-0.00642089985574719,contradicted,BG00003,strict,average_utilization
both_flexible_vs_baseline,10,0.003232876712328947,-0.0026397260273971646,0.008740182648402034,inconclusive,-0.009908804760603008,-0.013568389801921677,-0.006457617237561727,contradicted,BG00003,strict,average_utilization
both_flexible_vs_horizon_only,10,0.003232876712328947,-0.0027673515981735063,0.008794977168950105,inconclusive,-0.009908804760603008,-0.013715086211224225,-0.00637927957274842,contradicted,BG00003,strict,average_utilization
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00003,strict,average_utilization
reservation_only_vs_horizon_only,10,0.003232876712328947,-0.0029315068493150688,0.008876712328767222,inconclusive,-0.009908804760603008,-0.013720863456116979,-0.006485253339405384,contradicted,BG00003,strict,average_utilization
horizon_only_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00004,strict,average_utilization
reservation_only_vs_baseline,10,0.0009680365296802163,-0.0005388127853881153,0.0027490867579910575,inconclusive,0.14431788688637512,0.13928688027248967,0.149863166724017,supported,BG00004,strict,average_utilization
both_flexible_vs_baseline,10,0.0009680365296802163,-0.000547945205479839,0.0027856164383561885,inconclusive,0.14431788688637512,0.13940705146662483,0.14972068778892206,supported,BG00004,strict,average_utilization
both_flexible_vs_horizon_only,10,0.0009680365296802163,-0.0005573059360734716,0.002867808219178132,inconclusive,0.14431788688637512,0.13933145728437404,0.15001625331633914,supported,BG00004,strict,average_utilization
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00004,strict,average_utilization
reservation_only_vs_horizon_only,10,0.0009680365296802163,-0.0005753424657537617,0.002776255707762565,inconclusive,0.14431788688637512,0.13921207185466383,0.14986575405103017,supported,BG00004,strict,average_utilization
horizon_only_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00005,strict,average_utilization
reservation_only_vs_baseline,10,0.0007305936073059294,6.39269406392573e-05,0.001342465753424716,inconclusive,0.06620696321192614,0.0650755080384575,0.06732535324999975,supported,BG00005,strict,average_utilization
both_flexible_vs_baseline,10,0.0007305936073059294,7.283105022819656e-05,0.0013333333333333877,inconclusive,0.06620696321192614,0.06506752083736476,0.0673059285998866,supported,BG00005,strict,average_utilization
both_flexible_vs_horizon_only,10,0.0007305936073059294,6.392694063922455e-05,0.0013244292237443937,inconclusive,0.06620696321192614,0.06506407902111526,0.06730587900720257,supported,BG00005,strict,average_utilization
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00005,strict,average_utilization
reservation_only_vs_horizon_only,10,0.0007305936073059294,7.283105022823874e-05,0.001351598173515978,inconclusive,0.06620696321192614,0.06511141878967358,0.06733583262148161,supported,BG00005,strict,average_utilization
horizon_only_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00006,strict,average_utilization
reservation_only_vs_baseline,10,7.305936073059849e-05,0.0,0.00021917808219179546,inconclusive,-0.08213265189264787,-0.08354775261163,-0.08070328807977134,contradicted,BG00006,strict,average_utilization
both_flexible_vs_baseline,10,7.305936073059849e-05,0.0,0.00021917808219179546,inconclusive,-0.08213265189264787,-0.08352367186614156,-0.08069182087068107,contradicted,BG00006,strict,average_utilization
