background_id,variant,optimization_objective,baseline_horizon_days,baseline_Q,baseline_window,baseline_average_utilization,baseline_weighted_utilization,baseline_n_seeds,horizon_only_horizon_days,horizon_only_Q,horizon_only_window,horizon_only_average_utilization,horizon_only_weighted_utilization,horizon_only_n_seeds,reservation_only_horizon_days,reservation_only_Q,reservation_only_window,reservation_only_average_utilization,reservation_only_weighted_utilization,reservation_only_n_seeds,both_flexible_horizon_days,both_flexible_Q,both_flexible_window,both_flexible_average_utilization,both_flexible_weighted_utilization,both_flexible_n_seeds,horizon_days,rho,class1_share,slots_per_day,noshow_threshold_1,noshow_threshold_2
BG00001,strict,average_utilization,2,0,-1,0.7204383561643835,0.9006044558197928,10,2,0,-1,0.7204383561643835,0.9006044558197928,10,2,0,-1,0.7204383561643835,0.9006044558197928,10,2,0,-1,0.7204383561643835,0.9006044558197928,10,2,0.8,0.1,30,4,4
BG00002,strict,average_utilization,2,0,-1,0.7221917808219177,0.9009992169055734,10,2,0,-1,0.7221917808219177,0.9009992169055734,10,2,11,1,0.7258538812785388,0.9017358697858805,10,2,11,1,0.7258538812785388,0.9017358697858805,10,2,0.8,0.5,30,4,4
BG00003,strict,average_utilization,2,0,-1,0.7195799086757988,0.9023747156127591,10,2,0,-1,0.7195799086757988,0.9023747156127591,10,2,27,1,0.7228127853881277,0.8924659108521562,10,2,27,1,0.7228127853881277,0.8924659108521562,10,2,0.8,0.9,30,4,4
BG00004,strict,average_utilization,2,0,-1,0.9490684931506836,0.31914348233394574,10,2,0,-1,0.9490684931506836,0.31914348233394574,10,2,5,2,0.9500365296803638,0.46346136922032083,10,2,5,2,0.9500365296803638,0.46346136922032083,10,2,3.0,0.1,30,4,4
BG00005,strict,average_utilization,2,0,-1,0.9496986301369847,0.3163212790991426,10,2,0,-1,0.9496986301369847,0.3163212790991426,10,2,24,2,0.9504292237442907,0.38252824231106886,10,2,24,2,0.9504292237442907,0.38252824231106886,10,2,3.0,0.5,30,4,4
BG00006,strict,average_utilization,2,0,-1,0.9496073059360715,0.316555967855176,10,2,0,-1,0.9496073059360715,0.316555967855176,10,2,30,2,0.9496803652968019,0.23442331596252813,10,2,30,2,0.9496803652968019,0.23442331596252813,10,2,3.0,0.9,30,4,4
BG00007,strict,average_utilization,2,0,-1,0.6661780821917808,0.715643972671235,10,2,0,-1,0.6661780821917808,0.715643972671235,10,2,0,-1,0.6661780821917808,0.715643972671235,10,2,0,-1,0.6661780821917808,0.715643972671235,10,2,0.8,0.1,20,4,4
BG00008,strict,average_utilization,2,0,-1,0.8931050228310499,0.7308142235562585,10,2,0,-1,0.8931050228310499,0.7308142235562585,10,2,1,2,0.8934155251141551,0.7369574684676984,10,6,1,3,0.8934429223744289,0.7376280655859949,10,2,1.2,0.1,30,14,20
BG00009,strict,average_utilization,2,0,-1,0.8095342465753426,0.2665632360114314,10,2,0,-1,0.8095342465753426,0.2665632360114314,10,2,6,1,0.8101041095890412,0.2670498630245599,10,2,6,1,0.8101041095890412,0.2670498630245599,10,2,3.0,0.9,50,14,7
BG00010,strict,average_utilization,2,0,-1,0.6632547945205478,0.7063229406128744,10,2,0,-1,0.6632547945205478,0.7063229406128744,10,2,9,1,0.6673863013698628,0.7046222731911462,10,2,9,1,0.6673863013698628,0.7046222731911462,10,2,0.8,0.1,50,22,14
BG00011,strict,average_utilization,2,0,-1,0.9228013698630138,0.5191046209090369,10,6,0,-1,0.923671232876712,0.5225096254983379,10,2,0,-1,0.9228013698630138,0.5191046209090369,10,6,0,-1,0.923671232876712,0.5225096254983379,10,2,1.4,0.1,40,14,4
BG00012,strict,average_utilization,2,0,-1,0.904267123287671,0.56859764448796,10,2,0,-1,0.904267123287671,0.56859764448796,10,2,0,-1,0.904267123287671,0.56859764448796,10,6,4,6,0.9065136986301369,0.6105982612066697,10,2,1.6,0.1,40,7,20
BG00013,strict,average_utilization,2,0,-1,0.9501753424657521,0.5808131247387311,10,2,0,-1,0.9501753424657521,0.5808131247387311,10,2,5,2,0.950652054794519,0.5805349403498283,10,6,35,5,0.9508383561643823,0.6148516633816186,10,2,1.6,0.5,50,4,22
BG00014,strict,average_utilization,2,0,-1,0.7760342465753427,0.7780694998641774,10,2,0,-1,0.7760342465753427,0.7780694998641774,10,2,2,1,0.7798219178082191,0.7750982938353144,10,2,2,1,0.7798219178082191,0.7750982938353144,10,2,1.2,0.1,40,20,4
BG00015,strict,average_utilization,2,0,-1,0.7988712328767124,0.627663076631277,10,6,0,-1,0.7998794520547947,0.6268692525358003,10,2,15,2,0.8000109589041099,0.6275320011232552,10,6,15,2,0.8004054794520551,0.6272131270882718,10,2,1.2,0.5,50,14,4
BG00016,strict,average_utilization,2,0,-1,0.889808219178083,0.286122051908292,10,6,0,-1,0.8903378995433796,0.2856698314963227,10,2,30,2,0.8996164383561644,0.22207571270726872,10,2,30,2,0.8996164383561644,0.22207571270726872,10,2,3.0,0.9,30,7,22
BG00017,strict,average_utilization,2,0,-1,0.6776712328767117,0.7623828716431504,10,2,0,-1,0.6776712328767117,0.7623828716431504,10,2,0,-1,0.6776712328767117,0.7623828716431504,10,2,0,-1,0.6776712328767117,0.7623828716431504,10,2,1.0,0.1,30,4,14
BG00018,strict,average_utilization,2,0,-1,0.7619178082191786,0.7161574428350594,10,2,0,-1,0.7619178082191786,0.7161574428350594,10,2,12,1,0.7658995433789958,0.7154490461245023,10,2,12,1,0.7658995433789958,0.7154490461245023,10,2,1.0,0.5,30,7,20
BG00019,strict,average_utilization,2,0,-1,0.9094630136986289,0.7486806612117148,10,2,0,-1,0.9094630136986289,0.7486806612117148,10,2,28,1,0.9108657534246565,0.7502157231794644,10,2,28,1,0.9108657534246565,0.7502157231794644,10,2,1.2,0.7,50,4,7
