background_id,selected_policy,search_constraints_feasible,search_failure_reason,selected_horizon_days,selected_Q,selected_window,n_seeds,average_utilization,priority_weighted_utilization,class_1_percent_serviced,class_2_percent_serviced,delta_average_utilization_vs_average_optimum,delta_class_2_percent_serviced_vs_baseline,delta_priority_weighted_utilization_vs_baseline,evaluation_average_constraint_met,evaluation_class_2_constraint_met,baseline_equivalent,design_note,patient_characteristic,class2_reference,contrast_level,profile_id,clinic_context_id,clinic_block,native_horizon_days,rho,class1_share,slots_per_day,lambda_1,lambda_2,cancel_1,cancel_2,balk_threshold_1,balk_low_1,balk_high_1,balk_threshold_2,balk_low_2,balk_high_2,noshow_threshold_1,noshow_low_1,noshow_high_1,noshow_threshold_2,noshow_low_2,noshow_high_2,cap_thresholds_to_horizon
PCF_BK_LOW_MILD_C001,reservation_only,True,,10,19,3,10,0.9470684931506833,0.5228219178082192,0.8355563945959552,0.7860317476015677,-0.00047488584474897344,-0.0015613927070501354,0.0008767123287671819,True,True,True,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C001,fully_crossed_confirmatory,10,1.2,0.1,30,3.6,32.4,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C002,reservation_only,True,,14,19,3,10,0.9470684931506833,0.5228219178082192,0.8355563945959552,0.7860317476015677,-0.00047488584474897344,-0.0015613927070501354,0.0008767123287671819,True,True,True,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C002,fully_crossed_confirmatory,14,1.2,0.1,30,3.6,32.4,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C003,reservation_only,True,,22,19,3,10,0.9470684931506833,0.5228219178082192,0.8355563945959552,0.7860317476015677,-0.00047488584474897344,-0.0015613927070501354,0.0008767123287671819,True,True,True,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C003,fully_crossed_confirmatory,22,1.2,0.1,30,3.6,32.4,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C004,both_flexible,True,,4,37,4,10,0.9489534246575332,0.5253890410958904,0.8443454636458417,0.7834930668065817,0.0,-0.004527055005991043,0.0034383561643834826,True,True,True,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C004,fully_crossed_confirmatory,10,1.2,0.1,50,6.0,54.0,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C005,both_flexible,True,,4,37,4,10,0.9489534246575332,0.5253890410958904,0.8443454636458417,0.7834930668065817,0.0,-0.004527055005991043,0.0034383561643834826,True,True,True,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C005,fully_crossed_confirmatory,14,1.2,0.1,50,6.0,54.0,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C006,both_flexible,True,,4,37,4,10,0.9489534246575332,0.5253890410958904,0.8443454636458417,0.7834930668065817,0.0,-0.004527055005991043,0.0034383561643834826,True,True,True,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C006,fully_crossed_confirmatory,22,1.2,0.1,50,6.0,54.0,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C007,both_flexible,True,,4,19,4,10,0.9484748858447478,0.621406392694064,0.8168941252774182,0.7812660769995191,-0.0004840182648397917,-0.00834525286464638,0.005598173515981797,True,True,False,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C007,fully_crossed_confirmatory,10,1.2,0.3,30,10.8,25.2,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C008,both_flexible,True,,4,19,4,10,0.9484748858447478,0.621406392694064,0.8168941252774182,0.7812660769995191,-0.0004840182648397917,-0.00834525286464638,0.005598173515981797,True,True,False,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C008,fully_crossed_confirmatory,14,1.2,0.3,30,10.8,25.2,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C009,both_flexible,True,,4,19,4,10,0.9484748858447478,0.621406392694064,0.8168941252774182,0.7812660769995191,-0.0004840182648397917,-0.00834525286464638,0.005598173515981797,True,True,False,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C009,fully_crossed_confirmatory,22,1.2,0.3,30,10.8,25.2,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C010,both_flexible,True,,4,30,3,10,0.950345205479451,0.6209068493150685,0.8098168901600614,0.7824257878435471,0.00033424657534242286,-0.00875078724350653,0.0037178082191781092,True,True,True,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C010,fully_crossed_confirmatory,10,1.2,0.3,50,18.0,42.0,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C011,both_flexible,True,,4,30,3,10,0.950345205479451,0.6209068493150685,0.8098168901600614,0.7824257878435471,0.00033424657534242286,-0.00875078724350653,0.0037178082191781092,True,True,True,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C011,fully_crossed_confirmatory,14,1.2,0.3,50,18.0,42.0,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C012,both_flexible,True,,4,30,3,10,0.950345205479451,0.6209068493150685,0.8098168901600614,0.7824257878435471,0.00033424657534242286,-0.00875078724350653,0.0037178082191781092,True,True,True,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C012,fully_crossed_confirmatory,22,1.2,0.3,50,18.0,42.0,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C013,both_flexible,True,,4,17,4,10,0.947762557077624,0.7122831050228311,0.7979990134356532,0.7877249819834975,0.0009406392694064625,-0.005914130660752304,0.0017762557077627417,True,True,True,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C013,fully_crossed_confirmatory,10,1.2,0.5,30,18.0,18.0,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C014,both_flexible,True,,4,17,4,10,0.947762557077624,0.7122831050228311,0.7979990134356532,0.7877249819834975,0.0009406392694064625,-0.005914130660752304,0.0017762557077627417,True,True,True,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C014,fully_crossed_confirmatory,14,1.2,0.5,30,18.0,18.0,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C015,both_flexible,True,,4,17,4,10,0.947762557077624,0.7122831050228311,0.7979990134356532,0.7877249819834975,0.0009406392694064625,-0.005914130660752304,0.0017762557077627417,True,True,True,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C015,fully_crossed_confirmatory,22,1.2,0.5,30,18.0,18.0,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C016,both_flexible,True,,2,30,2,10,0.9493534246575331,0.7164356164383562,0.8026001561439164,0.7767391883281706,0.0,-0.010868482261050305,0.003931506849314981,True,False,True,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C016,fully_crossed_confirmatory,10,1.2,0.5,50,30.0,30.0,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C017,both_flexible,True,,2,30,2,10,0.9493534246575331,0.7164356164383562,0.8026001561439164,0.7767391883281706,0.0,-0.010868482261050305,0.003931506849314981,True,False,True,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C017,fully_crossed_confirmatory,14,1.2,0.5,50,30.0,30.0,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C018,both_flexible,True,,2,30,2,10,0.9493534246575331,0.7164356164383562,0.8026001561439164,0.7767391883281706,0.0,-0.010868482261050305,0.003931506849314981,True,False,True,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C018,fully_crossed_confirmatory,22,1.2,0.5,50,30.0,30.0,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C019,both_flexible,True,,6,21,6,10,0.9475068493150669,0.8066027397260275,0.7910396754297087,0.7803816961230146,-0.00034703196347063425,-0.005136361432995895,0.0008995433789955598,True,True,True,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C019,fully_crossed_confirmatory,10,1.2,0.7,30,25.2,10.8,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C020,both_flexible,True,,6,21,6,10,0.9475068493150669,0.8066027397260275,0.7910396754297087,0.7803816961230146,-0.00034703196347063425,-0.005136361432995895,0.0008995433789955598,True,True,True,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C020,fully_crossed_confirmatory,14,1.2,0.7,30,25.2,10.8,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C021,both_flexible,True,,6,21,6,10,0.9475068493150669,0.8066027397260275,0.7910396754297087,0.7803816961230146,-0.00034703196347063425,-0.005136361432995895,0.0008995433789955598,True,True,True,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C021,fully_crossed_confirmatory,22,1.2,0.7,30,25.2,10.8,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C022,both_flexible,True,,2,35,2,10,0.9492109589041086,0.8074931506849314,0.7961009313852856,0.7869154673746963,0.0,-0.0065623834573890205,0.0004191780821916069,True,True,True,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C022,fully_crossed_confirmatory,10,1.2,0.7,50,42.0,18.000000000000004,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C023,both_flexible,True,,2,35,2,10,0.9492109589041086,0.8074931506849314,0.7961009313852856,0.7869154673746963,0.0,-0.0065623834573890205,0.0004191780821916069,True,True,True,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C023,fully_crossed_confirmatory,14,1.2,0.7,50,42.0,18.000000000000004,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
