background_id,selection_objective,comparison,n_paired_seeds,increment_average_utilization,increment_average_utilization_ci_low,increment_average_utilization_ci_high,increment_average_utilization_status,increment_priority_weighted_utilization,increment_priority_weighted_utilization_ci_low,increment_priority_weighted_utilization_ci_high,increment_priority_weighted_utilization_status,increment_class_1_percent_serviced,increment_class_1_percent_serviced_ci_low,increment_class_1_percent_serviced_ci_high,increment_class_1_percent_serviced_status,increment_class_2_percent_serviced,increment_class_2_percent_serviced_ci_low,increment_class_2_percent_serviced_ci_high,increment_class_2_percent_serviced_status,design_note,patient_characteristic,class2_reference,contrast_level,profile_id,clinic_context_id,clinic_block,native_horizon_days,rho,class1_share,slots_per_day,lambda_1,lambda_2,cancel_1,cancel_2,balk_threshold_1,balk_low_1,balk_high_1,balk_threshold_2,balk_low_2,balk_high_2,noshow_threshold_1,noshow_low_1,noshow_high_1,noshow_threshold_2,noshow_low_2,noshow_high_2,cap_thresholds_to_horizon
PCF_BK_LOW_MILD_C001,average_utilization,horizon_only_vs_baseline,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C001,fully_crossed_confirmatory,10,1.2,0.1,30,3.6,32.4,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C001,average_utilization,reservation_only_vs_baseline,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C001,fully_crossed_confirmatory,10,1.2,0.1,30,3.6,32.4,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C001,average_utilization,both_flexible_vs_horizon_only,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C001,fully_crossed_confirmatory,10,1.2,0.1,30,3.6,32.4,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C001,average_utilization,both_flexible_vs_reservation_only,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C001,fully_crossed_confirmatory,10,1.2,0.1,30,3.6,32.4,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C001,priority_weighted_utilization,horizon_only_vs_baseline,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C001,fully_crossed_confirmatory,10,1.2,0.1,30,3.6,32.4,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C001,priority_weighted_utilization,reservation_only_vs_baseline,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C001,fully_crossed_confirmatory,10,1.2,0.1,30,3.6,32.4,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C001,priority_weighted_utilization,both_flexible_vs_horizon_only,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C001,fully_crossed_confirmatory,10,1.2,0.1,30,3.6,32.4,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C001,priority_weighted_utilization,both_flexible_vs_reservation_only,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C001,fully_crossed_confirmatory,10,1.2,0.1,30,3.6,32.4,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C002,average_utilization,horizon_only_vs_baseline,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C002,fully_crossed_confirmatory,14,1.2,0.1,30,3.6,32.4,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C002,average_utilization,reservation_only_vs_baseline,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C002,fully_crossed_confirmatory,14,1.2,0.1,30,3.6,32.4,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C002,average_utilization,both_flexible_vs_horizon_only,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C002,fully_crossed_confirmatory,14,1.2,0.1,30,3.6,32.4,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C002,average_utilization,both_flexible_vs_reservation_only,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C002,fully_crossed_confirmatory,14,1.2,0.1,30,3.6,32.4,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C002,priority_weighted_utilization,horizon_only_vs_baseline,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C002,fully_crossed_confirmatory,14,1.2,0.1,30,3.6,32.4,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C002,priority_weighted_utilization,reservation_only_vs_baseline,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C002,fully_crossed_confirmatory,14,1.2,0.1,30,3.6,32.4,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C002,priority_weighted_utilization,both_flexible_vs_horizon_only,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C002,fully_crossed_confirmatory,14,1.2,0.1,30,3.6,32.4,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C002,priority_weighted_utilization,both_flexible_vs_reservation_only,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C002,fully_crossed_confirmatory,14,1.2,0.1,30,3.6,32.4,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C003,average_utilization,horizon_only_vs_baseline,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C003,fully_crossed_confirmatory,22,1.2,0.1,30,3.6,32.4,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C003,average_utilization,reservation_only_vs_baseline,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C003,fully_crossed_confirmatory,22,1.2,0.1,30,3.6,32.4,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C003,average_utilization,both_flexible_vs_horizon_only,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C003,fully_crossed_confirmatory,22,1.2,0.1,30,3.6,32.4,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C003,average_utilization,both_flexible_vs_reservation_only,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C003,fully_crossed_confirmatory,22,1.2,0.1,30,3.6,32.4,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C003,priority_weighted_utilization,horizon_only_vs_baseline,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C003,fully_crossed_confirmatory,22,1.2,0.1,30,3.6,32.4,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C003,priority_weighted_utilization,reservation_only_vs_baseline,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C003,fully_crossed_confirmatory,22,1.2,0.1,30,3.6,32.4,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C003,priority_weighted_utilization,both_flexible_vs_horizon_only,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C003,fully_crossed_confirmatory,22,1.2,0.1,30,3.6,32.4,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C003,priority_weighted_utilization,both_flexible_vs_reservation_only,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C003,fully_crossed_confirmatory,22,1.2,0.1,30,3.6,32.4,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C004,average_utilization,horizon_only_vs_baseline,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C004,fully_crossed_confirmatory,10,1.2,0.1,50,6.0,54.0,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C004,average_utilization,reservation_only_vs_baseline,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C004,fully_crossed_confirmatory,10,1.2,0.1,50,6.0,54.0,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C004,average_utilization,both_flexible_vs_horizon_only,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C004,fully_crossed_confirmatory,10,1.2,0.1,50,6.0,54.0,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C004,average_utilization,both_flexible_vs_reservation_only,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C004,fully_crossed_confirmatory,10,1.2,0.1,50,6.0,54.0,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C004,priority_weighted_utilization,horizon_only_vs_baseline,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C004,fully_crossed_confirmatory,10,1.2,0.1,50,6.0,54.0,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C004,priority_weighted_utilization,reservation_only_vs_baseline,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C004,fully_crossed_confirmatory,10,1.2,0.1,50,6.0,54.0,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C004,priority_weighted_utilization,both_flexible_vs_horizon_only,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C004,fully_crossed_confirmatory,10,1.2,0.1,50,6.0,54.0,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C004,priority_weighted_utilization,both_flexible_vs_reservation_only,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C004,fully_crossed_confirmatory,10,1.2,0.1,50,6.0,54.0,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C005,average_utilization,horizon_only_vs_baseline,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C005,fully_crossed_confirmatory,14,1.2,0.1,50,6.0,54.0,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C005,average_utilization,reservation_only_vs_baseline,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C005,fully_crossed_confirmatory,14,1.2,0.1,50,6.0,54.0,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C005,average_utilization,both_flexible_vs_horizon_only,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C005,fully_crossed_confirmatory,14,1.2,0.1,50,6.0,54.0,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C005,average_utilization,both_flexible_vs_reservation_only,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C005,fully_crossed_confirmatory,14,1.2,0.1,50,6.0,54.0,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C005,priority_weighted_utilization,horizon_only_vs_baseline,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C005,fully_crossed_confirmatory,14,1.2,0.1,50,6.0,54.0,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C005,priority_weighted_utilization,reservation_only_vs_baseline,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C005,fully_crossed_confirmatory,14,1.2,0.1,50,6.0,54.0,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_MILD_C005,priority_weighted_utilization,both_flexible_vs_horizon_only,10,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,0.0,0.0,0.0,supported_neutral,patient_characteristics_full_confirmatory,balking_sensitivity,low,mild,BK_LOW_MILD,C005,fully_crossed_confirmatory,14,1.2,0.1,50,6.0,54.0,0.2,0.2,6,0.05,0.2,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
