background_id,variant,policy,comparison,average_optimal_horizon_days,average_optimal_Q,average_optimal_window,weighted_optimal_horizon_days,weighted_optimal_Q,weighted_optimal_window,same_horizon,same_Q,same_window,same_policy_cell,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,average_utilization_change_status,delta_weighted_utilization,delta_weighted_utilization_ci_low,delta_weighted_utilization_ci_high,weighted_utilization_change_status,delta_class_1_percent_serviced,delta_class_1_percent_serviced_ci_low,delta_class_1_percent_serviced_ci_high,class_1_percent_serviced_change_status,delta_class_2_percent_serviced,delta_class_2_percent_serviced_ci_low,delta_class_2_percent_serviced_ci_high,class_2_percent_serviced_change_status,delta_class_1_slot_utilization,delta_class_1_slot_utilization_ci_low,delta_class_1_slot_utilization_ci_high,class_1_slot_utilization_change_status,delta_class_2_slot_utilization,delta_class_2_slot_utilization_ci_low,delta_class_2_slot_utilization_ci_high,class_2_slot_utilization_change_status,n_paired_seeds,capacity_tradeoff,priority_weighted_access_tradeoff,class_1_served_rate_direction,class_2_served_rate_direction,patient_group_tradeoff,patient_group_supported_tradeoff,design_note,patient_characteristic,class2_reference,contrast_level,profile_id,clinic_context_id,clinic_block,horizon_days,rho,class1_share,slots_per_day,lambda_1,lambda_2,cancel_1,cancel_2,balk_threshold_1,balk_low_1,balk_high_1,balk_threshold_2,balk_low_2,balk_high_2,noshow_threshold_1,noshow_low_1,noshow_high_1,noshow_threshold_2,noshow_low_2,noshow_high_2,cap_thresholds_to_horizon
PCP_BK_LOW_MILD_C01,release,baseline,weighted_optimal_minus_average_optimal,6,0,-1,6,0,-1,True,True,True,True,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,5,tie,tie,tie,tie,both_groups_tied,both_groups_tied,patient_characteristics_pilot,balking_sensitivity,low,mild,BK_LOW_MILD,C01,compact_balanced_block_1,6,1.0,0.1,30,3.0,27.0,0.2,0.2,16,0.1,0.2,22,0.05,0.1,4,0.05,0.1,4,0.05,0.1,False
PCP_BK_LOW_MILD_C01,release,horizon_only,weighted_optimal_minus_average_optimal,2,0,-1,2,0,-1,True,True,True,True,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,5,tie,tie,tie,tie,both_groups_tied,both_groups_tied,patient_characteristics_pilot,balking_sensitivity,low,mild,BK_LOW_MILD,C01,compact_balanced_block_1,6,1.0,0.1,30,3.0,27.0,0.2,0.2,16,0.1,0.2,22,0.05,0.1,4,0.05,0.1,4,0.05,0.1,False
PCP_BK_LOW_MILD_C01,release,reservation_only,weighted_optimal_minus_average_optimal,6,17,3,6,22,3,True,False,True,False,-0.007707762557077546,-0.014063926940639427,-0.0007305936073055852,supported_decrease,0.007260965547101405,0.0021128689263258333,0.012463096985592914,supported_increase,0.011222597958084269,0.005769817253981846,0.01655602876812663,supported_increase,-0.0006622992748643641,-0.005601831970254256,0.004980869295047596,practical_tie,0.0008401826484017965,-0.0010776255707762832,0.003403196347031903,practical_tie,-0.008785388127853854,-0.013022831050228278,-0.004146118721461178,supported_decrease,5,decrease,increase,increase,tie,priority_gains_general_tied,priority_gains_general_tied,patient_characteristics_pilot,balking_sensitivity,low,mild,BK_LOW_MILD,C01,compact_balanced_block_1,6,1.0,0.1,30,3.0,27.0,0.2,0.2,16,0.1,0.2,22,0.05,0.1,4,0.05,0.1,4,0.05,0.1,False
PCP_BK_LOW_MILD_C01,release,both_flexible,weighted_optimal_minus_average_optimal,6,17,3,6,22,3,True,False,True,False,-0.007707762557077546,-0.013643835616438426,-0.0015785388127854743,supported_decrease,0.007260965547101405,0.002058834108609897,0.012463096985592914,supported_increase,0.011222597958084269,0.005766376543865788,0.01655602876812663,supported_increase,-0.0006622992748643641,-0.005601831970254256,0.004980869295047596,practical_tie,0.0008401826484017965,-0.0010776255707762832,0.003343835616438344,practical_tie,-0.008785388127853854,-0.013022831050228278,-0.004546118721461178,supported_decrease,5,decrease,increase,increase,tie,priority_gains_general_tied,priority_gains_general_tied,patient_characteristics_pilot,balking_sensitivity,low,mild,BK_LOW_MILD,C01,compact_balanced_block_1,6,1.0,0.1,30,3.0,27.0,0.2,0.2,16,0.1,0.2,22,0.05,0.1,4,0.05,0.1,4,0.05,0.1,False
PCP_BK_LOW_MILD_C02,release,baseline,weighted_optimal_minus_average_optimal,14,0,-1,14,0,-1,True,True,True,True,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,5,tie,tie,tie,tie,both_groups_tied,both_groups_tied,patient_characteristics_pilot,balking_sensitivity,low,mild,BK_LOW_MILD,C02,compact_balanced_block_1,14,1.0,0.3,50,15.0,35.0,0.2,0.2,16,0.1,0.2,22,0.05,0.1,4,0.05,0.1,4,0.05,0.1,False
PCP_BK_LOW_MILD_C02,release,horizon_only,weighted_optimal_minus_average_optimal,2,0,-1,2,0,-1,True,True,True,True,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,5,tie,tie,tie,tie,both_groups_tied,both_groups_tied,patient_characteristics_pilot,balking_sensitivity,low,mild,BK_LOW_MILD,C02,compact_balanced_block_1,14,1.0,0.3,50,15.0,35.0,0.2,0.2,16,0.1,0.2,22,0.05,0.1,4,0.05,0.1,4,0.05,0.1,False
PCP_BK_LOW_MILD_C02,release,reservation_only,weighted_optimal_minus_average_optimal,14,40,2,14,44,3,True,False,False,False,-0.0026739726027396717,-0.01135342465753426,0.005391780821917514,practical_tie,0.004669676589710447,0.003048964637393614,0.006473110603228083,practical_tie,0.007406799745549697,0.005158430827082961,0.01005289835672638,supported_increase,-0.0008045697219680959,-0.0030374164755469835,0.0014282770316107918,practical_tie,-0.0013150684931506728,-0.005402739726027383,0.0022136986301369956,practical_tie,-0.001468493150684913,-0.007199999999999984,0.003956164383561678,practical_tie,5,tie,tie,increase,tie,priority_gains_general_tied,priority_gains_general_tied,patient_characteristics_pilot,balking_sensitivity,low,mild,BK_LOW_MILD,C02,compact_balanced_block_1,14,1.0,0.3,50,15.0,35.0,0.2,0.2,16,0.1,0.2,22,0.05,0.1,4,0.05,0.1,4,0.05,0.1,False
PCP_BK_LOW_MILD_C02,release,both_flexible,weighted_optimal_minus_average_optimal,2,41,2,6,44,3,False,False,False,False,-0.005994520547945248,-0.010303013698629399,0.0008767123287672484,uncertain_decrease,0.002837567982649225,0.00014368514261529076,0.005991540555739139,practical_tie,0.002915562380043135,-0.0005135464143035451,0.006888021477327033,practical_tie,0.0026815791878613605,0.00014424259595979816,0.004948972385598698,practical_tie,-0.0010520547945205294,-0.005380821917808176,0.0018520547945205634,practical_tie,-0.00493150684931507,-0.009843013698630134,0.0006465753424657495,practical_tie,5,decrease,tie,tie,tie,both_groups_tied,both_groups_tied,patient_characteristics_pilot,balking_sensitivity,low,mild,BK_LOW_MILD,C02,compact_balanced_block_1,14,1.0,0.3,50,15.0,35.0,0.2,0.2,16,0.1,0.2,22,0.05,0.1,4,0.05,0.1,4,0.05,0.1,False
PCP_BK_LOW_MILD_C03,release,baseline,weighted_optimal_minus_average_optimal,22,0,-1,22,0,-1,True,True,True,True,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,5,tie,tie,tie,tie,both_groups_tied,both_groups_tied,patient_characteristics_pilot,balking_sensitivity,low,mild,BK_LOW_MILD,C03,compact_balanced_block_1,22,1.0,0.5,30,15.0,15.0,0.2,0.2,16,0.1,0.2,22,0.05,0.1,4,0.05,0.1,4,0.05,0.1,False
PCP_BK_LOW_MILD_C03,release,horizon_only,weighted_optimal_minus_average_optimal,2,0,-1,2,0,-1,True,True,True,True,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,5,tie,tie,tie,tie,both_groups_tied,both_groups_tied,patient_characteristics_pilot,balking_sensitivity,low,mild,BK_LOW_MILD,C03,compact_balanced_block_1,22,1.0,0.5,30,15.0,15.0,0.2,0.2,16,0.1,0.2,22,0.05,0.1,4,0.05,0.1,4,0.05,0.1,False
