background_id,variant,policy,comparison,average_optimal_horizon_days,average_optimal_Q,average_optimal_window,weighted_optimal_horizon_days,weighted_optimal_Q,weighted_optimal_window,same_horizon,same_Q,same_window,same_policy_cell,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,average_utilization_change_status,delta_weighted_utilization,delta_weighted_utilization_ci_low,delta_weighted_utilization_ci_high,weighted_utilization_change_status,delta_class_1_percent_serviced,delta_class_1_percent_serviced_ci_low,delta_class_1_percent_serviced_ci_high,class_1_percent_serviced_change_status,delta_class_2_percent_serviced,delta_class_2_percent_serviced_ci_low,delta_class_2_percent_serviced_ci_high,class_2_percent_serviced_change_status,delta_class_1_slot_utilization,delta_class_1_slot_utilization_ci_low,delta_class_1_slot_utilization_ci_high,class_1_slot_utilization_change_status,delta_class_2_slot_utilization,delta_class_2_slot_utilization_ci_low,delta_class_2_slot_utilization_ci_high,class_2_slot_utilization_change_status,n_paired_seeds,capacity_tradeoff,priority_weighted_access_tradeoff,class_1_served_rate_direction,class_2_served_rate_direction,patient_group_tradeoff,patient_group_supported_tradeoff,design_note,horizon_days,rho,class1_share,slots_per_day,lambda_1,lambda_2,cancel_1,cancel_2,balk_threshold_1,balk_low_1,balk_high_1,balk_threshold_2,balk_low_2,balk_high_2,noshow_threshold_1,noshow_low_1,noshow_high_1,noshow_threshold_2,noshow_low_2,noshow_high_2
BG00001,release,baseline,weighted_optimal_minus_average_optimal,2,0,-1,2,0,-1,True,True,True,True,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,10,tie,tie,tie,tie,both_groups_tied,both_groups_tied,anchor,2,0.8,0.1,30,2.4000000000000004,21.6,0.1,0.1,9,0.05,0.1,9,0.05,0.1,4,0.05,0.1,4,0.05,0.1
BG00001,release,horizon_only,weighted_optimal_minus_average_optimal,2,0,-1,2,0,-1,True,True,True,True,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,10,tie,tie,tie,tie,both_groups_tied,both_groups_tied,anchor,2,0.8,0.1,30,2.4000000000000004,21.6,0.1,0.1,9,0.05,0.1,9,0.05,0.1,4,0.05,0.1,4,0.05,0.1
BG00001,release,reservation_only,weighted_optimal_minus_average_optimal,2,23,2,2,24,2,True,False,True,False,-0.0013607305936073177,-0.0036349315068491973,0.0010778538812784859,practical_tie,0.002712820459007759,0.00023579064207768924,0.005785175447447194,practical_tie,0.00414620855278206,0.00032097116916432445,0.009017175959147458,practical_tie,-0.0001539557285409776,-0.0009622410531461531,0.0007060632017326582,practical_tie,5.479452054791833e-05,-0.0003835616438356421,0.00048401826484015877,practical_tie,-0.0013881278538812824,-0.0037353881278539007,0.0008130136986301379,practical_tie,10,tie,tie,tie,tie,both_groups_tied,both_groups_tied,anchor,2,0.8,0.1,30,2.4000000000000004,21.6,0.1,0.1,9,0.05,0.1,9,0.05,0.1,4,0.05,0.1,4,0.05,0.1
BG00001,release,both_flexible,weighted_optimal_minus_average_optimal,6,25,2,6,26,3,True,False,False,False,-0.0025570776255708473,-0.007086757990867433,0.0016805936073058605,practical_tie,0.0058666960649999544,0.0010973552659726729,0.011327218332891855,supported_increase,0.008983079138245965,0.002214905277529605,0.017819113492711883,supported_increase,-0.00036607008149203146,-0.001112486558981621,0.0002629061454763542,practical_tie,0.0003105022831050297,-0.0013698630136986065,0.0019817351598173374,practical_tie,-0.002867579908675788,-0.006484474885844751,0.0006853881278538929,practical_tie,10,tie,increase,increase,tie,priority_gains_general_tied,priority_gains_general_tied,anchor,2,0.8,0.1,30,2.4000000000000004,21.6,0.1,0.1,9,0.05,0.1,9,0.05,0.1,4,0.05,0.1,4,0.05,0.1
BG00002,release,baseline,weighted_optimal_minus_average_optimal,2,0,-1,2,0,-1,True,True,True,True,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,10,tie,tie,tie,tie,both_groups_tied,both_groups_tied,anchor,2,0.8,0.5,30,12.0,12.0,0.1,0.1,9,0.05,0.1,9,0.05,0.1,4,0.05,0.1,4,0.05,0.1
BG00002,release,horizon_only,weighted_optimal_minus_average_optimal,2,0,-1,2,0,-1,True,True,True,True,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,10,tie,tie,tie,tie,both_groups_tied,both_groups_tied,anchor,2,0.8,0.5,30,12.0,12.0,0.1,0.1,9,0.05,0.1,9,0.05,0.1,4,0.05,0.1,4,0.05,0.1
BG00002,release,reservation_only,weighted_optimal_minus_average_optimal,2,25,2,2,22,2,True,False,True,False,-0.0009497716894977471,-0.0023287671232877782,1.826484018265795e-05,practical_tie,9.388215762738961e-05,-8.802530022041038e-05,0.00036947290542944656,practical_tie,-0.00011894877657856462,-0.0003605746130195153,4.037617379959446e-05,practical_tie,0.0005195440260392203,-3.302410604748563e-05,0.0013727644309022957,practical_tie,-0.0008219178082191636,-0.0018178082191780498,0.0,practical_tie,-0.00012785388127853348,-0.0005753424657534145,0.0002465753424657602,practical_tie,10,tie,tie,tie,tie,both_groups_tied,both_groups_tied,anchor,2,0.8,0.5,30,12.0,12.0,0.1,0.1,9,0.05,0.1,9,0.05,0.1,4,0.05,0.1,4,0.05,0.1
BG00002,release,both_flexible,weighted_optimal_minus_average_optimal,2,25,2,6,30,3,False,False,False,False,-0.004210045662100525,-0.009525114155250964,0.0012066210045661374,practical_tie,0.0008686347678182882,-0.0004722419729663979,0.002383315049649817,practical_tie,0.0018649230985956166,-0.0003008819862765449,0.003926197348736318,practical_tie,-0.0011239418937363465,-0.004124035253698682,0.0015470452725122555,practical_tie,-2.739726027396472e-05,-0.0031968036529680358,0.0033244292237443124,practical_tie,-0.004182648401826495,-0.007415981735159823,-0.00108652968036535,practical_tie,10,tie,tie,tie,tie,both_groups_tied,both_groups_tied,anchor,2,0.8,0.5,30,12.0,12.0,0.1,0.1,9,0.05,0.1,9,0.05,0.1,4,0.05,0.1,4,0.05,0.1
BG00003,release,baseline,weighted_optimal_minus_average_optimal,2,0,-1,2,0,-1,True,True,True,True,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,10,tie,tie,tie,tie,both_groups_tied,both_groups_tied,anchor,2,0.8,0.9,30,21.6,2.3999999999999995,0.1,0.1,9,0.05,0.1,9,0.05,0.1,4,0.05,0.1,4,0.05,0.1
BG00003,release,horizon_only,weighted_optimal_minus_average_optimal,2,0,-1,2,0,-1,True,True,True,True,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,0.0,0.0,0.0,practical_tie,10,tie,tie,tie,tie,both_groups_tied,both_groups_tied,anchor,2,0.8,0.9,30,21.6,2.3999999999999995,0.1,0.1,9,0.05,0.1,9,0.05,0.1,4,0.05,0.1,4,0.05,0.1
