background_id,selected_policy,search_constraints_feasible,selected_horizon_days,selected_Q,selected_window,n_seeds,average_utilization,priority_weighted_utilization,class_1_percent_serviced,class_2_percent_serviced,class_1_slot_utilization,class_2_slot_utilization,class_1_balking_rate,class_2_balking_rate,class_1_no_show_rate,class_2_no_show_rate,class_1_no_offer_rate,class_2_no_offer_rate,class_1_mean_offered_booking_delay,class_2_mean_offered_booking_delay,design_note,patient_characteristic,class2_reference,profile_id,noshow_level,noshow_level_code,balk_level,balk_level_code,clinic_context_id,open_horizon_days,rho,class1_share,slots_per_day,lambda_1,lambda_2,cancel_1,cancel_2,balk_threshold_1,balk_low_1,balk_high_1,balk_threshold_2,balk_low_2,balk_high_2,noshow_threshold_1,noshow_low_1,noshow_high_1,noshow_threshold_2,noshow_low_2,noshow_high_2,cap_thresholds_to_horizon
PBF_NS_HIGH_BK_HIGH_C001,reservation_only,True,100,19,5,10,0.9474977168949756,0.523324200913242,0.8326243407293792,0.7848912135626549,0.09900456621004562,0.8486392694063927,0.051908508318123284,0.04966139397170078,0.041877497538978535,0.04213769723684023,0.0,0.0,0.38730858195131557,0.7337853860159795,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C001,100,1.2,0.1,30,3.6,32.4,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C002,reservation_only,True,100,44,9,10,0.9473150684931493,0.5251068493150686,0.8590177047633208,0.7836329832818055,0.10271232876712325,0.8447890410958904,0.0511644127271826,0.049919448644179354,0.04655305842418396,0.041276496433060375,0.0,0.0,0.22924651375224675,1.0071395237554293,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C002,100,1.2,0.1,50,6.0,54.0,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C003,both_flexible,True,4,19,4,10,0.9484748858447478,0.621406392694064,0.8168941252774182,0.7812660769995191,0.2937442922374429,0.6553242009132421,0.05080168954460527,0.050502049394975004,0.04412104032426471,0.04097150631979132,0.0,0.0027509914341683995,0.46412504549774586,0.7221093201800779,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C003,100,1.2,0.3,30,10.8,25.2,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C004,both_flexible,True,4,30,3,10,0.950345205479451,0.6209068493150685,0.8098168901600614,0.7824257878435471,0.29154520547945206,0.6587232876712329,0.05069639931965479,0.05111378658541253,0.042608059564281604,0.04063638841998575,0.0,0.0,0.4991303231268141,0.7152037110359862,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C004,100,1.2,0.3,50,18.0,42.0,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C005,both_flexible,True,3,19,3,10,0.9477808219178068,0.714566210045662,0.8013784699683267,0.771119946338668,0.4817077625570776,0.46571689497716895,0.050130117467206116,0.0497336563459473,0.04268466767275201,0.04128717327004657,0.0,0.010936809662069221,0.5559214420094041,0.7124111663268609,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C005,100,1.2,0.5,30,18.0,18.0,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C006,both_flexible,True,2,30,2,10,0.9493534246575331,0.7164356164383562,0.8026001561439164,0.7767391883281706,0.4835999999999999,0.46567123287671236,0.05017153279236698,0.050712134354485225,0.042311530984638565,0.0416875322998947,0.0007933401974884082,0.03460822784375589,0.5528767981398859,0.5378162705282288,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C006,100,1.2,0.5,50,30.0,30.0,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C007,both_flexible,True,3,20,2,10,0.9475799086757976,0.8067260273972604,0.7917222483930375,0.7796417012682216,0.6659360730593609,0.281579908675799,0.04995742196283266,0.05220751659789772,0.04279439233705638,0.042471252687555236,3.228931223764e-05,0.0,0.6088486200459645,0.6731861000521286,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C007,100,1.2,0.7,30,25.2,10.8,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C008,both_flexible,True,2,35,2,10,0.9492109589041086,0.8074931506849314,0.7961009313852856,0.7869154673746963,0.6656876712328768,0.28361095890410953,0.05011729656093059,0.04877155633419392,0.04239390880916941,0.041504770317656,0.0046176326042813,0.0194188866600025,0.5676575833745189,0.5596155414142503,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C008,100,1.2,0.7,50,42.0,18.000000000000004,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C009,both_flexible,True,2,25,2,10,0.9477990867579893,0.9012420091324203,0.7917850492528171,0.7848280936224536,0.8548675799086759,0.09274885844748856,0.05069249722517301,0.05154120917239687,0.04268968658154427,0.040308952257594545,0.01086563980540227,0.021078325900779554,0.5522853879721695,0.5468567942592478,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C009,100,1.2,0.9,30,32.4,3.599999999999999,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C010,horizon_only,True,2,0,-1,10,0.9497698630136974,0.9020931506849316,0.7890841034912757,0.7920451740675609,0.8545917808219178,0.09500273972602737,0.04955290143483598,0.05138367373938857,0.04196692021117847,0.03921649571034149,0.007913566380662162,0.00816833968563375,0.5914677634055654,0.5953598689101215,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C010,100,1.2,0.9,50,54.0,5.999999999999998,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
