selection_objective,comparison,factor,contrast,fixed_other_level,effect_average_utilization,effect_priority_weighted_utilization,effect_class_1_percent_serviced,effect_class_2_percent_serviced,effect_class_1_slot_utilization,effect_class_2_slot_utilization,n_rows
average_utilization,horizon_only_vs_baseline,noshow,low_to_medium,low,0.01065850837138491,0.010845585996955858,0.009294553483565995,-0.0005069809264136916,0.011099634703196349,-0.0005080974124809742,60
average_utilization,horizon_only_vs_baseline,noshow,low_to_medium,medium,0.01053576864535752,0.011103942161339423,0.009861695701371504,-0.0009257561499612463,0.011725418569254183,-0.0012429528158295286,60
average_utilization,horizon_only_vs_baseline,noshow,low_to_medium,high,0.01038974124809726,0.011315083713850834,0.010711121171606795,-0.0016169100889802158,0.012326727549467275,-0.0020232876712328787,60
average_utilization,horizon_only_vs_baseline,noshow,medium_to_high,low,0.010753911719938888,0.010750578386605788,0.009176801798357958,4.0775117963182674e-05,0.010755068493150688,-8.980213089802199e-06,60
average_utilization,horizon_only_vs_baseline,noshow,medium_to_high,medium,0.010633698630136725,0.010642237442922375,0.009035480225411468,4.0775117963182674e-05,0.010646727549467277,-8.980213089802199e-06,60
average_utilization,horizon_only_vs_baseline,noshow,medium_to_high,high,0.010389284627092597,0.010387747336377475,0.008810431077485503,4.0775117963182674e-05,0.01039223744292238,-8.980213089802199e-06,60
average_utilization,horizon_only_vs_baseline,noshow,low_to_high,low,0.021412420091323794,0.021596164383561645,0.01847135528192395,-0.00046620580845050893,0.021854703196347035,-0.0005170776255707764,60
average_utilization,horizon_only_vs_baseline,noshow,low_to_high,medium,0.021169467275494246,0.021746179604261798,0.018897175926782972,-0.0008849810319980637,0.02237214611872146,-0.001251933028919331,60
average_utilization,horizon_only_vs_baseline,noshow,low_to_high,high,0.020779025875189858,0.021702831050228306,0.019521552249092296,-0.0015761349710170334,0.022718964992389654,-0.002032267884322681,60
average_utilization,horizon_only_vs_baseline,balking,low_to_medium,low,6.496194824962424e-05,0.000537184170471839,0.0012192589680421922,-0.001109092678182813,0.001051689497716898,-0.0010290106544901072,60
average_utilization,horizon_only_vs_baseline,balking,low_to_medium,medium,-5.777777777776475e-05,0.0007955403348554058,0.0017864011858477046,-0.0015278679017303675,0.0016774733637747344,-0.0017638660578386616,60
average_utilization,horizon_only_vs_baseline,balking,low_to_medium,high,-0.00017799086757992706,0.0006871993911719936,0.0016450796129012122,-0.0015278679017303675,0.001569132420091324,-0.0017638660578386616,60
average_utilization,horizon_only_vs_baseline,balking,medium_to_high,low,-8.855403348555945e-05,0.0004562709284627129,0.0006799294538582919,-0.001284242212557621,0.0009086453576864523,-0.0009047488584474884,60
average_utilization,horizon_only_vs_baseline,balking,medium_to_high,medium,-0.0002345814307458207,0.0006674124809741233,0.0015293549240935798,-0.0019753961515765906,0.0015099543378995419,-0.0016850837138508384,60
average_utilization,horizon_only_vs_baseline,balking,medium_to_high,high,-0.0004789954337899479,0.000412922374429223,0.0013043057761676171,-0.0019753961515765906,0.0012554642313546444,-0.0016850837138508384,60
average_utilization,horizon_only_vs_baseline,balking,low_to_high,low,-2.359208523593523e-05,0.0009934550989345518,0.001899188421900484,-0.002393334890740434,0.0019603348554033504,-0.0019337595129375953,60
average_utilization,horizon_only_vs_baseline,balking,low_to_high,medium,-0.00029235920852358545,0.0014629528158295292,0.0033157561099412844,-0.003503264053306958,0.003187427701674276,-0.0034489497716895,60
average_utilization,horizon_only_vs_baseline,balking,low_to_high,high,-0.0006569863013698749,0.0011001217656012164,0.0029493853890688294,-0.003503264053306958,0.0028245966514459683,-0.0034489497716895,60
average_utilization,horizon_only_vs_baseline,interaction,NS_low_to_medium__x__BK_low_to_medium,,-0.000122739726027389,0.0002583561643835667,0.0005671422178055124,-0.0004187752235475548,0.0006257838660578363,-0.0007348554033485545,60
average_utilization,horizon_only_vs_baseline,interaction,NS_low_to_medium__x__BK_medium_to_high,,-0.00014602739726026122,0.0002111415525114104,0.0008494254702352881,-0.0006911539390189696,0.0006013089802130896,-0.00078033485540335,60
average_utilization,horizon_only_vs_baseline,interaction,NS_low_to_medium__x__BK_low_to_high,,-0.0002687671232876502,0.0004694977168949772,0.0014165676880408006,-0.0011099291625665244,0.001227092846270926,-0.0015151902587519045,60
average_utilization,horizon_only_vs_baseline,interaction,NS_medium_to_high__x__BK_low_to_medium,,-0.00012021308980216232,-0.00010834094368341225,-0.00014132157294649239,0.0,-0.00010834094368341037,0.0,60
average_utilization,horizon_only_vs_baseline,interaction,NS_medium_to_high__x__BK_medium_to_high,,-0.0002444140030441272,-0.0002544901065449003,-0.0002250491479259629,0.0,-0.00025449010654489743,0.0,60
average_utilization,horizon_only_vs_baseline,interaction,NS_medium_to_high__x__BK_low_to_high,,-0.00036462709284628954,-0.0003628310502283126,-0.00036637072087245524,0.0,-0.0003628310502283078,0.0,60
average_utilization,horizon_only_vs_baseline,interaction,NS_low_to_high__x__BK_low_to_medium,,-0.0002429528158295513,0.00015001522070015447,0.00042582064485901995,-0.0004187752235475548,0.000517442922374426,-0.0007348554033485545,60
average_utilization,horizon_only_vs_baseline,interaction,NS_low_to_high__x__BK_medium_to_high,,-0.00039044140030438843,-4.33485540334899e-05,0.0006243763223093251,-0.0006911539390189696,0.00034681887366819214,-0.00078033485540335,60
average_utilization,horizon_only_vs_baseline,interaction,NS_low_to_high__x__BK_low_to_high,,-0.0006333942161339398,0.00010666666666666451,0.0010501969671683452,-0.0011099291625665244,0.0008642617960426182,-0.0015151902587519045,60
average_utilization,reservation_only_vs_baseline,noshow,low_to_medium,low,0.005836894977168865,0.029452328767123285,0.07386812126951937,-0.04877354193789709,0.05310986301369864,-0.04731506849315069,60
average_utilization,reservation_only_vs_baseline,noshow,low_to_medium,medium,0.005843378995433731,0.03254742770167428,0.07684520141102398,-0.04598514495208017,0.05925278538812785,-0.05341071537290716,60
average_utilization,reservation_only_vs_baseline,noshow,low_to_medium,high,0.005716894977168895,0.028706666666666665,0.07590227956614384,-0.043904057801443575,0.05169579908675799,-0.04597826484018265,60
average_utilization,reservation_only_vs_baseline,noshow,medium_to_high,low,0.006156377473363663,0.006231476407914768,0.007278123215144023,0.0005819165397808096,0.006320487062404873,-0.00017802130898021231,60
average_utilization,reservation_only_vs_baseline,noshow,medium_to_high,medium,0.006062130898021178,0.007020410958904112,0.011186283210110415,-0.0022482276093842637,0.0079834398782344,-0.0019260578386605782,60
average_utilization,reservation_only_vs_baseline,noshow,medium_to_high,high,0.00579382039573809,0.006197458143074583,0.007228241428178527,-0.0011821487050345883,0.006616621004566215,-0.0008383257229832568,60
average_utilization,reservation_only_vs_baseline,noshow,low_to_high,low,0.011993272450532529,0.03568380517503806,0.08114624448466339,-0.04819162539811628,0.059430350076103505,-0.0474930898021309,60
average_utilization,reservation_only_vs_baseline,noshow,low_to_high,medium,0.011905509893454909,0.039567838660578385,0.0880314846211344,-0.048233372561464434,0.06723622526636226,-0.055336773211567734,60
average_utilization,reservation_only_vs_baseline,noshow,low_to_high,high,0.011510715372906986,0.03490412480974125,0.08313052099432236,-0.04508620650647817,0.05831242009132421,-0.04681659056316591,60
average_utilization,reservation_only_vs_baseline,balking,low_to_medium,low,2.6392694063900514e-05,-0.0034264535768645343,-0.005879095277182968,-0.0005443226700250681,-0.006819299847792998,0.006785692541856928,60
average_utilization,reservation_only_vs_baseline,balking,low_to_medium,medium,3.2876712328766544e-05,-0.00033135464231354416,-0.0029020151356783505,0.0022440743157918484,-0.0006763774733637751,0.0006900456621004568,60
average_utilization,reservation_only_vs_baseline,balking,low_to_medium,high,-6.136986301371902e-05,0.0004575799086758,0.0010061448592880412,-0.000586069833373225,0.0009865753424657523,-0.0010579908675799091,60
average_utilization,reservation_only_vs_baseline,balking,medium_to_high,low,-5.722983257231899e-05,0.004924429223744293,0.0067321711004634955,-0.004043596938806954,0.009820121765601219,-0.00979138508371385,60
average_utilization,reservation_only_vs_baseline,balking,medium_to_high,medium,-0.00018371385083715497,0.001083668188736681,0.005789249255583347,-0.001962509788170356,0.002263135464231353,-0.0023589345509893466,60
average_utilization,reservation_only_vs_baseline,balking,medium_to_high,high,-0.00045202435312024266,0.0002607153729071527,0.0018312074736514593,-0.0008964308838206813,0.0008963165905631679,-0.0012712024353120255,60
average_utilization,reservation_only_vs_baseline,balking,low_to_high,low,-3.083713850841848e-05,0.001497975646879759,0.0008530758232805295,-0.0045879196088320215,0.0030008219178082212,-0.003005692541856923,60
average_utilization,reservation_only_vs_baseline,balking,low_to_high,medium,-0.00015083713850838843,0.0007523135464231367,0.0028872341199049963,0.0002815645276214915,0.001586757990867578,-0.0016688888888888901,60
average_utilization,reservation_only_vs_baseline,balking,low_to_high,high,-0.0005133942161339617,0.0007182952815829526,0.0028373523329394998,-0.0014825007171939061,0.0018828919330289202,-0.0023291933028919344,60
average_utilization,reservation_only_vs_baseline,interaction,NS_low_to_medium__x__BK_low_to_medium,,6.484018264866034e-06,0.00309509893455099,0.0029770801415046184,0.0027883969858169175,0.006142922374429223,-0.006095646879756471,60
average_utilization,reservation_only_vs_baseline,interaction,NS_low_to_medium__x__BK_medium_to_high,,-0.000126484018264836,-0.0038407610350076125,-0.0009429218448801501,0.0020810871506365953,-0.0075569863013698665,0.007432450532724503,60
average_utilization,reservation_only_vs_baseline,interaction,NS_low_to_medium__x__BK_low_to_high,,-0.00011999999999996994,-0.0007456621004566222,0.0020341582966244666,0.004869484136453512,-0.001414063926940643,0.0013368036529680322,60
average_utilization,reservation_only_vs_baseline,interaction,NS_medium_to_high__x__BK_low_to_medium,,-9.424657534248556e-05,0.0007889345509893442,0.003908159994966392,-0.0028301441491650732,0.0016629528158295273,-0.0017480365296803659,60
average_utilization,reservation_only_vs_baseline,interaction,NS_medium_to_high__x__BK_medium_to_high,,-0.00026831050228308764,-0.0008229528158295283,-0.003958041781931888,0.0010660789043496755,-0.001366818873668185,0.0010877321156773216,60
average_utilization,reservation_only_vs_baseline,interaction,NS_medium_to_high__x__BK_low_to_high,,-0.0003625570776255732,-3.401826484018416e-05,-4.9881786965496166e-05,-0.001764065244815398,0.00029613394216134223,-0.0006603044140030444,60
average_utilization,reservation_only_vs_baseline,interaction,NS_low_to_high__x__BK_low_to_medium,,-8.776255707761954e-05,0.003884033485540334,0.006885240136471007,-4.1747163348155916e-05,0.007805875190258751,-0.007843683409436837,60
average_utilization,reservation_only_vs_baseline,interaction,NS_low_to_high__x__BK_medium_to_high,,-0.00039479452054792363,-0.00466371385083714,-0.004900963626812037,0.003147166054986271,-0.00892380517503805,0.008520182648401825,60
average_utilization,reservation_only_vs_baseline,interaction,NS_low_to_high__x__BK_low_to_high,,-0.00048255707762554314,-0.0007796803652968063,0.0019842765096589705,0.003105418891638115,-0.001117929984779299,0.0006764992389649876,60
average_utilization,both_flexible_vs_baseline,noshow,low_to_medium,low,0.010616438356164215,0.02150891933028919,0.03426734447990533,-0.025002814241370366,0.03241318112633181,-0.021808523592085235,60
average_utilization,both_flexible_vs_baseline,noshow,low_to_medium,medium,0.010503592085235746,0.02982706240487062,0.045120307950139917,-0.03270908108678562,0.04912596651445966,-0.03859780821917809,60
average_utilization,both_flexible_vs_baseline,noshow,low_to_medium,high,0.010342009132419942,0.01921642313546423,0.029678328689901213,-0.015762771579253175,0.02810103500761035,-0.01776922374429224,60
average_utilization,both_flexible_vs_baseline,noshow,medium_to_high,low,0.010752633181126126,0.011550563165905636,0.011352218305203826,0.0029542245439589674,0.012378751902587522,-0.0016563774733637745,60
average_utilization,both_flexible_vs_baseline,noshow,medium_to_high,medium,0.010639573820395497,0.011446636225266364,0.011219437679177564,0.002959236582219088,0.01226949771689498,-0.0016457229832572294,60
average_utilization,both_flexible_vs_baseline,noshow,medium_to_high,high,0.010387549467275263,0.010666651445966516,0.009686284744528309,0.00353682676524418,0.010967975646879761,-0.0006026484018264836,60
average_utilization,both_flexible_vs_baseline,noshow,low_to_high,low,0.02136907153729034,0.03305948249619482,0.04561956278510916,-0.0220485896974114,0.04479193302891934,-0.02346490106544901,60
average_utilization,both_flexible_vs_baseline,noshow,low_to_high,medium,0.021143165905631246,0.04127369863013699,0.05633974562931749,-0.029749844504566532,0.06139546423135465,-0.04024353120243531,60
average_utilization,both_flexible_vs_baseline,noshow,low_to_high,high,0.020729558599695205,0.029883074581430746,0.03936461343442952,-0.012225944814008996,0.03906901065449011,-0.018371872146118722,60
average_utilization,both_flexible_vs_baseline,balking,low_to_medium,low,4.791476407916661e-05,-0.007527016742770168,-0.009075103231307115,0.0061733869054247615,-0.015034398782343987,0.015014764079147641,60
average_utilization,both_flexible_vs_baseline,balking,low_to_medium,medium,-6.493150684930079e-05,0.0007911263318112656,0.0017778602389274746,-0.001532879939990488,0.0016783866057838669,-0.001774520547945207,60
average_utilization,both_flexible_vs_baseline,balking,low_to_medium,high,-0.00017799086757992706,0.0006871993911719936,0.0016450796129012122,-0.0015278679017303677,0.0015691324200913241,-0.0017638660578386618,60
average_utilization,both_flexible_vs_baseline,balking,medium_to_high,low,-6.538812785390684e-05,0.011803546423135466,0.018279437971055582,-0.019499295842134123,0.023581917808219176,-0.023556742770167432,60
average_utilization,both_flexible_vs_baseline,balking,medium_to_high,medium,-0.00022697108066971247,0.00119290715372907,0.0028374587108168717,-0.002552986334601682,0.002556986301369862,-0.002728158295281584,60
average_utilization,both_flexible_vs_baseline,balking,medium_to_high,high,-0.0004789954337899479,0.000412922374429223,0.0013043057761676171,-0.00197539615157659,0.0012554642313546446,-0.0016850837138508378,60
average_utilization,both_flexible_vs_baseline,balking,low_to_high,low,-1.7473363774740223e-05,0.004276529680365296,0.009204334739748467,-0.013325908936709362,0.008547519025875193,-0.00854197869101979,60
average_utilization,both_flexible_vs_baseline,balking,low_to_high,medium,-0.0002919025875190133,0.001984033485540336,0.004615318949744346,-0.004085866274592171,0.004235372907153729,-0.004502678843226791,60
average_utilization,both_flexible_vs_baseline,balking,low_to_high,high,-0.0006569863013698749,0.0011001217656012164,0.0029493853890688294,-0.003503264053306958,0.0028245966514459683,-0.0034489497716895,60
average_utilization,both_flexible_vs_baseline,interaction,NS_low_to_medium__x__BK_low_to_medium,,-0.0001128462709284674,0.008318143074581435,0.010852963470234591,-0.007706266845415251,0.016712785388127854,-0.016789284627092844,60
