background_id,selection_objective,comparison,first_policy,second_policy,n_paired_seeds,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,delta_priority_weighted_utilization,delta_priority_weighted_utilization_ci_low,delta_priority_weighted_utilization_ci_high,delta_class_1_percent_serviced,delta_class_1_percent_serviced_ci_low,delta_class_1_percent_serviced_ci_high,delta_class_2_percent_serviced,delta_class_2_percent_serviced_ci_low,delta_class_2_percent_serviced_ci_high,delta_class_1_slot_utilization,delta_class_1_slot_utilization_ci_low,delta_class_1_slot_utilization_ci_high,delta_class_2_slot_utilization,delta_class_2_slot_utilization_ci_low,delta_class_2_slot_utilization_ci_high,design_note,patient_characteristic,class2_reference,profile_id,noshow_level,noshow_level_code,balk_level,balk_level_code,clinic_context_id,open_horizon_days,rho,class1_share,slots_per_day,lambda_1,lambda_2,cancel_1,cancel_2,balk_threshold_1,balk_low_1,balk_high_1,balk_threshold_2,balk_low_2,balk_high_2,noshow_threshold_1,noshow_low_1,noshow_high_1,noshow_threshold_2,noshow_low_2,noshow_high_2,cap_thresholds_to_horizon
PBF_NS_HIGH_BK_HIGH_C001,average_utilization,horizon_only_vs_baseline,horizon_only,baseline,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C001,100,1.2,0.1,30,3.6,32.4,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C001,average_utilization,reservation_only_vs_baseline,reservation_only,baseline,10,-0.0016073059360729891,-0.0035349315068491085,0.00023767123287680257,0.0013789954337899203,-0.0002147260273972834,0.0027672374429223547,0.04175913064592822,0.030538084430462305,0.053340589679879064,-0.002701926745962846,-0.007875181946204188,0.0023304198687627204,0.00441095890410959,0.0028584474885844854,0.005927397260273975,-0.006063926940639275,-0.008128082191780829,-0.004410958904109573,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C001,100,1.2,0.1,30,3.6,32.4,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C001,average_utilization,both_flexible_vs_baseline,both_flexible,baseline,10,-0.0015616438356163332,-0.0033789954337895807,0.00035662100456624435,0.00038812785388125937,-0.0006666666666666935,0.001356164383561642,0.020562246832544862,0.008088187973009569,0.03179080432176125,0.00011590234975267233,-0.004706847345240294,0.0056903592265408484,0.002648401826484009,0.0014424657534246445,0.0038173515981735073,-0.0045205479452055,-0.006822146118721507,-0.002255707762557091,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C001,100,1.2,0.1,30,3.6,32.4,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C001,average_utilization,both_flexible_vs_horizon_only,both_flexible,horizon_only,10,-0.0015616438356163332,-0.0033977168949771755,0.00037442922374428034,0.00038812785388125937,-0.0006212328767123753,0.0013425799086758006,0.020562246832544862,0.008587046266021506,0.031885333358170086,0.00011590234975267233,-0.0047381701567676265,0.00541817940779691,0.002648401826484009,0.0013878995433789952,0.0038723744292237343,-0.0045205479452055,-0.006895205479452083,-0.0021917808219178215,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C001,100,1.2,0.1,30,3.6,32.4,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C001,average_utilization,both_flexible_vs_reservation_only,both_flexible,reservation_only,10,4.566210045665597e-05,-0.0016712328767122808,0.0019091324200915991,-0.000990867579908661,-0.002452283105022846,0.0005022831050228493,-0.02119688381338336,-0.02983531866319985,-0.011045636847014964,0.0028178290957155184,-0.004129465193024725,0.009966050428280282,-0.0017625570776255803,-0.0037810502283105213,0.00013744292237442542,0.001543378995433775,-0.0011417808219178383,0.004220091324200948,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C001,100,1.2,0.1,30,3.6,32.4,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C001,average_utilization,reservation_only_vs_horizon_only,reservation_only,horizon_only,10,-0.0016073059360729891,-0.0035621004566211375,0.0003198630136990123,0.0013789954337899203,-0.00019657534246580007,0.0028176940639269015,0.04175913064592822,0.030447528533924993,0.05369445708723008,-0.002701926745962846,-0.00812503204941668,0.0025550196048317753,0.00441095890410959,0.002821004566210039,0.0059908675799086805,-0.006063926940639275,-0.007981963470319644,-0.004346575342465741,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C001,100,1.2,0.1,30,3.6,32.4,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C001,priority_weighted_utilization,horizon_only_vs_baseline,horizon_only,baseline,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C001,100,1.2,0.1,30,3.6,32.4,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C001,priority_weighted_utilization,reservation_only_vs_baseline,reservation_only,baseline,10,-0.003917808219177754,-0.005853881278538256,-0.0019360730593603102,0.002767123287671236,0.0014155251141552583,0.004283561643835621,0.06513072477426134,0.05878020893191684,0.07223390180370892,-0.010705161128529695,-0.016850200390894524,-0.0036678201015339857,0.00975342465753424,0.007397031963470324,0.012155707762557083,-0.013972602739726036,-0.017041324200913237,-0.010922146118721466,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C001,100,1.2,0.1,30,3.6,32.4,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C001,priority_weighted_utilization,both_flexible_vs_baseline,both_flexible,baseline,10,-0.0009589041095887652,-0.0028221461187212912,0.000977168949771758,0.002465753424657513,0.0006939497716894824,0.003872602739726006,0.05260160546429797,0.04271231354996683,0.06296627213580573,-0.004339073687537565,-0.010610698589846349,0.00173071025713896,0.0058447488584474905,0.0030589041095890447,0.008392922374429231,-0.006757990867579921,-0.010046118721461241,-0.003917579908675783,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C001,100,1.2,0.1,30,3.6,32.4,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C001,priority_weighted_utilization,both_flexible_vs_horizon_only,both_flexible,horizon_only,10,-0.0009589041095887652,-0.0027858447488582397,0.0010595890410959217,0.002465753424657513,0.0007485159817351295,0.0038904109589040785,0.05260160546429797,0.043287601878400576,0.06280899031529079,-0.004339073687537565,-0.010359263999745827,0.0016510910449612204,0.0058447488584474905,0.0031043378995433794,0.008164611872146132,-0.006757990867579921,-0.00979018264840188,-0.003889954337899548,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C001,100,1.2,0.1,30,3.6,32.4,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
