selection_objective,comparison,noshow_level,balk_level,rho,delta_average_utilization,delta_priority_weighted_utilization,delta_class_1_percent_serviced,delta_class_2_percent_serviced,delta_class_1_slot_utilization,delta_class_2_slot_utilization,n_rows
average_utilization,horizon_only_vs_baseline,high,high,1.2,-2.684931506854449e-05,-9.214611872145673e-05,-0.0003432314499204414,0.0010698868739671696,-5.570776255708121e-05,-7.287671232877103e-05,100
average_utilization,reservation_only_vs_baseline,high,high,1.2,-0.000172602739726051,0.004587579908675794,0.02345090006424506,-0.0392409607999204,0.009375159817351592,-0.009575159817351598,100
average_utilization,both_flexible_vs_baseline,high,high,1.2,-0.0001923287671232521,0.004997990867579904,0.019764139609384328,-0.03896864439861751,0.010331324200913239,-0.010666666666666668,100
average_utilization,both_flexible_vs_horizon_only,high,high,1.2,-0.0001654794520547076,0.00509013698630136,0.020107371059304772,-0.04003853127258468,0.010387031963470319,-0.010593789954337898,100
average_utilization,both_flexible_vs_reservation_only,high,high,1.2,-1.9726027397201085e-05,0.0004104109589041094,-0.00368676045486073,0.00027231640130288116,0.0009561643835616462,-0.0010915068493150709,100
average_utilization,reservation_only_vs_horizon_only,high,high,1.2,-0.00014575342465750652,0.004679726027397251,0.023794131514165498,-0.04031084767388757,0.009430867579908674,-0.009502283105022826,100
priority_weighted_utilization,horizon_only_vs_baseline,high,high,1.2,1.8082191780767198e-05,-5.1689497716890244e-05,-0.0007769686501388783,-2.6606964514785945e-06,-8.63926940639287e-05,6.940639269405912e-05,100
priority_weighted_utilization,reservation_only_vs_baseline,high,high,1.2,-0.003286940639269421,0.013785388127853881,0.05902165223751089,-0.10667119740729517,0.030826118721461186,-0.03408146118721462,100
priority_weighted_utilization,both_flexible_vs_baseline,high,high,1.2,-0.002994885844748889,0.013843105022831051,0.05725261840402302,-0.10754104745875992,0.03060456621004566,-0.03352292237442923,100
priority_weighted_utilization,both_flexible_vs_horizon_only,high,high,1.2,-0.0030129680365296565,0.01389479452054794,0.0580295870541619,-0.10753838676230844,0.030690958904109597,-0.033592328767123286,100
priority_weighted_utilization,both_flexible_vs_reservation_only,high,high,1.2,0.0002920547945205321,5.77168949771667e-05,-0.0017690338334878696,-0.0008698500514647417,-0.00022155251141552145,0.0005585388127853897,100
priority_weighted_utilization,reservation_only_vs_horizon_only,high,high,1.2,-0.003305022831050188,0.013837077625570772,0.05979862088764976,-0.1066685367108437,0.030912511415525118,-0.03415086757990868,100
average_utilization,horizon_only_vs_baseline,high,high,1.4,-0.00022210045662110267,-0.0005408219178082174,-0.0008762281337783962,-0.0008123679661843797,-0.0007777168949771705,0.0004737899543378964,100
average_utilization,reservation_only_vs_baseline,high,high,1.4,-0.00024310502283109714,0.02669178082191781,0.09536726008789671,-0.1561298824506734,0.05377990867579909,-0.054176255707762556,100
average_utilization,both_flexible_vs_baseline,high,high,1.4,-0.00029114155251150575,0.02832027397260274,0.10118797164408777,-0.13570722460934415,0.057116712328767125,-0.05759287671232877,100
average_utilization,both_flexible_vs_horizon_only,high,high,1.4,-6.904109589040309e-05,0.028861095890410957,0.10206419977786617,-0.13489485664315976,0.0578944292237443,-0.05806666666666667,100
average_utilization,both_flexible_vs_reservation_only,high,high,1.4,-4.803652968040861e-05,0.0016284931506849287,0.005820711556191068,0.02042265784132927,0.0033368036529680366,-0.0034166210045662084,100
average_utilization,reservation_only_vs_horizon_only,high,high,1.4,-2.100456620999447e-05,0.027232602739726025,0.09624348822167511,-0.15531751448448902,0.05455762557077626,-0.05465004566210045,100
priority_weighted_utilization,horizon_only_vs_baseline,high,high,1.4,-0.0002768949771690388,-0.0003126940639269404,-9.556154425848451e-05,-0.000958934631756787,-0.0002518721461187182,-0.00012164383561644107,100
priority_weighted_utilization,reservation_only_vs_baseline,high,high,1.4,-0.0007399086757990936,0.03872885844748859,0.1337641792098441,-0.20691929766224706,0.07828894977168951,-0.07912018264840183,100
