background_id,selection_objective,policy,selected_source_stage,selected_horizon_days,selected_Q,selected_window,n_seeds,average_utilization,average_utilization_sd,priority_weighted_utilization,priority_weighted_utilization_sd,class_1_percent_serviced,class_1_percent_serviced_sd,class_2_percent_serviced,class_2_percent_serviced_sd,class_1_slot_utilization,class_1_slot_utilization_sd,class_2_slot_utilization,class_2_slot_utilization_sd,class_1_balking_rate,class_1_balking_rate_sd,class_2_balking_rate,class_2_balking_rate_sd,class_1_no_show_rate,class_1_no_show_rate_sd,class_2_no_show_rate,class_2_no_show_rate_sd,class_1_no_offer_rate,class_1_no_offer_rate_sd,class_2_no_offer_rate,class_2_no_offer_rate_sd,class_1_mean_offered_booking_delay,class_1_mean_offered_booking_delay_sd,class_2_mean_offered_booking_delay,class_2_mean_offered_booking_delay_sd,design_note,patient_characteristic,class2_reference,profile_id,noshow_level,noshow_level_code,balk_level,balk_level_code,clinic_context_id,open_horizon_days,rho,class1_share,slots_per_day,lambda_1,lambda_2,cancel_1,cancel_2,balk_threshold_1,balk_low_1,balk_high_1,balk_threshold_2,balk_low_2,balk_high_2,noshow_threshold_1,noshow_low_1,noshow_high_1,noshow_threshold_2,noshow_low_2,noshow_high_2,cap_thresholds_to_horizon
PBF_NS_HIGH_BK_HIGH_C001,average_utilization,baseline,baseline,100,0,-1,10,0.9491050228310485,0.003563607675159694,0.521945205479452,0.00253324766286349,0.7908652100834509,0.014366700566899046,0.7875931403086178,0.006999969095317711,0.09459360730593605,0.0030535015870716956,0.854703196347032,0.003983289508985641,0.05015584178828088,0.006169017714003257,0.05144463251958183,0.0019809857290955133,0.04255148864418962,0.004958325873813637,0.041186272496006995,0.002898971075685395,0.0,0.0,0.0,0.0,0.6348179399266365,0.06188199113948641,0.6402067682656393,0.05127852136270107,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C001,100,1.2,0.1,30,3.6,32.4,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C001,average_utilization,horizon_only,horizon_only,3,0,-1,10,0.9491050228310485,0.003563607675159694,0.521945205479452,0.00253324766286349,0.7908652100834509,0.014366700566899046,0.7875931403086178,0.006999969095317711,0.09459360730593605,0.0030535015870716956,0.854703196347032,0.003983289508985641,0.05015584178828088,0.006169017714003257,0.05144463251958183,0.0019809857290955133,0.04255148864418962,0.004958325873813637,0.041186272496006995,0.002898971075685395,0.0,0.0,0.0,0.0,0.6348179399266365,0.06188199113948641,0.6402067682656393,0.05127852136270107,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C001,100,1.2,0.1,30,3.6,32.4,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C001,average_utilization,reservation_only,reservation_only,100,19,5,10,0.9474977168949756,0.003272825719174178,0.523324200913242,0.0024922752015736887,0.8326243407293792,0.009223880991598134,0.7848912135626549,0.006255130283025497,0.09900456621004562,0.0023913265211703205,0.8486392694063927,0.0029094080687001094,0.051908508318123284,0.007890951591554856,0.04966139397170078,0.0012087539315377086,0.041877497538978535,0.004890176973459931,0.04213769723684023,0.0028407523281228876,0.0,0.0,0.0,0.0,0.38730858195131557,0.012592335809608987,0.7337853860159795,0.051604559068008114,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C001,100,1.2,0.1,30,3.6,32.4,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C001,average_utilization,both_flexible,both_flexible,2,10,2,10,0.9475433789954323,0.0022935125546405303,0.5223333333333333,0.0016010628372237629,0.8114274569159958,0.011053744609518058,0.7877090426583704,0.008693127508717997,0.09724200913242004,0.0027595427407907996,0.8501826484018264,0.004331512828909928,0.04969376523762357,0.005051754748004198,0.05130650539901407,0.0030105247500138003,0.043721387882978587,0.003032601165457878,0.04196653067190103,0.0022801189518210693,0.0,0.0,0.03384585949573808,0.007831554869735979,0.4934544849626887,0.023505640727121403,0.4755928132641237,0.02378021384827028,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C001,100,1.2,0.1,30,3.6,32.4,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C001,priority_weighted_utilization,baseline,baseline,100,0,-1,10,0.9491050228310485,0.003563607675159694,0.521945205479452,0.00253324766286349,0.7908652100834509,0.014366700566899046,0.7875931403086178,0.006999969095317711,0.09459360730593605,0.0030535015870716956,0.854703196347032,0.003983289508985641,0.05015584178828088,0.006169017714003257,0.05144463251958183,0.0019809857290955133,0.04255148864418962,0.004958325873813637,0.041186272496006995,0.002898971075685395,0.0,0.0,0.0,0.0,0.6348179399266365,0.06188199113948641,0.6402067682656393,0.05127852136270107,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C001,100,1.2,0.1,30,3.6,32.4,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C001,priority_weighted_utilization,horizon_only,horizon_only,3,0,-1,10,0.9491050228310485,0.003563607675159694,0.521945205479452,0.00253324766286349,0.7908652100834509,0.014366700566899046,0.7875931403086178,0.006999969095317711,0.09459360730593605,0.0030535015870716956,0.854703196347032,0.003983289508985641,0.05015584178828088,0.006169017714003257,0.05144463251958183,0.0019809857290955133,0.04255148864418962,0.004958325873813637,0.041186272496006995,0.002898971075685395,0.0,0.0,0.0,0.0,0.6348179399266365,0.06188199113948641,0.6402067682656393,0.05127852136270107,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C001,100,1.2,0.1,30,3.6,32.4,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C001,priority_weighted_utilization,reservation_only,reservation_only,100,25,5,10,0.9451872146118708,0.0031192558855666287,0.5247123287671234,0.00233465893493718,0.8559959348577122,0.010534956878132981,0.776887979180088,0.006727550999716542,0.10434703196347025,0.002989525300944794,0.840730593607306,0.003711105105727881,0.051170538323025316,0.004872965896556731,0.05069028018838363,0.0009705696003819641,0.042689676379914075,0.004467708299421633,0.04132540694661464,0.0017326640229439081,0.0,0.0,0.0,0.0,0.26896942740939284,0.018246206192157156,0.9499757522226485,0.059547980306430326,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C001,100,1.2,0.1,30,3.6,32.4,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C001,priority_weighted_utilization,both_flexible,both_flexible,5,21,5,10,0.9481461187214599,0.0014198882038687622,0.5244109589041096,0.0015796124455777676,0.8434668155477489,0.007997557417330953,0.7832540666210802,0.004752774300963791,0.10043835616438353,0.002496862961404931,0.8479452054794521,0.002445943309175126,0.05063745359954801,0.004846164571243292,0.05162126239452543,0.0015216383581756442,0.04288517124636755,0.005321466009471058,0.04125418950343348,0.0016098667289974663,0.0,0.0,0.004201184449822621,0.0017865149392347044,0.350290711172501,0.01905422769254345,0.7436291544908907,0.02530822992144763,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C001,100,1.2,0.1,30,3.6,32.4,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C002,average_utilization,baseline,baseline,100,0,-1,10,0.9491178082191768,0.001699160323797278,0.5219506849315069,0.001632829721571622,0.7916545540523204,0.010057582046800432,0.7880201218125727,0.005894792069834656,0.09510684931506845,0.002459867827747841,0.8536876712328766,0.0028866307235557113,0.04887142093907835,0.005330384956898368,0.050414480200033696,0.0012358588838592803,0.041723012652982575,0.0028727847608435862,0.0422515411373706,0.0014670695960169477,0.0,0.0,0.0,0.0,0.6414341785210654,0.04415522237015899,0.6379658072184322,0.04533569167927314,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C002,100,1.2,0.1,50,6.0,54.0,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C002,average_utilization,horizon_only,horizon_only,2,0,-1,10,0.9487780821917797,0.0015792064319442199,0.5218054794520548,0.0009146518797515437,0.7891641620840575,0.010086811194012862,0.7903325788494941,0.006724003569407882,0.0948438356164383,0.001728214892730727,0.8539232876712328,0.0030292610501500184,0.048669450989366064,0.005008686787907726,0.05022823132304255,0.0018974849216997697,0.04217237465685799,0.00569862519364718,0.0426630225621714,0.001606067705295309,0.006881363423487561,0.0029336430006709534,0.00629032936347385,0.001598874760442657,0.5976810260804493,0.036303860776794226,0.5923766352364659,0.029652012722003806,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C002,100,1.2,0.1,50,6.0,54.0,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C002,average_utilization,reservation_only,reservation_only,100,40,3,10,0.9494958904109577,0.0017036406682304074,0.5254602739726029,0.0009053586685492591,0.8514183863470708,0.0066016182320091195,0.7856023981050698,0.005554523356431447,0.10167671232876707,0.0014841123960311468,0.8475671232876711,0.002380105613932083,0.049737169616381235,0.003544907501053034,0.050335936910491694,0.0011821234435727653,0.042630214397546655,0.0025903992397939184,0.041521158945171235,0.0018563753309667527,0.0,0.0,0.0,0.0,0.29972540528850555,0.011488832310099648,0.7731866877464826,0.036180676796208296,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C002,100,1.2,0.1,50,6.0,54.0,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C002,average_utilization,both_flexible,both_flexible,3,25,3,10,0.9493643835616428,0.0020737552389466785,0.5235205479452055,0.0017383412314812068,0.8171512546763559,0.010041399320413369,0.7899612181321674,0.0037352386299072293,0.09778630136986297,0.002856004324472093,0.851468493150685,0.0034464983911671565,0.04757736940849945,0.0034797964116979776,0.05043208629956457,0.002116741401479951,0.04142660014641823,0.00414183201990341,0.04209625381128503,0.0017158770319328578,0.0,0.0,0.005131080724726541,0.0016173483113052808,0.4807076424013319,0.017216630447589577,0.6271650496190342,0.027821685175940213,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C002,100,1.2,0.1,50,6.0,54.0,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
