policy,lambda_total,served_share,balked_share,canceled_share,no_show_share,no_offer_share,unresolved_booked_share,lost_share
Class-1-first backfill reservation,20,0.9856116829626214,0.0,0.014388317037378659,0.0,0.0,0.0,0.014388317037378659
Class-1-first backfill reservation,30,0.8206729189888227,5.461987229419024e-05,0.16465448337673874,0.01461797776214431,0.0,0.0,0.17932708101117725
Class-1-first backfill reservation,40,0.7122002754486474,0.04610903110311499,0.2013630723145093,0.04032762113372835,0.0,0.0,0.28779972455135266
Class-1-first backfill reservation,50,0.6081065171651561,0.12503055152910952,0.23550249559149422,0.03132764572672807,0.0,3.278998751221099e-05,0.391893482834844
Class-1-first backfill reservation,60,0.506920634171995,0.171543987200023,0.29468676873672844,0.026748135166145725,0.0,0.00010047472510784478,0.49307936582800505
Class-1-first backfill reservation,70,0.39183218400094655,0.17784553129837702,0.36445646817904886,0.06550918033231447,0.0,0.0003566361893131599,0.6081678159990535
Class-1-first backfill reservation,80,0.33757788015808543,0.22474078147201534,0.3734333243070814,0.06392830940093291,0.0,0.0003197046618848529,0.6624221198419146
Class-1-first backfill reservation,90,0.2992603237576895,0.29789550076835625,0.34594597994807813,0.05659938825782277,0.0,0.00029880726805332064,0.7007396762423104
Class-1-first backfill reservation,100,0.26882707666752587,0.3512301127702391,0.3285374392643383,0.05109003068204511,0.0,0.00031534061585167115,0.7311729233324742
Strict C1 reservation,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Strict C1 reservation,30,0.9998632817141904,0.0,0.0001367182858096756,0.0,0.0,0.0,0.0001367182858096756
Strict C1 reservation,40,0.79818620873213,0.0,0.20181379126787,0.0,0.0,0.0,0.20181379126787
Strict C1 reservation,50,0.586770540394886,0.0,0.35746274507287684,0.05576671453223714,0.0,0.0,0.413229459605114
Strict C1 reservation,60,0.44772772551020107,0.04433587989782769,0.4226410847831141,0.08529530980885718,0.0,0.0,0.552272274489799
Strict C1 reservation,70,0.3837150804347792,0.16167142375547186,0.3820107168607497,0.07260277894899922,0.0,0.0,0.6162849195652208
Strict C1 reservation,80,0.33518320491541626,0.25648845841213846,0.34478912718073473,0.0635392094917105,0.0,0.0,0.6648167950845838
Strict C1 reservation,90,0.29848681689272877,0.3232452277941191,0.32151550900007875,0.056712926715307775,0.0,3.951959776559839e-05,0.7015131831072712
Strict C1 reservation,100,0.26791168069643134,0.35394662884193584,0.3269967172363556,0.050738203608530916,6.261492463453209e-05,0.00034415469211180276,0.7320883193035687
