policy,lambda_total,seed,total_arrivals,served_share,balked_share,canceled_share,no_show_share,no_offer_share,unresolved_booked_share,lost_share
Strict C1 reservation,20,6101,7371,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Strict C1 reservation,20,6102,7307,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Strict C1 reservation,20,6103,7275,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Strict C1 reservation,20,6104,7423,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Strict C1 reservation,20,6105,7261,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Strict C1 reservation,20,6106,7413,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Strict C1 reservation,20,6107,7208,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Strict C1 reservation,20,6108,7372,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Strict C1 reservation,20,6109,7494,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Strict C1 reservation,20,6110,7264,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Class-1-first backfill reservation,20,6101,7492,0.9817138280832889,0.0,0.01828617191671116,0.0,0.0,0.0,0.01828617191671116
Class-1-first backfill reservation,20,6102,7305,0.9916495550992471,0.0,0.008350444900752908,0.0,0.0,0.0,0.008350444900752908
Class-1-first backfill reservation,20,6103,7291,0.9893018790289397,0.0,0.010698120971060212,0.0,0.0,0.0,0.010698120971060212
Class-1-first backfill reservation,20,6104,7326,0.9746109746109746,0.0,0.025389025389025387,0.0,0.0,0.0,0.025389025389025387
Class-1-first backfill reservation,20,6105,7236,0.9941956882255389,0.0,0.005804311774461028,0.0,0.0,0.0,0.005804311774461028
Class-1-first backfill reservation,20,6106,7468,0.9710765934654526,0.0,0.0289234065345474,0.0,0.0,0.0,0.0289234065345474
Class-1-first backfill reservation,20,6107,7346,0.988156820038116,0.0,0.01184317996188402,0.0,0.0,0.0,0.01184317996188402
