policy,lambda_total,served_share,balked_share,canceled_share,no_show_share,no_offer_share,unresolved_booked_share,lost_share
Class-1-first backfill reservation,20,0.00846981691796521,0.0,0.008469816917965223,0.0,0.0,0.0,0.008469816917965223
Class-1-first backfill reservation,30,0.008111541347095512,9.77230978967597e-05,0.004385068742135045,0.004535778462589161,0.0,0.0,0.008111541347095541
Class-1-first backfill reservation,40,0.005716215299899108,0.006268453273390746,0.004122319164624783,0.0014709899619629698,0.0,0.0,0.00571621529989912
Class-1-first backfill reservation,50,0.004252560505236032,0.006304787803651439,0.005114423994058132,0.0014650517515378734,0.0,6.913145079863373e-05,0.00425256050523603
Class-1-first backfill reservation,60,0.0047677426221043925,0.002775413372969423,0.004483404152582085,0.001461066028437678,0.0,8.287226091674439e-05,0.004767742622104385
Class-1-first backfill reservation,70,0.004570990068722563,0.00395377606055515,0.004324986314482408,0.0034003347093489664,0.0,9.593902077309912e-05,0.0045709900687225455
Class-1-first backfill reservation,80,0.002235235773364041,0.005511192701816835,0.003548262079444866,0.0009837489004370815,0.0,6.255806341224615e-05,0.0022352357733640385
Class-1-first backfill reservation,90,0.0019465697587662647,0.004800779572489497,0.0037522048051009706,0.0009741021776972169,0.0,7.260524437269083e-05,0.0019465697587662705
Class-1-first backfill reservation,100,0.0013671007791236658,0.0033874759512746216,0.0027071669807764397,0.0007309319519955382,0.0,4.5676804768585195e-05,0.0013671007791236822
Strict C1 reservation,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strict C1 reservation,30,0.000211181008771572,0.0,0.00021118100877158845,0.0,0.0,0.0,0.00021118100877158845
Strict C1 reservation,40,0.00561935943022185,0.0,0.005619359430221859,0.0,0.0,0.0,0.005619359430221859
Strict C1 reservation,50,0.016169867238657043,0.0,0.005882459189166151,0.010776427777649006,0.0,0.0,0.016169867238657015
Strict C1 reservation,60,0.002782578415786752,0.006113644506186857,0.003273325186082037,0.001583457969707868,0.0,0.0,0.002782578415786779
Strict C1 reservation,70,0.002273355416703077,0.004718628529355229,0.0035000095020182426,0.001186406884943537,0.0,0.0,0.002273355416703107
Strict C1 reservation,80,0.0013282689351606718,0.002671271037237313,0.002232436185713934,0.0010481485203448593,0.0,0.0,0.0013282689351606823
Strict C1 reservation,90,0.0025954875846157612,0.0030494859302302195,0.0024651025697722513,0.0016737578237940758,0.0,9.504085665057786e-05,0.002595487584615737
Strict C1 reservation,100,0.0016718522967586282,0.0027211381157584724,0.0028136643931112363,0.0011593153878901492,0.0001497952254418257,0.00016064665172438753,0.0016718522967586243
