policy,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked,measured_total_slots,measured_booked_slots,measured_served_slots,measured_no_show_slots,measured_booked_slot_utilization,measured_served_slot_utilization,measured_no_show_slot_share,balked_rate,no_offer_rate,canceled_rate,no_show_rate,unresolved_booked_rate,served_rate,booked_arrival_rate,offered_rate
Pooled FCFS,5101,0.9224315068493151,0.59198682766191,10786,12016.0,5.3467069154774975,5.3467069154774975,0.0,18220,18220,18220,0,0,6525,909,0,11680,11680,10774,906,1.0,0.9224315068493151,0.07756849315068493,0.0,0.0,0.3581229418221734,0.049890230515916574,0.0,0.59198682766191,1.0,1.0
Pooled FCFS,5102,0.9007705479452055,0.5761102267113136,10495,11759.0,5.489981885052424,5.489981885052424,0.0,18217,18217,18217,0,0,6540,1182,0,11680,11680,10521,1159,1.0,0.9007705479452055,0.09922945205479453,0.0,0.0,0.35900532469671187,0.06488444859197454,0.0,0.5761102267113136,1.0,1.0
Pooled FCFS,5103,0.8936643835616438,0.5690839694656489,10437,11680.0,5.492148309705562,5.492148309705562,0.0,18340,18340,18340,0,0,6638,1265,0,11680,11680,10438,1242,1.0,0.8936643835616438,0.10633561643835616,0.0,0.0,0.3619411123227917,0.06897491821155943,0.0,0.5690839694656489,1.0,1.0
Pooled FCFS,5104,0.9199486301369864,0.5926028001322897,10751,12002.0,5.372505787675008,5.372505787675008,0.0,18142,18142,18142,0,0,6443,948,0,11680,11680,10745,935,1.0,0.9199486301369864,0.0800513698630137,0.0,0.0,0.35514276265020395,0.05225443721750634,0.0,0.5926028001322897,1.0,1.0
Pooled FCFS,5105,0.9213184931506849,0.5921415187920203,10745,12017.0,5.393971123112531,5.393971123112531,0.0,18146,18146,18146,0,0,6470,931,0,11680,11680,10761,919,1.0,0.9213184931506849,0.07868150684931507,0.0,0.0,0.35655240824424117,0.05130607296373856,0.0,0.5921415187920203,1.0,1.0
Pooled FCFS,5106,0.939041095890411,0.6120142523104332,10993,12244.0,5.251308317559292,5.251308317559292,0.0,17962,17962,17962,0,0,6264,705,0,11680,11680,10968,712,1.0,0.939041095890411,0.06095890410958904,0.0,0.0,0.3487362209108117,0.03924952677875515,0.0,0.6120142523104332,1.0,1.0
Pooled FCFS,5107,0.8966609589041096,0.5680434782608695,10452,11706.0,5.573695652173913,5.573695652173913,0.0,18400,18400,18400,0,0,6728,1220,0,11680,11680,10473,1207,1.0,0.8966609589041096,0.10333904109589041,0.0,0.0,0.3656521739130435,0.06630434782608696,0.0,0.5680434782608695,1.0,1.0
Pooled FCFS,5108,0.8965753424657534,0.5686381195930138,10451,11674.0,5.566570542466946,5.566570542466946,0.0,18379,18379,18379,0,0,6690,1238,0,11680,11680,10472,1208,1.0,0.8965753424657534,0.10342465753424658,0.0,0.0,0.3640023940366723,0.06735948637031394,0.0,0.5686381195930138,1.0,1.0
Pooled FCFS,5109,0.9113869863013698,0.5825620242072402,10637,11915.0,5.382496303192946,5.382496303192946,0.0,18259,18259,18259,0,0,6584,1038,0,11680,11680,10645,1035,1.0,0.9113869863013698,0.08861301369863013,0.0,0.0,0.3605892984281724,0.056848677364587326,0.0,0.5825620242072402,1.0,1.0
Pooled FCFS,5110,0.9101883561643835,0.581715476582209,10607,11892.0,5.463200614237139,5.463200614237139,0.0,18234,18234,18234,0,0,6569,1058,0,11680,11680,10631,1049,1.0,0.9101883561643835,0.08981164383561643,0.0,0.0,0.3602610507842492,0.05802347263354173,0.0,0.581715476582209,1.0,1.0
Pooled FCFS,5111,0.907791095890411,0.582159109600307,10618,11840.0,5.465266736114919,5.465266736114919,0.0,18239,18239,18239,0,0,6520,1101,0,11680,11680,10603,1077,1.0,0.907791095890411,0.09220890410958904,0.0,0.0,0.3574757388014694,0.06036515159822359,0.0,0.582159109600307,1.0,1.0
Pooled FCFS,5112,0.9041095890410958,0.5743765653925732,10549,11771.0,5.503103560927801,5.503103560927801,0.0,18366,18366,18366,0,0,6699,1118,0,11680,11680,10560,1120,1.0,0.9041095890410958,0.0958904109589041,0.0,0.0,0.364750081672656,0.06087335293477077,0.0,0.5743765653925732,1.0,1.0
Pooled FCFS,5113,0.8930650684931507,0.5665110218264741,10434,11660.0,5.546530567922685,5.546530567922685,0.0,18418,18418,18418,0,0,6714,1270,0,11680,11680,10431,1249,1.0,0.8930650684931507,0.10693493150684931,0.0,0.0,0.3645346943207732,0.06895428385275275,0.0,0.5665110218264741,1.0,1.0
Pooled FCFS,5114,0.8988869863013699,0.5723723723723724,10483,11725.0,5.6274092274092276,5.6274092274092276,0.0,18315,18315,18315,0,0,6623,1209,0,11680,11680,10499,1181,1.0,0.8988869863013699,0.10111301369863014,0.0,0.0,0.3616161616161616,0.06601146601146601,0.0,0.5723723723723724,1.0,1.0
Pooled FCFS,5115,0.9281678082191781,0.6012644188110027,10842,12118.0,5.301242236024844,5.301242236024844,0.0,18032,18032,18032,0,0,6356,834,0,11680,11680,10841,839,1.0,0.9281678082191781,0.07183219178082192,0.0,0.0,0.35248447204968947,0.0462511091393079,0.0,0.6012644188110027,1.0,1.0
