policy,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay,no_offer_rate,booked_rate
Pooled FCFS,5101,1,9172,9172,0,9172,0,3261,471,5440,5.361535106846925,5.361535106846925,0.5931094635848234,0.4657534246575342,0.0,49176.0,49176.0,0.0,1.0
Pooled FCFS,5101,2,9048,9048,0,9048,0,3264,438,5346,5.3316755083996465,5.3316755083996465,0.5908488063660478,0.4577054794520548,0.0,48241.0,48241.0,0.0,1.0
Pooled FCFS,5102,1,9161,9161,0,9161,0,3311,572,5278,5.491321908088636,5.491321908088636,0.5761379762034713,0.45188356164383564,0.0,50306.0,50306.0,0.0,1.0
Pooled FCFS,5102,2,9056,9056,0,9056,0,3229,610,5217,5.488626325088339,5.488626325088339,0.5760821554770318,0.44666095890410956,0.0,49705.0,49705.0,0.0,1.0
Pooled FCFS,5103,1,9292,9292,0,9292,0,3389,636,5267,5.481704692208352,5.481704692208352,0.5668316831683168,0.4509417808219178,0.0,50936.0,50936.0,0.0,1.0
Pooled FCFS,5103,2,9048,9048,0,9048,0,3249,629,5170,5.502873563218391,5.502873563218391,0.5713969938107869,0.4426369863013699,0.0,49790.0,49790.0,0.0,1.0
Pooled FCFS,5104,1,9004,9004,0,9004,0,3169,463,5372,5.372167925366504,5.372167925366504,0.5966237227898712,0.45993150684931505,0.0,48371.0,48371.0,0.0,1.0
Pooled FCFS,5104,2,9138,9138,0,9138,0,3274,485,5379,5.372838695557014,5.372838695557014,0.5886408404464872,0.4605308219178082,0.0,49097.0,49097.0,0.0,1.0
Pooled FCFS,5105,1,9137,9137,0,9137,0,3239,458,5440,5.395206304038525,5.395206304038525,0.5953814162197658,0.4657534246575342,0.0,49296.0,49296.0,0.0,1.0
Pooled FCFS,5105,2,9009,9009,0,9009,0,3231,473,5305,5.392718392718392,5.392718392718392,0.5888555888555889,0.4541952054794521,0.0,48583.0,48583.0,0.0,1.0
Pooled FCFS,5106,1,9090,9090,0,9090,0,3175,360,5555,5.234323432343234,5.234323432343234,0.6111111111111112,0.4755993150684932,0.0,47580.0,47580.0,0.0,1.0
Pooled FCFS,5106,2,8872,8872,0,8872,0,3089,345,5438,5.2687105500450855,5.2687105500450855,0.6129395852119026,0.46558219178082194,0.0,46744.0,46744.0,0.0,1.0
Pooled FCFS,5107,1,9188,9188,0,9188,0,3323,607,5258,5.549738789725729,5.549738789725729,0.5722681758815846,0.45017123287671235,0.0,50991.0,50991.0,0.0,1.0
Pooled FCFS,5107,2,9212,9212,0,9212,0,3405,613,5194,5.597590099869735,5.597590099869735,0.5638297872340425,0.4446917808219178,0.0,51565.0,51565.0,0.0,1.0
Pooled FCFS,5108,1,9184,9184,0,9184,0,3388,630,5166,5.589285714285714,5.589285714285714,0.5625,0.4422945205479452,0.0,51332.0,51332.0,0.0,1.0
Pooled FCFS,5108,2,9195,9195,0,9195,0,3302,608,5285,5.543882544861337,5.543882544861337,0.5747688961392061,0.4524828767123288,0.0,50976.0,50976.0,0.0,1.0
Pooled FCFS,5109,1,9236,9236,0,9236,0,3321,537,5378,5.382524902555219,5.382524902555219,0.5822867042009527,0.46044520547945206,0.0,49713.0,49713.0,0.0,1.0
Pooled FCFS,5109,2,9023,9023,0,9023,0,3263,501,5259,5.382467028704422,5.382467028704422,0.5828438435110274,0.4502568493150685,0.0,48566.0,48566.0,0.0,1.0
Pooled FCFS,5110,1,9084,9084,0,9084,0,3180,523,5381,5.464332892998679,5.464332892998679,0.5923601937472479,0.46070205479452053,0.0,49638.0,49638.0,0.0,1.0
Pooled FCFS,5110,2,9150,9150,0,9150,0,3389,535,5226,5.46207650273224,5.46207650273224,0.5711475409836065,0.44743150684931504,0.0,49978.0,49978.0,0.0,1.0
Pooled FCFS,5111,1,9035,9035,0,9035,0,3167,542,5326,5.446707249584947,5.446707249584947,0.5894853348090758,0.4559931506849315,0.0,49211.0,49211.0,0.0,1.0
Pooled FCFS,5111,2,9204,9204,0,9204,0,3353,559,5292,5.48348544111256,5.48348544111256,0.5749674054758801,0.45308219178082193,0.0,50470.0,50470.0,0.0,1.0
Pooled FCFS,5112,1,9194,9194,0,9194,0,3306,545,5343,5.506199695453557,5.506199695453557,0.5811398738307592,0.4574486301369863,0.0,50624.0,50624.0,0.0,1.0
Pooled FCFS,5112,2,9172,9172,0,9172,0,3393,573,5206,5.5,5.5,0.5675970344526821,0.4457191780821918,0.0,50446.0,50446.0,0.0,1.0
Pooled FCFS,5113,1,9263,9263,0,9263,0,3397,617,5249,5.5306056353233295,5.5306056353233295,0.5666630681204793,0.44940068493150687,0.0,51230.0,51230.0,0.0,1.0
Pooled FCFS,5113,2,9155,9155,0,9155,0,3317,653,5185,5.562643364281813,5.562643364281813,0.5663571818678318,0.4439212328767123,0.0,50926.0,50926.0,0.0,1.0
Pooled FCFS,5114,1,9028,9028,0,9028,0,3228,586,5214,5.60666814355339,5.60666814355339,0.5775365529463891,0.4464041095890411,0.0,50617.0,50617.0,0.0,1.0
Pooled FCFS,5114,2,9287,9287,0,9287,0,3395,623,5269,5.647571874663508,5.647571874663508,0.5673522127705395,0.45111301369863016,0.0,52449.0,52449.0,0.0,1.0
Pooled FCFS,5115,1,9045,9045,0,9045,0,3165,411,5469,5.300829187396352,5.300829187396352,0.6046434494195688,0.468236301369863,0.0,47946.0,47946.0,0.0,1.0
Pooled FCFS,5115,2,8987,8987,0,8987,0,3191,423,5373,5.3016579503727606,5.3016579503727606,0.5978635807277178,0.46001712328767125,0.0,47646.0,47646.0,0.0,1.0
Pooled FCFS,5116,1,9010,9010,0,9010,0,3264,611,5135,5.578912319644839,5.578912319644839,0.56992230854606,0.4396404109589041,0.0,50266.0,50266.0,0.0,1.0
