h1,h2,tau1,tau2,balk_high,arrival_rate,mean,std,n,se,ci95,metric
2,2,5,9,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,2,5,9,0.3,50,1.0,0.0,30,0.0,0.0,average_utilization
2,2,5,9,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,2,5,9,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,2,5,9,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,2,5,9,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
2,2,5,12,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,2,5,12,0.3,50,1.0,0.0,30,0.0,0.0,average_utilization
2,2,5,12,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,2,5,12,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,2,5,12,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,2,5,12,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
2,2,9,5,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,2,9,5,0.3,50,1.0,0.0,30,0.0,0.0,average_utilization
2,2,9,5,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,2,9,5,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,2,9,5,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,2,9,5,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
2,2,9,9,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,2,9,9,0.3,50,1.0,0.0,30,0.0,0.0,average_utilization
2,2,9,9,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,2,9,9,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,2,9,9,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,2,9,9,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
2,2,12,12,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,2,12,12,0.3,50,1.0,0.0,30,0.0,0.0,average_utilization
2,2,12,12,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,2,12,12,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,2,12,12,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,2,12,12,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
2,3,5,9,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,3,5,9,0.3,50,1.0,0.0,30,0.0,0.0,average_utilization
2,3,5,9,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,3,5,9,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,3,5,9,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,3,5,9,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
2,3,5,12,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,3,5,12,0.3,50,1.0,0.0,30,0.0,0.0,average_utilization
2,3,5,12,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,3,5,12,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,3,5,12,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,3,5,12,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
2,3,9,5,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,3,9,5,0.3,50,1.0,0.0,30,0.0,0.0,average_utilization
2,3,9,5,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,3,9,5,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,3,9,5,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,3,9,5,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
2,3,9,9,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,3,9,9,0.3,50,1.0,0.0,30,0.0,0.0,average_utilization
2,3,9,9,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,3,9,9,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,3,9,9,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,3,9,9,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
2,3,12,12,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,3,12,12,0.3,50,1.0,0.0,30,0.0,0.0,average_utilization
2,3,12,12,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,3,12,12,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,3,12,12,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,3,12,12,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
2,4,5,9,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,4,5,9,0.3,50,1.0,0.0,30,0.0,0.0,average_utilization
2,4,5,9,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,4,5,9,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,4,5,9,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,4,5,9,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
2,4,5,12,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,4,5,12,0.3,50,1.0,0.0,30,0.0,0.0,average_utilization
2,4,5,12,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
2,4,5,12,0.5,50,1.0,0.0,30,0.0,0.0,average_utilization
2,4,5,12,0.7,25,1.0,0.0,30,0.0,0.0,average_utilization
2,4,5,12,0.7,50,1.0,0.0,30,0.0,0.0,average_utilization
2,4,9,5,0.3,25,1.0,0.0,30,0.0,0.0,average_utilization
2,4,9,5,0.3,50,1.0,0.0,30,0.0,0.0,average_utilization
2,4,9,5,0.5,25,1.0,0.0,30,0.0,0.0,average_utilization
