h1,h2,tau1,tau2,balk_high,arrival_rate,class_id,mean,std,n,se,ci95,metric
2,2,5,9,0.3,25,1,0.6413666809456283,0.006475485394823078,30,0.0011822564738466156,0.0023172226887393666,percent_serviced
2,2,5,9,0.3,25,2,0.6418734503951392,0.005225647429841186,30,0.0009540683249643041,0.001869973916930036,percent_serviced
2,2,5,9,0.3,50,1,0.31989160762226104,0.0030729424982955697,30,0.0005610399747442547,0.0010996383504987392,percent_serviced
2,2,5,9,0.3,50,2,0.32024508959145487,0.002602195303747629,30,0.00047509368896552797,0.0009311836303724348,percent_serviced
2,2,5,9,0.5,25,1,0.6413666809456283,0.006475485394823078,30,0.0011822564738466156,0.0023172226887393666,percent_serviced
2,2,5,9,0.5,25,2,0.6418734503951392,0.005225647429841186,30,0.0009540683249643041,0.001869973916930036,percent_serviced
2,2,5,9,0.5,50,1,0.31989160762226104,0.0030729424982955697,30,0.0005610399747442547,0.0010996383504987392,percent_serviced
2,2,5,9,0.5,50,2,0.32024508959145487,0.002602195303747629,30,0.00047509368896552797,0.0009311836303724348,percent_serviced
2,2,5,9,0.7,25,1,0.6413666809456283,0.006475485394823078,30,0.0011822564738466156,0.0023172226887393666,percent_serviced
2,2,5,9,0.7,25,2,0.6418734503951392,0.005225647429841186,30,0.0009540683249643041,0.001869973916930036,percent_serviced
2,2,5,9,0.7,50,1,0.31989160762226104,0.0030729424982955697,30,0.0005610399747442547,0.0010996383504987392,percent_serviced
2,2,5,9,0.7,50,2,0.32024508959145487,0.002602195303747629,30,0.00047509368896552797,0.0009311836303724348,percent_serviced
2,2,5,12,0.3,25,1,0.6413666809456283,0.006475485394823078,30,0.0011822564738466156,0.0023172226887393666,percent_serviced
2,2,5,12,0.3,25,2,0.6418734503951392,0.005225647429841186,30,0.0009540683249643041,0.001869973916930036,percent_serviced
2,2,5,12,0.3,50,1,0.31989160762226104,0.0030729424982955697,30,0.0005610399747442547,0.0010996383504987392,percent_serviced
2,2,5,12,0.3,50,2,0.32024508959145487,0.002602195303747629,30,0.00047509368896552797,0.0009311836303724348,percent_serviced
2,2,5,12,0.5,25,1,0.6413666809456283,0.006475485394823078,30,0.0011822564738466156,0.0023172226887393666,percent_serviced
2,2,5,12,0.5,25,2,0.6418734503951392,0.005225647429841186,30,0.0009540683249643041,0.001869973916930036,percent_serviced
2,2,5,12,0.5,50,1,0.31989160762226104,0.0030729424982955697,30,0.0005610399747442547,0.0010996383504987392,percent_serviced
2,2,5,12,0.5,50,2,0.32024508959145487,0.002602195303747629,30,0.00047509368896552797,0.0009311836303724348,percent_serviced
2,2,5,12,0.7,25,1,0.6413666809456283,0.006475485394823078,30,0.0011822564738466156,0.0023172226887393666,percent_serviced
2,2,5,12,0.7,25,2,0.6418734503951392,0.005225647429841186,30,0.0009540683249643041,0.001869973916930036,percent_serviced
2,2,5,12,0.7,50,1,0.31989160762226104,0.0030729424982955697,30,0.0005610399747442547,0.0010996383504987392,percent_serviced
2,2,5,12,0.7,50,2,0.32024508959145487,0.002602195303747629,30,0.00047509368896552797,0.0009311836303724348,percent_serviced
2,2,9,5,0.3,25,1,0.6413666809456283,0.006475485394823078,30,0.0011822564738466156,0.0023172226887393666,percent_serviced
2,2,9,5,0.3,25,2,0.6418734503951392,0.005225647429841186,30,0.0009540683249643041,0.001869973916930036,percent_serviced
2,2,9,5,0.3,50,1,0.31989160762226104,0.0030729424982955697,30,0.0005610399747442547,0.0010996383504987392,percent_serviced
2,2,9,5,0.3,50,2,0.32024508959145487,0.002602195303747629,30,0.00047509368896552797,0.0009311836303724348,percent_serviced
2,2,9,5,0.5,25,1,0.6413666809456283,0.006475485394823078,30,0.0011822564738466156,0.0023172226887393666,percent_serviced
2,2,9,5,0.5,25,2,0.6418734503951392,0.005225647429841186,30,0.0009540683249643041,0.001869973916930036,percent_serviced
2,2,9,5,0.5,50,1,0.31989160762226104,0.0030729424982955697,30,0.0005610399747442547,0.0010996383504987392,percent_serviced
2,2,9,5,0.5,50,2,0.32024508959145487,0.002602195303747629,30,0.00047509368896552797,0.0009311836303724348,percent_serviced
2,2,9,5,0.7,25,1,0.6413666809456283,0.006475485394823078,30,0.0011822564738466156,0.0023172226887393666,percent_serviced
2,2,9,5,0.7,25,2,0.6418734503951392,0.005225647429841186,30,0.0009540683249643041,0.001869973916930036,percent_serviced
2,2,9,5,0.7,50,1,0.31989160762226104,0.0030729424982955697,30,0.0005610399747442547,0.0010996383504987392,percent_serviced
2,2,9,5,0.7,50,2,0.32024508959145487,0.002602195303747629,30,0.00047509368896552797,0.0009311836303724348,percent_serviced
2,2,9,9,0.3,25,1,0.6413666809456283,0.006475485394823078,30,0.0011822564738466156,0.0023172226887393666,percent_serviced
2,2,9,9,0.3,25,2,0.6418734503951392,0.005225647429841186,30,0.0009540683249643041,0.001869973916930036,percent_serviced
2,2,9,9,0.3,50,1,0.31989160762226104,0.0030729424982955697,30,0.0005610399747442547,0.0010996383504987392,percent_serviced
2,2,9,9,0.3,50,2,0.32024508959145487,0.002602195303747629,30,0.00047509368896552797,0.0009311836303724348,percent_serviced
2,2,9,9,0.5,25,1,0.6413666809456283,0.006475485394823078,30,0.0011822564738466156,0.0023172226887393666,percent_serviced
2,2,9,9,0.5,25,2,0.6418734503951392,0.005225647429841186,30,0.0009540683249643041,0.001869973916930036,percent_serviced
2,2,9,9,0.5,50,1,0.31989160762226104,0.0030729424982955697,30,0.0005610399747442547,0.0010996383504987392,percent_serviced
2,2,9,9,0.5,50,2,0.32024508959145487,0.002602195303747629,30,0.00047509368896552797,0.0009311836303724348,percent_serviced
2,2,9,9,0.7,25,1,0.6413666809456283,0.006475485394823078,30,0.0011822564738466156,0.0023172226887393666,percent_serviced
2,2,9,9,0.7,25,2,0.6418734503951392,0.005225647429841186,30,0.0009540683249643041,0.001869973916930036,percent_serviced
2,2,9,9,0.7,50,1,0.31989160762226104,0.0030729424982955697,30,0.0005610399747442547,0.0010996383504987392,percent_serviced
