h1,h2,tau1,tau2,balk_high,arrival_rate,class_id,mean,std,n,se,ci95
2,2,5,9,0.3,25,1,0.3586333190543717,0.006475485394823102,30,0.00118225647384662,0.002317222688739375
2,2,5,9,0.3,25,2,0.35812654960486073,0.005225647429841166,30,0.0009540683249643006,0.0018699739169300291
2,2,5,9,0.3,50,1,0.680108392377739,0.003072942498295563,30,0.0005610399747442535,0.0010996383504987368
2,2,5,9,0.3,50,2,0.6797549104085452,0.0026021953037476194,30,0.00047509368896552623,0.0009311836303724314
2,2,5,9,0.5,25,1,0.3586333190543717,0.006475485394823102,30,0.00118225647384662,0.002317222688739375
2,2,5,9,0.5,25,2,0.35812654960486073,0.005225647429841166,30,0.0009540683249643006,0.0018699739169300291
2,2,5,9,0.5,50,1,0.680108392377739,0.003072942498295563,30,0.0005610399747442535,0.0010996383504987368
2,2,5,9,0.5,50,2,0.6797549104085452,0.0026021953037476194,30,0.00047509368896552623,0.0009311836303724314
2,2,5,9,0.7,25,1,0.3586333190543717,0.006475485394823102,30,0.00118225647384662,0.002317222688739375
2,2,5,9,0.7,25,2,0.35812654960486073,0.005225647429841166,30,0.0009540683249643006,0.0018699739169300291
2,2,5,9,0.7,50,1,0.680108392377739,0.003072942498295563,30,0.0005610399747442535,0.0010996383504987368
2,2,5,9,0.7,50,2,0.6797549104085452,0.0026021953037476194,30,0.00047509368896552623,0.0009311836303724314
2,2,5,12,0.3,25,1,0.3586333190543717,0.006475485394823102,30,0.00118225647384662,0.002317222688739375
2,2,5,12,0.3,25,2,0.35812654960486073,0.005225647429841166,30,0.0009540683249643006,0.0018699739169300291
2,2,5,12,0.3,50,1,0.680108392377739,0.003072942498295563,30,0.0005610399747442535,0.0010996383504987368
2,2,5,12,0.3,50,2,0.6797549104085452,0.0026021953037476194,30,0.00047509368896552623,0.0009311836303724314
2,2,5,12,0.5,25,1,0.3586333190543717,0.006475485394823102,30,0.00118225647384662,0.002317222688739375
2,2,5,12,0.5,25,2,0.35812654960486073,0.005225647429841166,30,0.0009540683249643006,0.0018699739169300291
2,2,5,12,0.5,50,1,0.680108392377739,0.003072942498295563,30,0.0005610399747442535,0.0010996383504987368
2,2,5,12,0.5,50,2,0.6797549104085452,0.0026021953037476194,30,0.00047509368896552623,0.0009311836303724314
