class1_low_balk,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked
0.0,1,0.8404965753424658,0.2673493844645386,9816,10913.0,8.373185784209406,9.338707920252752,0.3600882449068526,36716,23495,36716,13221,0,11815,1862,2
0.0,2,0.8380993150684931,0.2685083479789104,9778,10914.0,8.423729532535845,9.382222100175747,0.35264718804920914,36416,23574,36416,12842,0,11902,1887,7
0.0,3,0.8454623287671232,0.2713783249065729,9876,11005.0,8.355521485456327,9.318586502528028,0.35477577489558143,36392,23481,36392,12911,0,11786,1803,16
0.0,4,0.8382705479452055,0.26576392854229547,9774,10907.0,8.392910147139888,9.355004486499714,0.35875683171547434,36777,23583,36777,13194,0,11913,1888,8
0.0,5,0.8383561643835616,0.2701078115090854,9796,10912.0,8.25201862690648,9.195136074116967,0.35459232911462213,36267,23407,36267,12860,0,11723,1878,10
0.0,6,0.8448630136986301,0.2714093147368711,9866,10981.0,8.379796264855688,9.330142224422987,0.35187477648482846,36351,23560,36351,12791,0,11863,1802,29
0.0,7,0.8412671232876713,0.27003106016876943,9824,10957.0,8.408399710354816,9.361644814601028,0.35469063522168165,36381,23477,36381,12904,0,11793,1841,19
0.0,8,0.8428938356164384,0.27071975329037945,9832,10972.0,8.32797552357149,9.291067790076546,0.3610330965361529,36318,23206,36318,13112,0,11515,1837,22
0.0,9,0.8368150684931507,0.2668195718654434,9772,10893.0,8.276792141254182,9.222012887723897,0.35514962865880295,36624,23617,36624,13007,0,11923,1910,12
0.0,10,0.8455479452054795,0.2700657894736842,9852,10996.0,8.310518670426386,9.283991228070175,0.3583881578947368,36480,23406,36480,13074,0,11743,1806,5
0.0,11,0.8337328767123288,0.2646754801153365,9730,10858.0,8.518009780990857,9.502148958163321,0.36034492138621405,36762,23515,36762,13247,0,11844,1928,13
0.0,12,0.8453767123287671,0.27234336185481645,9867,11016.0,8.35020934803042,9.307673199006349,0.35396080596191004,36230,23406,36230,12824,0,11748,1789,2
0.0,13,0.8457191780821918,0.2711519978031031,9874,11000.0,8.27007486631016,9.231607853906358,0.35809419195386516,36415,23375,36415,13040,0,11698,1789,14
0.0,14,0.8401541095890411,0.26836413415468857,9802,10930.0,8.336116198832901,9.310965092402464,0.3572347707049966,36525,23477,36525,13048,0,11806,1864,5
0.0,15,0.8406678082191781,0.26802349405818876,9811,10924.0,8.35183859146624,9.31217046851523,0.35142740062832944,36605,23741,36605,12864,0,12070,1849,11
0.0,16,0.8419520547945205,0.26717204651668297,9833,10970.0,8.426293139819425,9.410634713618085,0.3559939137050321,36804,23702,36804,13102,0,12037,1825,7
0.0,17,0.8391267123287671,0.2690923081150897,9792,10941.0,8.182179657103767,9.133391959108522,0.3572508175547556,36389,23389,36389,13000,0,11704,1875,18
0.0,18,0.8490582191780822,0.2715704786142353,9924,11031.0,8.186201906707526,9.149002544947049,0.35703144241031115,36543,23496,36543,13047,0,11802,1757,13
0.0,19,0.8441780821917808,0.2666251657780063,9851,10996.0,8.455068053089864,9.431320540233306,0.3596773757003275,36947,23658,36947,13289,0,11974,1816,17
0.0,20,0.8423801369863013,0.270308853809197,9846,10977.0,8.321171941830624,9.279231297185998,0.3581331503088538,36425,23380,36425,13045,0,11693,1832,9
0.0,21,0.8409246575342466,0.27013996032620674,9805,10942.0,8.354588134869825,9.310750495922417,0.3544743222393652,36296,23430,36296,12866,0,11771,1854,0
0.0,22,0.8385273972602739,0.2680996714129244,9791,10916.0,8.350851911502925,9.303203723986856,0.3539430449069003,36520,23594,36520,12926,0,11902,1880,21
0.0,23,0.8428938356164384,0.2679385354403777,9817,10966.0,8.388963604269984,9.347826086956522,0.3505827124102732,36639,23794,36639,12845,0,12147,1824,6
0.0,24,0.8495719178082192,0.27082309246818503,9917,11051.0,8.410423452768729,9.381779452728166,0.35444317002567044,36618,23639,36618,12979,0,11963,1738,21
0.0,25,0.8375,0.2661878332789204,9784,10910.0,8.343934189882543,9.311894656654696,0.35839046686255305,36756,23583,36756,13173,0,11887,1900,12
0.0,26,0.8436643835616439,0.271804770439818,9857,10996.0,8.263442923542707,9.208382738177306,0.35334344409209983,36265,23451,36265,12814,0,11762,1823,9
0.0,27,0.8424657534246576,0.2665706834727806,9813,10955.0,8.479319969550875,9.465554710420514,0.35765511246332715,36812,23646,36812,13166,0,11997,1824,12
0.0,28,0.8459760273972603,0.2701528032146079,9883,10988.0,8.317740362186692,9.284777082251319,0.3554656534455895,36583,23579,36583,13004,0,11885,1801,10
0.0,29,0.8371575342465754,0.2667942060672315,9762,10892.0,8.330947816826411,9.292402295709211,0.35843126537305275,36590,23475,36590,13115,0,11804,1896,13
0.0,30,0.8382705479452055,0.2690944070358664,9791,10922.0,8.420452117430878,9.381998076130273,0.35685035041912877,36385,23401,36385,12984,0,11715,1877,18
0.0,31,0.8425513698630137,0.27066508640886416,9820,10971.0,8.36072178646436,9.318817011658995,0.3569361373721783,36281,23331,36281,12950,0,11673,1833,5
0.0,32,0.8417808219178082,0.26850686655359196,9815,10965.0,8.434784460725847,9.394266017398916,0.35777206324889205,36554,23476,36554,13078,0,11793,1857,11
0.0,33,0.8377568493150684,0.26512764801738187,9762,10893.0,8.39309964352402,9.359125475285172,0.3600217273221076,36820,23564,36820,13256,0,11891,1893,18
0.0,34,0.8367294520547945,0.2649338681699913,9775,10891.0,8.498249462184164,9.471731352992194,0.35746422376409365,36896,23707,36896,13189,0,12007,1908,17
0.0,35,0.8392123287671233,0.26731486777242147,9815,10946.0,8.426070368800339,9.400250565133318,0.35751831576653864,36717,23590,36717,13127,0,11894,1865,16
0.0,36,0.8398116438356165,0.270336576894451,9807,10923.0,8.071263778518329,9.006753590429197,0.3547978057722524,36277,23406,36277,12871,0,11718,1866,15
0.0,37,0.8385273972602739,0.2660525529197576,9791,10928.0,8.382881355932204,9.364256406075922,0.35871307844895517,36801,23600,36801,13201,0,11927,1869,13
0.0,38,0.8428938356164384,0.26770580701419733,9824,10977.0,8.384599003364709,9.362018693626181,0.3601929313022863,36697,23479,36697,13218,0,11816,1835,4
0.0,39,0.8403253424657534,0.2685742422584528,9818,10949.0,8.360324747088328,9.318907976802713,0.3564394353868038,36556,23526,36556,13030,0,11841,1858,9
0.0,40,0.8395547945205479,0.267365375692568,9796,10917.0,8.42068877224427,9.39943775758072,0.36043560140833536,36639,23433,36639,13206,0,11740,1877,20
0.0,41,0.8445205479452055,0.2698190789473684,9843,10992.0,8.2776740237691,9.236842105263158,0.3541666666666667,36480,23560,36480,12920,0,11884,1819,14
0.0,42,0.8384417808219178,0.2704709844845674,9797,10932.0,8.240453102205441,9.20214234443156,0.3565788747170228,36222,23306,36222,12916,0,11640,1864,5
0.0,43,0.8388698630136986,0.2685131756106944,9772,10928.0,8.36220071319409,9.313109663946364,0.352732668370291,36393,23556,36393,12837,0,11877,1880,27
0.0,44,0.8446917808219178,0.2697181559973782,9876,10994.0,8.272516346762286,9.232220887043916,0.3526054183963295,36616,23705,36616,12911,0,12014,1808,7
0.0,45,0.83125,0.26541554959785524,9702,10842.0,8.403370690392677,9.368413853477048,0.36045302839634513,36554,23378,36554,13176,0,11683,1968,25
0.0,46,0.8465753424657534,0.2716921976843321,9879,11026.0,8.31191494768944,9.274002365171475,0.3507054261433954,36361,23609,36361,12752,0,11935,1782,13
0.0,47,0.8392123287671233,0.2679906862073689,9783,10936.0,8.318397425038116,9.279824681550473,0.3531844952746199,36505,23612,36505,12893,0,11933,1875,21
0.0,48,0.8397260273972603,0.266041581736649,9789,10940.0,8.493397663788725,9.469058295964125,0.357847533632287,36795,23628,36795,13167,0,11958,1872,9
0.0,49,0.8428082191780822,0.2697256748617423,9852,10985.0,8.296247447243022,9.260964792202815,0.3565131687017467,36526,23504,36526,13022,0,11813,1824,15
0.0,50,0.8444349315068493,0.26918252713093743,9872,10987.0,8.29129587253157,9.25710312482958,0.3565468724436931,36674,23598,36674,13076,0,11895,1824,7
0.0,51,0.8373287671232876,0.26810938314270827,9775,10904.0,8.371081986681936,9.332647631586164,0.35332839628075374,36459,23577,36459,12882,0,11881,1900,21
0.0,52,0.8430650684931507,0.26984693037801066,9837,10969.0,8.385363357215967,9.353431722170406,0.3567784056619301,36454,23448,36454,13006,0,11781,1822,8
0.0,53,0.8368150684931507,0.267544700309411,9771,10899.0,8.436068904219749,9.398975931655759,0.3530571452041291,36521,23627,36521,12894,0,11942,1901,13
0.0,54,0.8361301369863013,0.267846331663823,9733,10876.0,8.28230114972005,9.22692498211239,0.3561285706423028,36338,23397,36338,12941,0,11728,1914,22
0.0,55,0.8361301369863013,0.2688397211583501,9757,10890.0,8.263566221919094,9.207450472542915,0.35362191056126524,36293,23459,36293,12834,0,11795,1902,5
0.0,56,0.8443493150684932,0.26937995083310573,9862,10995.0,8.340553856608903,9.314640808522261,0.3568970226714013,36610,23544,36610,13066,0,11879,1791,12
0.0,57,0.8358732876712329,0.2672276739213859,9749,10891.0,8.350006358357,9.316183323282715,0.3533523381393564,36482,23591,36482,12891,0,11909,1913,20
0.0,58,0.8392123287671233,0.2690029615004936,9810,10928.0,8.337129551227774,9.291652956016234,0.3523088735329604,36468,23620,36468,12848,0,11931,1864,15
0.0,59,0.8456335616438356,0.2699337820828545,9865,11016.0,8.356836062088028,9.329475181962458,0.3565643298856236,36546,23515,36546,13031,0,11843,1797,10
0.0,60,0.8466609589041096,0.2696083778771681,9886,11029.0,8.369389225617768,9.341878477146286,0.3565779426202684,36668,23593,36668,13075,0,11895,1797,15
0.0,61,0.8433219178082192,0.26660524105037803,9838,10998.0,8.407668724539079,9.381561475298772,0.35473293406682743,36901,23811,36901,13090,0,12142,1816,15
0.0,62,0.8423801369863013,0.26942806199423947,9822,10986.0,8.33343286128647,9.297846660266082,0.3569057742422164,36455,23444,36455,13011,0,11771,1837,14
0.0,63,0.833904109589041,0.26372227788458935,9739,10876.0,8.552171341669483,9.55934360529665,0.3589861626364104,36929,23672,36929,13257,0,11998,1926,9
0.0,64,0.8413527397260274,0.27205739771184795,9821,10955.0,8.248182717536238,9.198038726834538,0.3559655392116125,36099,23249,36099,12850,0,11574,1851,3
0.0,65,0.8446917808219178,0.2698265010125335,9860,10997.0,8.289563292755597,9.258313490434354,0.3569805950132742,36542,23494,36537,13043,5,11800,1819,15
