class1_balk_threshold,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked
3,1,0.8396404109589041,0.267971180612412,9819,10930.0,7.862572062084257,8.585339228208067,0.38458599421428963,36642,22550,36642,14092,0,10860,1866,5
3,2,0.8468321917808219,0.27262449677383777,9887,11029.0,7.769745589929971,8.477995919042629,0.37787459328296474,36266,22562,36266,13704,0,10883,1792,0
3,3,0.8372431506849315,0.2689237544728874,9770,10904.0,7.7456276979217655,8.446958436553812,0.38147536471235893,36330,22471,36330,13859,0,10788,1911,2
3,4,0.8410958904109589,0.27136220341795253,9813,10962.0,7.808818310858765,8.489851225042862,0.3765831535866379,36162,22544,36162,13618,0,10869,1861,1
3,5,0.8408390410958904,0.2687405783198575,9805,10961.0,7.807169676381191,8.507249554611484,0.3868164999314787,36485,22372,36485,14113,0,10716,1851,0
3,6,0.8413527397260274,0.26877070046259544,9819,10951.0,7.867125159811312,8.588399529192785,0.379109298442504,36533,22683,36533,13850,0,11011,1853,0
3,7,0.833904109589041,0.26482267188859876,9737,10871.0,7.874017496336427,8.608817449956485,0.38753807658833767,36768,22519,36768,14249,0,10833,1941,8
3,8,0.8386986301369863,0.2679543651336489,9794,10933.0,7.860453692953469,8.573527400071134,0.3873218243002927,36551,22394,36551,14157,0,10712,1888,0
3,9,0.8385273972602739,0.2678434801617663,9802,10922.0,7.863901662539795,8.584298830473276,0.38200896272816703,36596,22616,36596,13980,0,10926,1880,8
3,10,0.8393835616438357,0.26999118845687853,9805,10926.0,7.78560606060606,8.50165216433528,0.3820905386055733,36316,22440,36316,13876,0,10758,1867,10
3,11,0.842722602739726,0.27065792721388804,9869,10978.0,7.915383585486678,8.628472698351754,0.3854866577078134,36463,22407,36463,14056,0,10704,1819,15
3,12,0.8416095890410958,0.26838134805663366,9819,10964.0,7.748768691485114,8.45741540479965,0.3839993440113705,36586,22537,36586,14049,0,10858,1860,0
3,13,0.8405821917808219,0.27175745515849986,9833,10956.0,7.763295612112538,8.464610452422408,0.3821131470580107,36183,22357,36183,13826,0,10660,1858,6
3,14,0.838013698630137,0.26609920591754593,9785,10920.0,7.923280306702507,8.649733492875013,0.38287283802893507,36772,22693,36772,14079,0,11027,1873,8
3,15,0.8407534246575342,0.26957549763554384,9805,10951.0,7.704502981222746,8.417491476960299,0.3821071153634664,36372,22474,36372,13898,0,10803,1865,1
3,16,0.842208904109589,0.271013094417643,9831,10957.0,7.828003033141532,8.541474844934529,0.3819710544452102,36275,22419,36275,13856,0,10724,1861,3
3,17,0.8398972602739726,0.27096613958109117,9819,10944.0,7.7254710707160275,8.44716725998289,0.37756988713193695,36237,22555,36237,13682,0,10868,1868,0
3,18,0.8400684931506849,0.2689220654704835,9817,10949.0,7.7365436583528995,8.447966032050404,0.3816463498150938,36505,22573,36505,13932,0,10889,1863,4
3,19,0.8392979452054794,0.2672791020030984,9834,10962.0,7.866878531073446,8.593183485989183,0.38423069605631505,36793,22656,36793,14137,0,10952,1852,18
3,20,0.8418664383561644,0.26923287671232876,9827,10949.0,7.857187444266096,8.566712328767123,0.38553424657534247,36500,22428,36500,14072,0,10739,1862,0
3,21,0.8341609589041096,0.2655430506993007,9721,10883.0,7.838980416537146,8.56372923951049,0.3848612325174825,36608,22519,36608,14089,0,10866,1932,0
3,22,0.8433219178082192,0.26811140453567833,9848,10983.0,7.744712923963644,8.460945795104951,0.38594103073697966,36731,22555,36731,14176,0,10882,1825,0
3,23,0.8361301369863013,0.2678532250987275,9767,10898.0,7.738466320323254,8.460700965335674,0.3823771390960948,36464,22521,36464,13943,0,10850,1904,0
3,24,0.8416952054794521,0.27135803150257926,9837,10994.0,7.77322623828648,8.482524620010482,0.38181015696118725,36251,22410,36251,13841,0,10741,1832,0
3,25,0.8421232876712329,0.27125606528451696,9839,10967.0,7.774139304363218,8.478357962064402,0.37698500220555803,36272,22598,36272,13674,0,10913,1845,1
