class1_balk_threshold,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
3,1,1,18108,9910,8198,18108,0,4820,812,4274,8.03087790110999,8.593715484868566,0.23602827479567043,0.3659246575342466,0.4527280759885134,79586.0,155615.0
3,1,2,18534,12640,5894,18534,0,6040,1054,5545,7.730617088607595,8.57715549800367,0.29917988561562536,0.4747431506849315,0.3180101435200173,97715.0,158969.0
3,2,1,18050,9936,8114,18050,0,4828,805,4303,7.902475845410628,8.479612188365651,0.23839335180055402,0.36840753424657535,0.4495290858725762,78519.0,153057.0
3,2,2,18216,12626,5590,18216,0,6055,987,5584,7.6652938381118325,8.476394378568292,0.3065436978480457,0.4780821917808219,0.306873078612209,96782.0,154406.0
3,3,1,18167,9822,8345,18167,0,4751,848,4223,7.868763999185502,8.450982550778885,0.2324544503770573,0.3615582191780822,0.4593493697363351,77287.0,153529.0
3,3,2,18163,12649,5514,18163,0,6037,1063,5547,7.650011858644953,8.44293343610637,0.30540109012828276,0.47491438356164384,0.303584209656995,96765.0,153349.0
3,4,1,18053,9916,8137,18053,0,4885,831,4199,7.986183945139169,8.498587492383537,0.232592920844181,0.35950342465753427,0.45072841079045034,79191.0,153425.0
3,4,2,18109,12628,5481,18109,0,5984,1030,5614,7.669543870763383,8.481141973604284,0.31001159644375725,0.48065068493150687,0.302667182064167,96851.0,153585.0
3,5,1,17940,9578,8362,17940,0,4603,786,4189,7.944664856963875,8.500891861761428,0.2335005574136009,0.3586472602739726,0.46610925306577483,76094.0,152506.0
3,5,2,18545,12794,5751,18545,0,6113,1065,5616,7.704236360794122,8.51339983823133,0.3028309517390132,0.4808219178082192,0.31011054192504717,98568.0,157881.0
3,6,1,18306,10071,8235,18306,0,4968,844,4259,8.01380200575911,8.592483338796024,0.23265595979460285,0.3646404109589041,0.4498525073746313,80707.0,157294.0
3,6,2,18227,12612,5615,18227,0,6043,1009,5560,7.75,8.584298019421738,0.30504197070280353,0.476027397260274,0.3080594722115543,97743.0,156466.0
3,7,1,18452,10084,8368,18452,0,4886,874,4317,8.006842522808409,8.60031432907002,0.23395837849555604,0.36960616438356164,0.4535009755040104,80741.0,158693.0
3,7,2,18316,12435,5881,18316,0,5947,1067,5420,7.766304784881383,8.61738370823324,0.2959161388949552,0.464041095890411,0.32108538982310547,96574.0,157836.0
3,8,1,18327,10028,8299,18327,0,4859,831,4338,8.013861188671719,8.575653407540786,0.23669995089212637,0.3714041095890411,0.45282915916407485,80363.0,157166.0
3,8,2,18224,12366,5858,18224,0,5853,1057,5456,7.736050460941291,8.57138937664618,0.2993854258121159,0.4671232876712329,0.32144424934152765,95664.0,156205.0
3,9,1,18337,10095,8242,18337,0,4956,816,4322,8.018722139673105,8.597425969351585,0.23569831488247805,0.37003424657534245,0.4494737416153133,80949.0,157651.0
3,9,2,18259,12521,5738,18259,0,5970,1064,5480,7.73907834837473,8.571115614217646,0.30012596527739743,0.4691780821917808,0.3142559833506764,96901.0,156500.0
3,10,1,18171,9950,8221,18171,0,4749,860,4337,7.921708542713568,8.503549612019151,0.23867701282262946,0.37131849315068494,0.45242419239447473,78821.0,154518.0
