class1_balk_threshold,mean,std,n,se,ci95,metric
3,0.8407046232876713,0.0032273359686749137,100,0.0003227335968674914,0.0006325578498602831,average_utilization
4,0.8406601027397261,0.003549552837407255,100,0.00035495528374072553,0.000695712356131822,average_utilization
5,0.840195205479452,0.0031813819377753145,100,0.00031813819377753144,0.0006235508598039616,average_utilization
6,0.8406969178082191,0.0033495734234764507,100,0.00033495734234764506,0.0006565163910013843,average_utilization
7,0.8408330479452054,0.003435197540638542,100,0.0003435197540638542,0.0006732987179651543,average_utilization
8,0.840529109589041,0.0029565333533505523,100,0.00029565333533505524,0.0005794805372567083,average_utilization
9,0.8408467465753425,0.0033917248480730155,100,0.00033917248480730156,0.000664778070222311,average_utilization
10,0.8412071917808219,0.0036642506044115026,100,0.00036642506044115027,0.0007181931184646545,average_utilization
11,0.8403510273972603,0.003276747890734656,100,0.0003276747890734656,0.0006422425865839925,average_utilization
12,0.8408330479452054,0.003716670630437261,100,0.0003716670630437261,0.0007284674435657032,average_utilization
13,0.8406412671232877,0.003512323507244677,100,0.00035123235072446774,0.0006884154074199568,average_utilization
3,0.2690981475327731,0.0017870487726203887,100,0.00017870487726203888,0.0003502615594335962,overall_percent_serviced
4,0.269030586489401,0.001913203853042439,100,0.0001913203853042439,0.000374987955196318,overall_percent_serviced
5,0.2687455172421263,0.0018543107432674264,100,0.00018543107432674263,0.0003634449056804155,overall_percent_serviced
6,0.2690527781418114,0.0016738381080703601,100,0.00016738381080703602,0.00032807226918179057,overall_percent_serviced
7,0.2688950165604253,0.0018226718355725466,100,0.00018226718355725466,0.0003572436797722191,overall_percent_serviced
8,0.26874825790193235,0.0016722992647209731,100,0.0001672299264720973,0.0003277706558853107,overall_percent_serviced
9,0.26873068333974687,0.0018875263833138553,100,0.00018875263833138554,0.00036995517112951566,overall_percent_serviced
10,0.2691105415551047,0.001928458505123747,100,0.0001928458505123747,0.0003779778670042544,overall_percent_serviced
11,0.26844091998615677,0.001809938820079736,100,0.0001809938820079736,0.00035474800873562827,overall_percent_serviced
12,0.26893558167083526,0.001798183846533181,100,0.00017981838465331811,0.0003524440339205035,overall_percent_serviced
13,0.2685102525298961,0.0018511462501214979,100,0.00018511462501214979,0.00036282466502381356,overall_percent_serviced
3,7.820106158088289,0.06214129627402895,100,0.006214129627402895,0.012179694069709673,mean_accepted_booking_delay
4,7.8867382908290615,0.06729473257752727,100,0.006729473257752727,0.013189767585195345,mean_accepted_booking_delay
5,7.9708129415754225,0.07110648666486218,100,0.007110648666486218,0.013936871386312987,mean_accepted_booking_delay
6,8.053400363187407,0.07098839164889537,100,0.007098839164889537,0.013913724763183493,mean_accepted_booking_delay
7,8.158250034161608,0.08013861751150454,100,0.008013861751150455,0.01570716903225489,mean_accepted_booking_delay
8,8.242234607542764,0.07312154539607438,100,0.007312154539607438,0.014331822897630579,mean_accepted_booking_delay
9,8.348896180117288,0.0804270879653375,100,0.00804270879653375,0.01576370924120615,mean_accepted_booking_delay
10,8.570664850595731,0.06536725955855321,100,0.006536725955855321,0.01281198287347643,mean_accepted_booking_delay
11,8.918631383511007,0.04510976537651982,100,0.004510976537651982,0.008841514013797885,mean_accepted_booking_delay
12,9.293201628137766,0.026548327043256596,100,0.0026548327043256596,0.005203472100478293,mean_accepted_booking_delay
13,9.44100701135384,0.02445887454589601,100,0.002445887454589601,0.004793939410995618,mean_accepted_booking_delay
3,8.537159870385196,0.06807196777010611,100,0.006807196777010612,0.0133421056829408,mean_offered_booking_delay
4,8.664282718296942,0.07204686783649805,100,0.007204686783649805,0.014121186095953617,mean_offered_booking_delay
