class1_cancel_prob,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked
0.0,1,0.7541095890410959,0.24097810540213443,8761,9842.0,11.10458435924493,11.826289221023458,0.4371968722161734,36356,17058,30309,13251,6047,5362,2862,73
0.0,2,0.7511130136986301,0.23814331714238934,8727,9803.0,11.152737752161384,11.85778935373596,0.4464268272830864,36646,17003,30715,13712,5931,5310,2898,68
0.0,3,0.758818493150685,0.24121715832353666,8823,9922.0,11.134811686026048,11.834742125074293,0.4371656871161593,36577,17046,30286,13240,6291,5354,2803,66
0.0,4,0.7502568493150685,0.2408492756828486,8712,9784.0,11.1274872336679,11.836349305395908,0.4404742356070807,36172,17037,30449,13412,5723,5349,2912,64
0.0,5,0.7490582191780822,0.2410178398561748,8714,9813.0,11.107470049330514,11.816217825712963,0.43664394891814995,36155,17028,30226,13198,5929,5343,2905,66
0.0,6,0.7468321917808219,0.2365104479240548,8670,9758.0,11.139982295662437,11.840126736856002,0.4407406185022608,36658,16945,30299,13354,6359,5271,2942,62
0.0,7,0.7517123287671232,0.23652597402597403,8742,9836.0,11.169687371693355,11.852887319338173,0.4425152050225623,36960,17049,30582,13533,6378,5375,2869,63
0.0,8,0.7486301369863013,0.23827407549549057,8692,9774.0,11.170786384284114,11.868313570487484,0.44166666666666665,36479,16951,30360,13409,6119,5264,2922,73
0.0,9,0.7473458904109589,0.23797378092260435,8677,9766.0,11.146837526451916,11.845717115035484,0.43845519062551574,36462,17012,30295,13283,6167,5339,2930,66
0.0,10,0.7549657534246575,0.24069913977316312,8786,9865.0,11.15226603884638,11.850324450739484,0.4403636483415132,36502,16990,30359,13369,6143,5305,2834,65
0.0,11,0.7524828767123287,0.24017731765742448,8723,9817.0,11.147233841984328,11.847265766806377,0.4398534701825022,36319,16973,30301,13328,6018,5301,2884,65
0.0,12,0.7551369863013698,0.23985895473431007,8775,9864.0,11.118802619270346,11.831729195311988,0.44005761801872584,36584,17104,30546,13442,6038,5431,2825,73
0.0,13,0.7513698630136987,0.24046210975106588,8742,9804.0,11.107906484962406,11.829143909982234,0.43988945186549977,36355,17024,30394,13370,5961,5334,2873,75
