class1_xi_high,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
0.0,1,1,18446,11801,6645,18446,0,5912,0,5888,8.34454707228201,9.323105280277566,0.3192019950124688,0.5041095890410959,0.3602407025913477,98474.0,171974.0
0.0,1,2,18270,11694,6576,18270,0,5903,954,4836,8.402086540106037,9.354460864805693,0.26469622331691295,0.41404109589041094,0.35993431855500824,98254.0,170906.0
0.0,2,1,18207,11790,6417,18207,0,5923,0,5865,8.43952502120441,9.388367111550503,0.32212885154061627,0.5021404109589042,0.3524468610973801,99502.0,170934.0
0.0,2,2,18209,11784,6425,18209,0,5979,957,4843,8.407926001357774,9.376077763743204,0.2659673787687407,0.4146404109589041,0.352847492997968,99079.0,170729.0
0.0,3,1,18242,11798,6444,18242,0,5986,0,5800,8.36963892185116,9.324909549391514,0.3179475934656288,0.4965753424657534,0.35325074005043305,98745.0,170105.0
0.0,3,2,18150,11683,6467,18150,0,5800,902,4977,8.341265086022426,9.312231404958677,0.27421487603305783,0.42611301369863014,0.3563085399449036,97451.0,169017.0
0.0,4,1,18258,11638,6620,18258,0,5916,0,5719,8.375837772813199,9.352831635447474,0.31323255559206925,0.4896404109589041,0.36258078650454595,97478.0,170764.0
0.0,4,2,18519,11945,6574,18519,0,5997,981,4962,8.409543742151527,9.357146714185431,0.26794103353312815,0.42482876712328765,0.3549867703439711,100452.0,173285.0
0.0,5,1,17997,11646,6351,17997,0,5798,0,5842,8.2136355830328,9.16008223592821,0.32460965716508305,0.5001712328767123,0.3528921486914486,95656.0,164854.0
0.0,5,2,18270,11761,6509,18270,0,5925,947,4885,8.290026358302866,9.229666119321292,0.2673782156540777,0.418236301369863,0.3562671045429666,97499.0,168626.0
0.0,6,1,18243,11797,6446,18243,0,5887,0,5903,8.381961515639569,9.336951159348791,0.32357616620073454,0.5053938356164384,0.35334100750972974,98882.0,170334.0
0.0,6,2,18108,11763,6345,18108,0,5976,882,4883,8.37762475558956,9.323282527059863,0.26965981886459023,0.41806506849315067,0.3503976143141153,98546.0,168826.0
0.0,7,1,18204,11758,6446,18204,0,5908,0,5840,8.407637353291376,9.360195561415074,0.32080861349154033,0.5,0.3540980004394639,98857.0,170393.0
0.0,7,2,18177,11719,6458,18177,0,5885,940,4885,8.409164604488437,9.363096220498432,0.26874621774770313,0.418236301369863,0.35528415029982946,98547.0,170193.0
0.0,8,1,18210,11609,6601,18210,0,5780,0,5817,8.321819278146267,9.288248215266337,0.3194398682042834,0.49803082191780823,0.3624931356397584,96608.0,169139.0
0.0,8,2,18108,11597,6511,18108,0,5735,937,4915,8.334138139173925,9.293903247183565,0.2714269935939916,0.4208047945205479,0.3595648332228849,96651.0,168294.0
0.0,9,1,18127,11716,6411,18127,0,5901,0,5810,8.29540798907477,9.22949191813317,0.32051635681579965,0.4974315068493151,0.353671319026866,97189.0,167303.0
0.0,9,2,18497,11901,6596,18497,0,6022,963,4909,8.258465675153348,9.214683462183057,0.2653943882791804,0.42029109589041097,0.35659836730280586,98284.0,170444.0
0.0,10,1,18264,11764,6500,18264,0,6017,0,5743,8.37529751785107,9.320575996495839,0.3144437144108629,0.49169520547945206,0.3558913710030661,98527.0,170231.0
0.0,10,2,18216,11642,6574,18216,0,5726,913,5002,8.245060986084866,9.247310057092665,0.2745937637241985,0.42825342465753424,0.3608915239350022,95989.0,168449.0
0.0,11,1,18545,11901,6644,18545,0,6001,0,5895,8.532224182841778,9.509086007009977,0.3178754381234834,0.504708904109589,0.3582636829334052,101542.0,176346.0
0.0,11,2,18217,11614,6603,18217,0,5843,933,4830,8.503444119166524,9.495087006642148,0.265136959982434,0.413527397260274,0.3624636328703958,98759.0,172972.0
0.0,12,1,18028,11616,6412,18028,0,5818,0,5798,8.360020661157025,9.320002218770801,0.3216108276015088,0.4964041095890411,0.35566895939649434,97110.0,168021.0
0.0,12,2,18202,11790,6412,18202,0,5930,890,4968,8.340542832909245,9.295462037138776,0.2729370398857268,0.42534246575342466,0.352268981430612,98335.0,169196.0
