config,label,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked,class_1_served_rate,class_2_served_rate,access_gap
sym,Symmetric baseline,1,0.920821917808218,0.7757009345794392,6806,8386.0,10.366834760173566,10.360724868930932,0.02815135627991794,8774,8527,8774,247,0,1150,571,0,0.775198297543045,0.7764216366158114,-0.001223339072766394
sym,Symmetric baseline,2,0.9220547945205458,0.7798038084246971,6757,8377.0,10.39485285356845,10.389728793998845,0.03139065204847086,8665,8393,8665,272,0,1061,575,0,0.7810276679841898,0.7780859916782247,0.0029416763059650908
sym,Symmetric baseline,3,0.9160273972602718,0.7842525147415886,6783,8319.0,9.134082217973232,9.135738235634177,0.03248930512197942,8649,8368,8649,281,0,967,618,0,0.7823946435604568,0.7868944273312798,-0.0044997837708229405
sym,Symmetric baseline,4,0.91780821917808,0.7710884353741496,6801,8358.0,11.113845794937594,11.113718820861678,0.02800453514739229,8820,8573,8820,247,0,1169,603,0,0.7704500978473581,0.7719676549865229,-0.0015175571391647935
sym,Symmetric baseline,5,0.9165753424657515,0.7745981073993843,6794,8339.0,10.314775663612872,10.32242617717478,0.029301105917227226,8771,8514,8771,257,0,1102,618,0,0.778101905873201,0.7696335078534031,0.00846839801979793
sym,Symmetric baseline,6,0.9216438356164369,0.7861117551588221,6781,8374.0,9.660933954377164,9.660329237189892,0.029329932761418966,8626,8373,8626,253,0,1011,581,0,0.7838055053244927,0.7892573307755549,-0.005451825451062264
sym,Symmetric baseline,7,0.9252054794520524,0.7847430283475455,6810,8423.0,10.23226571767497,10.234961972804793,0.028578013367135283,8678,8430,8678,248,0,1071,549,0,0.7880924402663533,0.7799552071668533,0.008137233099499985
sym,Symmetric baseline,8,0.9228767123287649,0.7762619372442019,6828,8395.0,10.739948271808135,10.7399954524784,0.032969531605275125,8796,8506,8796,290,0,1106,572,0,0.7786820166732831,0.7730175625332624,0.005664454140020703
sym,Symmetric baseline,9,0.9183561643835599,0.7710253783999089,6775,8348.0,10.515361163227016,10.513258222373961,0.029475361329236373,8787,8528,8787,259,0,1150,603,0,0.7709551656920078,0.771123872026251,-0.00016870633424315162
sym,Symmetric baseline,10,0.9199999999999978,0.771838034576888,6786,8376.0,10.632875747976065,10.617834394904458,0.03059599636032757,8792,8523,8792,269,0,1147,590,0,0.7769276044732195,0.7648173207036536,0.01211028376956591
sym,Symmetric baseline,11,0.9208219178082168,0.7775382870107771,6854,8380.0,10.37194908326521,10.377538287010777,0.028587634713556437,8815,8563,8815,252,0,1126,583,0,0.7748099044648079,0.781334780249593,-0.006524875784785111
sym,Symmetric baseline,12,0.9246575342465733,0.7775370581527936,6819,8394.0,10.619882352941177,10.615507411630558,0.03078677309007982,8770,8500,8770,270,0,1122,559,0,0.7809712586719524,0.7728859060402684,0.008085352631683973
sym,Symmetric baseline,13,0.9187671232876686,0.7779958439159548,6739,8353.0,10.180791631998098,10.178018933271762,0.028746247979681366,8662,8413,8662,249,0,1085,589,0,0.7794377825830549,0.7759440559440559,0.0034937266389989396
sym,Symmetric baseline,14,0.9173972602739702,0.7741715066621114,6798,8340.0,10.605797441614834,10.60938389705045,0.02960938389705045,8781,8521,8781,260,0,1118,605,0,0.7686596326690114,0.7818727818727819,-0.01321314920377048
sym,Symmetric baseline,15,0.9275342465753407,0.7822145725760183,6817,8429.0,10.047986696757334,10.04578313253012,0.033964429145152034,8715,8419,8715,296,0,1067,535,0,0.7835256665340231,0.7804283003523991,0.0030973661816240394
sym,Symmetric baseline,16,0.9189041095890395,0.7843951985226223,6796,8356.0,9.611223638746575,9.615535549399816,0.031278855032317636,8664,8393,8664,271,0,991,606,0,0.7833100975901215,0.7858907493823771,-0.0025806517922556393
sym,Symmetric baseline,17,0.9194520547945181,0.7642303805995284,6807,8373.0,11.547886508396063,11.553609520601773,0.03053777927472774,8907,8635,8907,272,0,1237,591,0,0.7591269074753718,0.7713136729222521,-0.012186765446880243
sym,Symmetric baseline,18,0.9145205479452041,0.7754022988505748,6746,8337.0,9.640843402037431,9.636091954022989,0.029655172413793104,8700,8442,8700,258,0,1073,623,0,0.7779299549990217,0.7718027305656172,0.006127224433404521
sym,Symmetric baseline,19,0.9199999999999982,0.7845959014506102,6815,8357.0,9.637095819021674,9.631475938291503,0.02797605341929542,8686,8443,8686,243,0,1032,596,0,0.7839968466692945,0.785437430786268,-0.0014405841169735645
sym,Symmetric baseline,20,0.9212328767123273,0.7721476131362148,6842,8334.0,10.147945524385985,10.142873264868525,0.030470601512244667,8861,8591,8861,270,0,1155,594,0,0.7711124053581829,0.7735849056603774,-0.0024725003021944802
sym,Symmetric baseline,21,0.9189041095890395,0.7840288271533186,6745,8364.0,9.409619767302386,9.4090433569685,0.030919446704637917,8603,8337,8603,266,0,996,596,0,0.7806721018095049,0.7887520984890879,-0.008079996679583035
sym,Symmetric baseline,22,0.9194520547945191,0.771671388101983,6810,8356.0,10.740901111761264,10.743342776203965,0.03172804532577904,8825,8545,8825,280,0,1147,588,0,0.7701923076923077,0.7737931034482759,-0.003600795755968167
sym,Symmetric baseline,23,0.9254794520547921,0.7693084867534801,6853,8416.0,11.185855072463768,11.185675797036371,0.031769196228109566,8908,8625,8908,283,0,1218,554,0,0.7604306864064603,0.7817642298354465,-0.02133354342898619
sym,Symmetric baseline,24,0.9199999999999982,0.7875866933113906,6700,8363.0,9.11756838905775,9.11896085576584,0.03314917127071823,8507,8225,8507,282,0,931,594,0,0.788961038961039,0.7856943280245878,0.003266710936451145
sym,Symmetric baseline,25,0.9256164383561626,0.7807057745187901,6814,8382.0,9.695482034863039,9.685036663611365,0.033799266727772684,8728,8433,8728,295,0,1064,555,0,0.7833103719740209,0.7770770496298327,0.0062333223441881636
sym,Symmetric baseline,26,0.9169863013698613,0.7699589416058394,6751,8341.0,9.904683260587472,9.914005474452555,0.03318886861313869,8768,8477,8768,291,0,1107,619,0,0.770559371933268,0.7691260549959161,0.001433316937351825
sym,Symmetric baseline,27,0.9213698630136965,0.7765401227551716,6832,8386.0,9.93838028169014,9.940554671516253,0.031598090475107976,8798,8520,8798,278,0,1108,580,0,0.7727360868722125,0.7819280417467729,-0.00919195487456037
sym,Symmetric baseline,28,0.9172602739726006,0.7665725578769057,6788,8361.0,10.835429769392034,10.844381705251271,0.030378317334839075,8855,8586,8855,269,0,1180,618,0,0.7656733746130031,0.7678329264985083,-0.0021595518855052065
sym,Symmetric baseline,29,0.9152054794520534,0.7701856280605853,6763,8331.0,10.053405481708035,10.045666780548913,0.031887028812208174,8781,8501,8781,280,0,1114,624,0,0.7725694444444444,0.7667500695023631,0.00581937494208129
sym,Symmetric baseline,30,0.9238356164383538,0.7840462427745665,6782,8386.0,9.945424213536702,9.951329479768786,0.02982658959537572,8650,8392,8650,258,0,1043,567,0,0.7870145631067961,0.7800863464651916,0.006928216641604479
+cancel,+Cancellation gap,1,0.9258904109589026,0.7832191780821918,6861,8405.0,10.612059828053233,10.615639269406392,0.030707762557077627,8760,8491,8760,269,0,1074,556,0,0.8103213242453748,0.7448275862068966,0.06549373803847824
+cancel,+Cancellation gap,2,0.9202739726027374,0.7830123796423659,6831,8360.0,10.723102388271458,10.721801925722145,0.03049060064190738,8724,8458,8724,266,0,1038,589,0,0.811698717948718,0.7446409431939979,0.06705777475472008
+cancel,+Cancellation gap,3,0.9226027397260258,0.780915508995673,6858,8384.0,10.882974973563623,10.890799362332043,0.03085857435663858,8782,8511,8782,271,0,1074,579,0,0.8050144648023144,0.746177370030581,0.05883709477173338
+cancel,+Cancellation gap,4,0.9204109589041077,0.7810637322329207,6814,8356.0,10.76929440964425,10.755845942228335,0.030146721687299403,8724,8461,8724,263,0,1054,593,0,0.8141278610891871,0.7352297592997812,0.07889810178940593
+cancel,+Cancellation gap,5,0.9204109589041072,0.7797210791037952,6821,8368.0,10.38608716192276,10.379058070416095,0.032121627800640144,8748,8467,8748,281,0,1048,598,0,0.8079561042524005,0.7401920438957476,0.06776406035665294
