config,label,metric,mean,std,se,ci95,n
sym,Symmetric baseline,average_utilization,0.9202922374429204,0.003296463863022136,0.000601849205925948,0.001179624443614858,30
sym,Symmetric baseline,overall_percent_serviced,0.7768752419345286,0.006335302291797051,0.001156662657943807,0.002267058809569862,30
sym,Symmetric baseline,class_1_served_rate,0.7766878383355167,0.007669991509387487,0.0014003424551882078,0.0027446712121688877,30
sym,Symmetric baseline,class_2_served_rate,0.7771491358027597,0.0068513482987598556,0.0012508793375184723,0.0024517235015362056,30
sym,Symmetric baseline,access_gap,-0.00046129746724280125,0.007506220736289797,0.0013704421396263195,0.002686066593667586,30
+cancel,+Cancellation gap,average_utilization,0.9204748858447468,0.002716894315591023,0.000496034767668921,0.0009722281446310851,30
+cancel,+Cancellation gap,overall_percent_serviced,0.7785164711700884,0.006878146369923536,0.0012557719735431312,0.002461313068144537,30
+cancel,+Cancellation gap,class_1_served_rate,0.8090721797546556,0.007013273441664906,0.0012804426886505868,0.00250966766975515,30
+cancel,+Cancellation gap,class_2_served_rate,0.735819164951668,0.011417519065265487,0.0020845442475970685,0.004085706725290254,30
+cancel,+Cancellation gap,access_gap,0.07325301480298749,0.012257895270580984,0.002237975249077699,0.00438643148819229,30
+balk,+Balking gap,average_utilization,0.9211506849315046,0.0031882706070480164,0.0005820959103036294,0.0011409079841951135,30
+balk,+Balking gap,overall_percent_serviced,0.7738653043640077,0.00854900656530846,0.0015608279133597352,0.0030592227101850803,30
+balk,+Balking gap,class_1_served_rate,0.7818449477554386,0.008061943365358707,0.0014719027461786922,0.0028849293825102366,30
+balk,+Balking gap,class_2_served_rate,0.7627006897119841,0.011149331602940998,0.0020355801400120054,0.003989737074423531,30
+balk,+Balking gap,access_gap,0.019144258043454498,0.008142550497042857,0.001486619527618425,0.002913774274132113,30
+noshow,+No-show gap,average_utilization,0.9310182648401804,0.003743354107468344,0.0006834398284633433,0.001339542063788153,30
+noshow,+No-show gap,overall_percent_serviced,0.7858513756006864,0.008117525308564556,0.0014820505742066305,0.002904819125444996,30
+noshow,+No-show gap,class_1_served_rate,0.8359570537192179,0.00736754770772629,0.001345124024339056,0.0026364430877045494,30
+noshow,+No-show gap,class_2_served_rate,0.7159222960602505,0.011567036242160725,0.0021118422244370727,0.004139210759896662,30
+noshow,+No-show gap,access_gap,0.12003475765896746,0.009413679264956417,0.0017186948275117603,0.0033686418619230506,30
realistic,All gaps (realistic),average_utilization,0.934899543378993,0.0025606782913363065,0.00046751375422622685,0.0009163269582834046,30
realistic,All gaps (realistic),overall_percent_serviced,0.7904279507471105,0.007177126895083427,0.0013103580995047356,0.002568301875029282,30
realistic,All gaps (realistic),class_1_served_rate,0.8792887989262067,0.005592858994154469,0.001021111677348019,0.002001378887602117,30
realistic,All gaps (realistic),class_2_served_rate,0.6664208816362124,0.013599768818270392,0.00248296671954069,0.004866614770299752,30
realistic,All gaps (realistic),access_gap,0.2128679172899944,0.013367602771746579,0.0024405791926180613,0.0047835352175314,30
