lambda_total,noshow_scale,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked,class_1_served_rate,class_2_served_rate,access_gap
12,0.0,1,0.5395890410958901,0.9111727966689799,3939,4908.0,0.0035671819262782403,0.0037011334721258385,0.02729585935692806,4323,4205,4323,118,0,0,266,0,0.9695290858725761,0.829064587973274,0.14046449789930215
12,0.0,2,0.5380821917808221,0.9067405355493998,3928,4903.0,0.0014234875444839859,0.0013850415512465374,0.027008310249307478,4332,4215,4332,117,0,0,287,0,0.9683873549419768,0.8226950354609929,0.14569231948098393
12,0.0,3,0.5382191780821919,0.8978519195612431,3929,4885.0,0.001413094677343382,0.0013711151736745886,0.029707495429616086,4376,4246,4376,130,0,0,317,0,0.9691089108910891,0.8006482982171799,0.16846061267390922
12,0.0,4,0.5358904109589043,0.9110386585933862,3912,4904.0,0.0026372572524574443,0.0025617140195621797,0.02864462040055892,4294,4171,4294,123,0,0,259,0,0.9711576451995259,0.8247305728871243,0.1464270723124016
12,0.0,5,0.5371232876712326,0.9047069681587449,3921,4869.0,0.0,0.0,0.02976465159206276,4334,4205,4334,129,0,0,284,0,0.9716869838773102,0.8096035734226689,0.16208341045464136
12,0.0,6,0.5356164383561642,0.9076137418755803,3910,4885.0,0.0014323227500596801,0.0018570102135561746,0.027623026926648097,4308,4189,4308,119,0,0,279,0,0.974399369830642,0.8117580553985303,0.16264131443211172
12,0.0,7,0.5441095890410962,0.9064354176175262,3972,5002.0,0.0018783752054472881,0.0018256503879507074,0.028069374714742128,4382,4259,4382,123,0,0,287,0,0.9721559268098647,0.8179871520342612,0.15416877477560353
12,0.0,8,0.5568493150684933,0.9079740897922716,4065,5066.0,0.0018475750577367205,0.0020102747375474648,0.03283448737994193,4477,4330,4477,147,0,0,265,0,0.9722846441947566,0.8129496402877698,0.15933500390698674
12,0.0,9,0.5446575342465755,0.9034310384003635,3976,4999.0,0.0014071294559099437,0.0013633265167007499,0.031129288798000455,4401,4264,4401,137,0,0,288,0,0.9718969555035128,0.8080478520935291,0.1638491034099837
12,0.0,10,0.5519178082191779,0.911744738628649,4029,5000.0,0.001389854065323141,0.0015840687938447613,0.02308214528173795,4419,4317,4419,102,0,0,288,0,0.971636642391721,0.825414364640884,0.14622227775083696
12,0.0,11,0.5393150684931506,0.9088180978762697,3937,4884.0,0.0007095553453169347,0.0006925207756232687,0.024007386888273315,4332,4228,4332,104,0,0,291,0,0.9725705329153606,0.8174157303370787,0.15515480257828185
12,0.0,12,0.5482191780821919,0.9015544041450777,4002,4999.0,0.0009280742459396752,0.0009011038522189682,0.029060599234061724,4439,4310,4439,129,0,0,308,0,0.963915547024952,0.8129770992366412,0.15093844778831078
12,0.0,13,0.5426027397260273,0.9051645338208409,3961,4960.0,0.000942507068803016,0.0009140767824497258,0.03016453382084095,4376,4244,4376,132,0,0,283,0,0.9694444444444444,0.8178879310344828,0.15155651340996168
