lambda_total,noshow_scale,lambda_over_s,metric,mean,se,ci95
12,0.0,0.6,average_utilization,0.542392694063927,0.001509334109277335,0.0029582948541835765
12,0.0,0.6,overall_percent_serviced,0.9054170489341956,0.0006549004035854055,0.0012836047910273947
12,0.0,0.6,class_1_served_rate,0.9694265391692239,0.00047524287833885235,0.0009314760415441506
12,0.0,0.6,class_2_served_rate,0.8156753198425452,0.0013835069117689558,0.002711673547067153
12,0.0,0.6,access_gap,0.15375121932667885,0.001486414064921077,0.002913371567245311
12,0.5,0.6,average_utilization,0.542392694063927,0.001509334109277335,0.0029582948541835765
12,0.5,0.6,overall_percent_serviced,0.9054170489341956,0.0006549004035854055,0.0012836047910273947
12,0.5,0.6,class_1_served_rate,0.9694265391692239,0.00047524287833885235,0.0009314760415441506
12,0.5,0.6,class_2_served_rate,0.8156753198425452,0.0013835069117689558,0.002711673547067153
12,0.5,0.6,access_gap,0.15375121932667885,0.001486414064921077,0.002913371567245311
12,1.0,0.6,average_utilization,0.542392694063927,0.001509334109277335,0.0029582948541835765
12,1.0,0.6,overall_percent_serviced,0.9054170489341956,0.0006549004035854055,0.0012836047910273947
12,1.0,0.6,class_1_served_rate,0.9694265391692239,0.00047524287833885235,0.0009314760415441506
12,1.0,0.6,class_2_served_rate,0.8156753198425452,0.0013835069117689558,0.002711673547067153
12,1.0,0.6,access_gap,0.15375121932667885,0.001486414064921077,0.002913371567245311
12,1.5,0.6,average_utilization,0.542392694063927,0.001509334109277335,0.0029582948541835765
12,1.5,0.6,overall_percent_serviced,0.9054170489341956,0.0006549004035854055,0.0012836047910273947
12,1.5,0.6,class_1_served_rate,0.9694265391692239,0.00047524287833885235,0.0009314760415441506
12,1.5,0.6,class_2_served_rate,0.8156753198425452,0.0013835069117689558,0.002711673547067153
12,1.5,0.6,access_gap,0.15375121932667885,0.001486414064921077,0.002913371567245311
12,2.0,0.6,average_utilization,0.542392694063927,0.001509334109277335,0.0029582948541835765
12,2.0,0.6,overall_percent_serviced,0.9054170489341956,0.0006549004035854055,0.0012836047910273947
12,2.0,0.6,class_1_served_rate,0.9694265391692239,0.00047524287833885235,0.0009314760415441506
12,2.0,0.6,class_2_served_rate,0.8156753198425452,0.0013835069117689558,0.002711673547067153
12,2.0,0.6,access_gap,0.15375121932667885,0.001486414064921077,0.002913371567245311
16,0.0,0.8,average_utilization,0.7248493150684929,0.0014855220509736092,0.002911623219908274
16,0.0,0.8,overall_percent_serviced,0.9056894995310281,0.0005677771993604507,0.0011128433107464833
16,0.0,0.8,class_1_served_rate,0.9697749920101281,0.0006063072287475041,0.001188362168345108
16,0.0,0.8,class_2_served_rate,0.816240174524598,0.001275429274534787,0.0024998413780881828
16,0.0,0.8,access_gap,0.15353481748553005,0.00161416011438273,0.003163753824190151
16,0.5,0.8,average_utilization,0.7248493150684929,0.0014855220509736092,0.002911623219908274
16,0.5,0.8,overall_percent_serviced,0.9056894995310281,0.0005677771993604507,0.0011128433107464833
16,0.5,0.8,class_1_served_rate,0.9697749920101281,0.0006063072287475041,0.001188362168345108
16,0.5,0.8,class_2_served_rate,0.816240174524598,0.001275429274534787,0.0024998413780881828
16,0.5,0.8,access_gap,0.15353481748553005,0.00161416011438273,0.003163753824190151
16,1.0,0.8,average_utilization,0.7248493150684929,0.0014855220509736092,0.002911623219908274
16,1.0,0.8,overall_percent_serviced,0.9056894995310281,0.0005677771993604507,0.0011128433107464833
16,1.0,0.8,class_1_served_rate,0.9697749920101281,0.0006063072287475041,0.001188362168345108
16,1.0,0.8,class_2_served_rate,0.816240174524598,0.001275429274534787,0.0024998413780881828
16,1.0,0.8,access_gap,0.15353481748553005,0.00161416011438273,0.003163753824190151
16,1.5,0.8,average_utilization,0.7248493150684929,0.0014855220509736092,0.002911623219908274
16,1.5,0.8,overall_percent_serviced,0.9056894995310281,0.0005677771993604507,0.0011128433107464833
16,1.5,0.8,class_1_served_rate,0.9697749920101281,0.0006063072287475041,0.001188362168345108
16,1.5,0.8,class_2_served_rate,0.816240174524598,0.001275429274534787,0.0024998413780881828
16,1.5,0.8,access_gap,0.15353481748553005,0.00161416011438273,0.003163753824190151
16,2.0,0.8,average_utilization,0.7248493150684929,0.0014855220509736092,0.002911623219908274
