horizon_days,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked,class_1_served_rate,class_2_served_rate,access_gap
7,1,0.9317808219178061,0.7698484505767926,6807,8468.0,5.64746632456703,5.647352024922118,0.02866043613707165,8842,7795,8025,230,817,495,493,0,0.8391716663441068,0.6723809523809524,0.16679071396315437
7,2,0.9295890410958882,0.7720236740268609,6783,8456.0,5.678497942386831,5.679559394166979,0.026661659782200527,8786,7776,7989,213,797,479,514,0,0.8415116739216463,0.6779206859592711,0.16359098796237515
7,3,0.9368493150684901,0.7892861248419358,6866,8505.0,5.551023017902813,5.55077688004972,0.027967681789931635,8699,7820,8045,225,654,488,466,0,0.857088341919481,0.686524002313476,0.17056433960600503
7,4,0.9352054794520515,0.777664050949619,6838,8513.0,5.665211810012837,5.661880384567362,0.02734423773255088,8793,7790,8009,219,784,484,468,0,0.8464763425833499,0.6865750528541226,0.15990128972922735
7,5,0.9291780821917782,0.7658299412030756,6773,8453.0,5.656334059177661,5.6546699875467,0.027770859277708594,8844,7807,8030,223,814,516,518,0,0.8392822313243612,0.6645143933279527,0.1747678379964085
7,6,0.9332876712328735,0.7770424463715199,6810,8502.0,5.650571465262617,5.649718221665623,0.0247964934251722,8764,7787,7985,198,779,487,490,0,0.8446601941747572,0.6806862202545656,0.16397397392019164
7,7,0.9294520547945182,0.7766346593507087,6794,8478.0,5.63450668036999,5.632829103637954,0.026878359794974372,8748,7784,7999,215,749,480,510,0,0.8454134747593793,0.6808859721082855,0.16452750265109384
7,8,0.932328767123285,0.7781210664835794,6800,8479.0,5.659549839228296,5.659537210756723,0.027517198248905566,8739,7775,7995,220,744,480,495,0,0.8484317163452172,0.6780366056572379,0.1703951106879793
7,9,0.9332876712328735,0.7759817871371656,6817,8512.0,5.708707937323401,5.7070039880358925,0.029661016949152543,8785,7786,8024,238,761,483,486,0,0.846616249757611,0.6755788313120177,0.17103741844559328
7,10,0.9369863013698608,0.7810644129739607,6839,8522.0,5.6254494093477145,5.625077901034525,0.02929078898167768,8756,7788,8023,235,733,493,456,0,0.8464818763326226,0.6872393661384487,0.1592425101941739
7,11,0.9369863013698608,0.7745730121027034,6848,8509.0,5.610884006131834,5.608544891640867,0.03058823529411765,8841,7828,8075,247,766,524,456,0,0.8366993652625505,0.685886875343218,0.1508124899193325
7,12,0.9293150684931482,0.7891797556719022,6783,8461.0,5.577145798481534,5.5762160810303865,0.028260597724146554,8595,7771,7997,226,598,476,512,0,0.8638702018203404,0.6825755436317424,0.1812946581885979
7,13,0.9315068493150661,0.7659718309859155,6798,8470.0,5.672510877911441,5.672088403277875,0.029798857710454433,8875,7814,8054,240,821,512,504,0,0.8373140172278778,0.669232811255641,0.16808120597223675
7,14,0.9332876712328754,0.7751735123449767,6813,8489.0,5.644984025559105,5.643760853386256,0.029397171917638302,8789,7825,8062,237,727,524,488,0,0.8498822605965463,0.6720823178987273,0.17779994269781896
7,15,0.9345205479452029,0.7821600550332493,6822,8500.0,5.632180953604935,5.632079009876234,0.02725340667583448,8722,7781,7999,218,723,483,476,0,0.8547191887675507,0.6786310517529215,0.17608813701462922
7,16,0.9289041095890388,0.7693789664551224,6789,8469.0,5.707524115755627,5.707509386733417,0.02690863579474343,8824,7775,7990,215,834,467,519,0,0.8359175662414131,0.6784660766961652,0.1574514895452479
7,17,0.9369863013698607,0.7923478260869565,6834,8507.0,5.568473792394656,5.565737051792829,0.030876494023904383,8625,7784,8032,248,593,488,462,0,0.8596005536879573,0.6970291479820628,0.16257140570589446
