horizon_days,metric,mean,std,se,ci95,n
7,average_utilization,0.9333424657534224,0.0027346670344459423,0.0004992796073439332,0.0009785880303941092,30
7,overall_percent_serviced,0.7786953553520836,0.008769743346773622,0.0016011287515195877,0.0031382123529783918,30
7,class_1_served_rate,0.8480686685294827,0.009948994112090489,0.0018164294998926807,0.003560201819789654,30
7,class_2_served_rate,0.681055254188458,0.008730327742994178,0.0015939324797503585,0.0031241076603107025,30
7,access_gap,0.16701341434102498,0.008366101233997413,0.0015274341214107296,0.00299377087796503,30
7,mean_offered_booking_delay,5.628648873563717,0.051477431616150406,0.009398450166198398,0.01842096232574886,30
14,average_utilization,0.9356529680365271,0.0024554799187114515,0.0004483072469930712,0.0008786822041064195,30
14,overall_percent_serviced,0.7884542545809319,0.007437648540179772,0.00135792262675061,0.0026615283484311956,30
14,class_1_served_rate,0.8730829218529356,0.008032827906008665,0.0014665870148926447,0.0028745105491895834,30
14,class_2_served_rate,0.6697827214087175,0.010257104279458565,0.0018726824628474098,0.0036704576271809233,30
14,access_gap,0.20330020044421795,0.009575943230822887,0.0017483200389701982,0.0034267072763815884,30
14,mean_offered_booking_delay,10.554883725329194,0.3780928077985514,0.0690299865539106,0.13529877364566478,30
21,average_utilization,0.934899543378993,0.0025606782913363065,0.00046751375422622685,0.0009163269582834046,30
21,overall_percent_serviced,0.7904279507471105,0.007177126895083427,0.0013103580995047356,0.0025683018750292815,30
21,class_1_served_rate,0.8792887989262067,0.005592858994154469,0.001021111677348019,0.002001378887602117,30
21,class_2_served_rate,0.6664208816362124,0.013599768818270392,0.00248296671954069,0.004866614770299753,30
21,access_gap,0.2128679172899944,0.013367602771746579,0.0024405791926180613,0.0047835352175314,30
21,mean_offered_booking_delay,10.751963750312848,0.5748012471404116,0.10494386971363509,0.2056899846387248,30
28,average_utilization,0.934899543378993,0.0025606782913363065,0.00046751375422622685,0.0009163269582834046,30
28,overall_percent_serviced,0.7904279507471105,0.007177126895083427,0.0013103580995047356,0.0025683018750292815,30
28,class_1_served_rate,0.8792887989262067,0.005592858994154469,0.001021111677348019,0.002001378887602117,30
28,class_2_served_rate,0.6664208816362124,0.013599768818270392,0.00248296671954069,0.004866614770299753,30
28,access_gap,0.2128679172899944,0.013367602771746579,0.0024405791926180613,0.0047835352175314,30
28,mean_offered_booking_delay,10.751963750312848,0.5748012471404116,0.10494386971363509,0.2056899846387248,30
42,average_utilization,0.934899543378993,0.0025606782913363065,0.00046751375422622685,0.0009163269582834046,30
42,overall_percent_serviced,0.7904279507471105,0.007177126895083427,0.0013103580995047356,0.0025683018750292815,30
42,class_1_served_rate,0.8792887989262067,0.005592858994154469,0.001021111677348019,0.002001378887602117,30
42,class_2_served_rate,0.6664208816362124,0.013599768818270392,0.00248296671954069,0.004866614770299753,30
42,access_gap,0.2128679172899944,0.013367602771746579,0.0024405791926180613,0.0047835352175314,30
42,mean_offered_booking_delay,10.751963750312848,0.5748012471404116,0.10494386971363509,0.2056899846387248,30
