class_1_share,lambda_1,lambda_2,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked,class_1_served_rate,class_2_served_rate,access_gap
0.3,7.199999999999999,16.799999999999997,1,0.9167123287671216,0.7671560259474224,6741,8352.0,10.659376837154616,10.66279731421418,0.03209286445885968,8787,8505,8787,282,0,1159,605,0,0.7763761467889908,0.7632474477394263,0.013128699049564485
0.3,7.199999999999999,16.799999999999997,2,0.918767123287669,0.7558659217877095,6765,8353.0,12.158967860845525,12.165810055865922,0.03005586592178771,8950,8681,8950,269,0,1312,604,0,0.753068055039048,0.7570675610924772,-0.003999506053429247
0.3,7.199999999999999,16.799999999999997,3,0.9195890410958883,0.7830318296313259,6839,8353.0,9.651332861523944,9.651247996336158,0.029310739638195558,8734,8478,8734,256,0,1042,597,0,0.7858796296296297,0.7818300227938783,0.004049606835751396
0.3,7.199999999999999,16.799999999999997,4,0.9215068493150663,0.7728506787330317,6832,8398.0,11.473053195204283,11.472058823529412,0.02816742081447964,8840,8591,8840,249,0,1187,572,0,0.7800445103857567,0.7696940104166666,0.010350499969090099
0.3,7.199999999999999,16.799999999999997,5,0.923150684931504,0.7815765561108587,6881,8388.0,9.742816934443532,9.739777373920946,0.03146297137664698,8804,8527,8804,277,0,1078,568,0,0.7747440273037542,0.7844981352359331,-0.009754107932178901
0.3,7.199999999999999,16.799999999999997,6,0.9168493150684913,0.7757492249397175,6756,8345.0,10.364991129509166,10.364220920886439,0.029165231369847285,8709,8455,8709,254,0,1079,620,0,0.773467804499612,0.7767085304191812,-0.003240725919569143
0.3,7.199999999999999,16.799999999999997,7,0.9213698630136969,0.785499884553221,6804,8387.0,9.655382047919895,9.648926344954976,0.031516970676518125,8662,8389,8662,273,0,994,591,0,0.7973856209150327,0.7803992740471869,0.016986346867845836
0.3,7.199999999999999,16.799999999999997,8,0.9175342465753407,0.7793614595210946,6835,8378.0,10.402723963837031,10.400798175598633,0.028848346636259976,8770,8517,8770,253,0,1073,609,0,0.7797373358348968,0.7791973791973792,0.0005399566375176024
0.3,7.199999999999999,16.799999999999997,9,0.9189041095890395,0.7839032333100721,6740,8376.0,9.40968899521531,9.405908350779251,0.027680856013026285,8598,8360,8598,238,0,1025,595,0,0.791699604743083,0.7806526038233356,0.011047000919747418
0.3,7.199999999999999,16.799999999999997,10,0.9228767123287647,0.7732770424463715,6777,8407.0,10.769575471698113,10.796439981743497,0.03240529438612506,8764,8480,8764,284,0,1137,566,0,0.7708492731446059,0.7743089430894309,-0.003459669944824939
0.3,7.199999999999999,16.799999999999997,11,0.9187671232876694,0.7787307032590052,6810,8373.0,10.229188806234502,10.227558604917096,0.03156089193825043,8745,8469,8745,276,0,1062,597,0,0.7792060491493383,0.7785245901639344,0.0006814589854039488
0.3,7.199999999999999,16.799999999999997,12,0.9227397260273957,0.7794452023647113,6856,8395.0,10.422558330402158,10.426330150068212,0.030354706684856753,8796,8529,8796,267,0,1099,574,0,0.7600760456273764,0.7877067791112553,-0.0276307334838789
0.3,7.199999999999999,16.799999999999997,13,0.9238356164383548,0.8000235960358659,6781,8393.0,8.518126520681266,8.514747522416235,0.030202925908447382,8476,8220,8476,256,0,881,558,0,0.8065908199293841,0.7971992576345537,0.009391562294830402
0.3,7.199999999999999,16.799999999999997,14,0.9157534246575324,0.7782727895819054,6813,8336.0,10.286470588235295,10.286840301576422,0.02901530728809687,8754,8500,8754,254,0,1059,628,0,0.78,0.7775430614234644,0.0024569385765356166
0.3,7.199999999999999,16.799999999999997,15,0.9194520547945181,0.768140589569161,6775,8348.0,11.133053221288515,11.1297052154195,0.02857142857142857,8820,8568,8820,252,0,1191,602,0,0.772930648769575,0.7660475724991854,0.006883076270389532
0.3,7.199999999999999,16.799999999999997,16,0.9226027397260249,0.7723076923076924,6777,8385.0,10.847204237786933,10.848091168091168,0.03190883190883191,8775,8495,8775,280,0,1139,579,0,0.782839787395596,0.7677902621722846,0.015049525223311377
0.3,7.199999999999999,16.799999999999997,17,0.9121917808219161,0.7755645628257093,6697,8328.0,9.662091191215087,9.66601042269832,0.029762594093804284,8635,8378,8635,257,0,1044,637,0,0.7723112128146453,0.7769832030600365,-0.004671990245391222
0.3,7.199999999999999,16.799999999999997,18,0.9190410958904087,0.7665501296943724,6797,8370.0,10.77628817906272,10.770497349723694,0.03259275967068907,8867,8578,8867,289,0,1194,587,0,0.7665651180502666,0.7665438231052716,2.1294944995031706e-05
0.3,7.199999999999999,16.799999999999997,19,0.9213698630136962,0.7878333140944246,6825,8371.0,9.425987624940504,9.426757474316057,0.029897264227173034,8663,8404,8663,259,0,1001,578,0,0.794263862332696,0.78505291005291,0.009210952279785967
0.3,7.199999999999999,16.799999999999997,20,0.9223287671232854,0.7712994350282486,6826,8382.0,10.383515461520577,10.386892655367232,0.0280225988700565,8850,8602,8850,248,0,1202,574,0,0.7751996957017877,0.7696511814820768,0.0055485142197109205
0.3,7.199999999999999,16.799999999999997,21,0.9201369863013681,0.7712522851919561,6750,8371.0,10.550711011869785,10.549702925045704,0.02776508226691042,8752,8509,8752,243,0,1172,587,0,0.7725047080979285,0.7707069050352633,0.001797803062665193
0.3,7.199999999999999,16.799999999999997,22,0.9228767123287661,0.7791823254754584,6842,8387.0,10.455187014820043,10.458034392438218,0.03177314656645029,8781,8502,8781,279,0,1097,563,0,0.7806621519939805,0.7785399314061734,0.0021222205878070888
0.3,7.199999999999999,16.799999999999997,23,0.9283561643835587,0.792572882924572,6851,8435.0,9.67786114088365,9.677232762609902,0.02857473391948172,8644,8397,8644,247,0,1016,530,0,0.7987567987567987,0.7899505766062603,0.00880622215053839
0.3,7.199999999999999,16.799999999999997,24,0.9215068493150659,0.7691785471826205,6798,8373.0,10.963990210931128,10.96877121520706,0.02907897714415026,8838,8581,8838,257,0,1193,590,0,0.7714821763602251,0.7681840272152924,0.0032981491449326494
0.3,7.199999999999999,16.799999999999997,25,0.915753424657532,0.7753930907838862,6756,8339.0,9.916084743756658,9.918512567427982,0.030299552392976013,8713,8449,8713,264,0,1067,626,0,0.7738048970073844,0.7760586319218241,-0.002253734914439698
0.3,7.199999999999999,16.799999999999997,26,0.9142465753424639,0.777932474765054,6705,8305.0,9.460463449593885,9.46722357582086,0.02865761689291101,8619,8372,8619,247,0,1036,631,0,0.7736499425507468,0.7797936085219707,-0.006143665971223844
0.3,7.199999999999999,16.799999999999997,27,0.9209589041095861,0.7908375751966682,6836,8354.0,8.989039790326423,8.978944932901435,0.02892179546506247,8644,8394,8644,250,0,971,587,0,0.7984761904761905,0.7875062302708091,0.010969960205381324
0.3,7.199999999999999,16.799999999999997,28,0.9223287671232862,0.7919095360223828,6793,8394.0,9.03332531280077,9.030892982047098,0.031009559337840987,8578,8312,8578,266,0,940,579,0,0.7904397705544933,0.7925540835150092,-0.002114312960515896
0.3,7.199999999999999,16.799999999999997,29,0.9215068493150663,0.7825534373194685,6773,8379.0,9.706162265048775,9.703523974581167,0.028769497400346622,8655,8406,8655,249,0,1049,584,0,0.7726550079491256,0.786610197100505,-0.013955189151379388
0.3,7.199999999999999,16.799999999999997,30,0.9217808219178063,0.7688909029115215,6787,8382.0,11.137330528284245,11.139458479664665,0.030701257505381215,8827,8556,8827,271,0,1198,571,0,0.7679578789018427,0.7692931258106356,-0.001335246908792831
0.4,9.600000000000001,14.399999999999999,1,0.9280821917808194,0.7824396936092375,6844,8441.0,10.226796847429714,10.224877100720247,0.028123928203955643,8747,8501,8747,246,0,1117,540,0,0.7725980670835703,0.7890610059284758,-0.016462938844905572
0.4,9.600000000000001,14.399999999999999,2,0.9172602739726008,0.7701228614077391,6707,8354.0,11.059156925256818,11.06751636238374,0.027557698932139166,8709,8469,8709,240,0,1160,602,0,0.7665236051502146,0.7725354813962408,-0.006011876246026282
0.4,9.600000000000001,14.399999999999999,3,0.9154794520547934,0.7798706456371269,6873,8309.0,9.820095917651187,9.818223079541585,0.0299557471916487,8813,8549,8813,264,0,1051,625,0,0.7943342776203967,0.7702063221654363,0.02412795545496038
0.4,9.600000000000001,14.399999999999999,4,0.9179452054794502,0.7785364743370888,6841,8363.0,10.062338577130783,10.060543985433027,0.030613406168203027,8787,8518,8787,269,0,1064,613,0,0.7801624129930395,0.7774864206780296,0.002675992315009812
0.4,9.600000000000001,14.399999999999999,5,0.9201369863013684,0.7805185865075723,6803,8381.0,9.873518255097203,9.871385956860946,0.03212482790270767,8716,8436,8716,280,0,1046,587,0,0.780466472303207,0.7805524025728339,-8.593026962688821e-05
0.4,9.600000000000001,14.399999999999999,6,0.923287671232875,0.7773755656108597,6872,8425.0,10.856112597417704,10.857805429864253,0.02748868778280543,8840,8597,8840,243,0,1153,572,0,0.7807593491293178,0.7751545812254075,0.0056047679039102904
0.4,9.600000000000001,14.399999999999999,7,0.9212328767123257,0.7715747583854463,6786,8374.0,10.953736237994846,10.944400227401934,0.02922114837976123,8795,8538,8795,257,0,1162,590,0,0.7653061224489796,0.7757736852097968,-0.010467562760817284
0.4,9.600000000000001,14.399999999999999,8,0.9180821917808198,0.7844429033749422,6787,8366.0,9.957644259369422,9.959546925566343,0.028548312528895052,8652,8405,8652,247,0,1016,602,0,0.7816436712657469,0.7861978187288454,-0.004554147463098568
0.4,9.600000000000001,14.399999999999999,9,0.921232876712327,0.7641117719672315,6809,8413.0,11.461129106894957,11.457748849736282,0.029962967119290765,8911,8644,8911,267,0,1260,575,0,0.7727019498607243,0.7583161059951137,0.014385843865610592
0.4,9.600000000000001,14.399999999999999,10,0.919863013698628,0.770293218612023,6804,8362.0,10.664602803738317,10.666138344843201,0.03090682667270463,8833,8560,8833,273,0,1169,587,0,0.7694669271560145,0.7708571428571429,-0.0013902157011284055
0.4,9.600000000000001,14.399999999999999,11,0.9154794520547923,0.7675418741511997,6782,8327.0,10.865079365079366,10.851177003168855,0.030330466274332276,8836,8568,8836,268,0,1158,628,0,0.767566048341765,0.7675255778704054,4.0470471359577154e-05
0.4,9.600000000000001,14.399999999999999,12,0.9168493150684913,0.7718880960471175,6815,8338.0,10.634937360964758,10.630422471401065,0.0326197757390418,8829,8541,8829,288,0,1106,620,0,0.7712418300653595,0.772316384180791,-0.0010745541154314475
0.4,9.600000000000001,14.399999999999999,13,0.9239726027397245,0.7930157261794635,6858,8397.0,9.04281965648855,9.043015726179464,0.030527289546716005,8648,8384,8648,264,0,970,556,0,0.7918226317304924,0.793816425120773,-0.001993793390280607
0.4,9.600000000000001,14.399999999999999,14,0.9190410958904089,0.7818537258509659,6799,8371.0,10.053175074183976,10.05186292548298,0.031163753449862004,8696,8425,8696,271,0,1024,602,0,0.7843919111364284,0.7801350048216008,0.004256906314827558
0.4,9.600000000000001,14.399999999999999,15,0.9175342465753402,0.7674259681093394,6738,8369.0,11.080960749853544,11.077334851936218,0.027904328018223234,8780,8535,8780,245,0,1177,620,0,0.7660602615122228,0.7683390345876093,-0.0022787730753864865
0.4,9.600000000000001,14.399999999999999,16,0.9167123287671215,0.750883782589483,6797,8351.0,12.221206581352833,12.236190897039329,0.03314184710561202,9052,8752,9052,300,0,1339,616,0,0.7385129490392648,0.7590184947811756,-0.02050554574191077
0.4,9.600000000000001,14.399999999999999,17,0.9195890410958887,0.7768951429868362,6846,8386.0,10.381680280046675,10.384135270086245,0.02746255106672719,8812,8570,8812,242,0,1122,602,0,0.7718446601941747,0.7802259887005649,-0.008381328506390173
0.4,9.600000000000001,14.399999999999999,18,0.9115068493150658,0.7710237659963437,6748,8317.0,9.926422190879173,9.927787934186473,0.027879341864716637,8752,8508,8752,244,0,1104,656,0,0.7791798107255521,0.765622032288699,0.01355777843685313
0.4,9.600000000000001,14.399999999999999,19,0.9193150684931487,0.791545697363837,6816,8361.0,9.004417382999044,9.001393566368598,0.027290674718383465,8611,8376,8611,235,0,961,599,0,0.7948645598194131,0.7892243931320307,0.00564016668738232
0.4,9.600000000000001,14.399999999999999,20,0.9190410958904089,0.7659670503272399,6788,8318.0,10.519757547499708,10.520085759422253,0.031934100654479804,8862,8579,8862,283,0,1190,601,0,0.7659513590844063,0.7659772684926403,-2.5909408233992792e-05
0.4,9.600000000000001,14.399999999999999,21,0.9246575342465728,0.7774316372447213,6738,8397.0,10.2782929148835,10.277143186800508,0.029421945309795777,8667,8412,8667,255,0,1121,553,0,0.7816618911174785,0.7745798725130384,0.007082018604440132
0.4,9.600000000000001,14.399999999999999,22,0.9141095890410941,0.7733759561593789,6774,8311.0,10.554171562867214,10.546523575750657,0.028427902728621987,8759,8510,8759,249,0,1093,643,0,0.7688311688311689,0.7763505855685682,-0.007519416737399309
0.4,9.600000000000001,14.399999999999999,23,0.9221917808219153,0.7847533632286996,6825,8392.0,9.78736991485336,9.79234218696102,0.027710704840749684,8697,8456,8697,241,0,1053,578,0,0.777521613832853,0.7895542376123972,-0.012032623779544172
0.4,9.600000000000001,14.399999999999999,24,0.9169863013698608,0.778094694808899,6820,8350.0,10.123384253819037,10.119794637763833,0.029092983456930975,8765,8510,8765,255,0,1066,624,0,0.7797956867196367,0.7769509635565732,0.0028447231630635006
0.4,9.600000000000001,14.399999999999999,25,0.9163013698630115,0.7693610295777827,6815,8358.0,10.349795680093404,10.340483179047189,0.03307744411831113,8858,8565,8858,293,0,1132,618,0,0.7702857142857142,0.7687569988801791,0.0015287154055351193
0.4,9.600000000000001,14.399999999999999,26,0.9156164383561624,0.7835316071845113,6718,8354.0,8.91471189702875,8.909610450198274,0.030440867739678096,8574,8313,8574,261,0,981,614,0,0.7873156342182891,0.7810570987654321,0.006258535452857039
0.4,9.600000000000001,14.399999999999999,27,0.9217808219178065,0.7856410256410257,6894,8375.0,9.571009389671362,9.57048433048433,0.02905982905982906,8775,8520,8775,255,0,1046,580,0,0.778840579710145,0.7900469483568076,-0.011206368646662579
0.4,9.600000000000001,14.399999999999999,28,0.9208219178082175,0.7762126547767807,6833,8378.0,10.240834016633478,10.242644552993298,0.03021697148699307,8803,8537,8803,266,0,1115,589,0,0.7818538224586951,0.7723623853211009,0.00949143713759415
0.4,9.600000000000001,14.399999999999999,29,0.9232876712328747,0.7744803695150115,6707,8387.0,10.00928019036288,10.002540415704388,0.029445727482678985,8660,8405,8660,255,0,1131,567,0,0.7813394390383515,0.7698412698412699,0.011498169197081576
0.4,9.600000000000001,14.399999999999999,30,0.9183561643835586,0.7657402155416903,6750,8350.0,11.04812521901647,11.051616562677255,0.028814520703346568,8815,8561,8815,254,0,1215,596,0,0.7651493996090477,0.7661444401987008,-0.0009950405896530512
0.5,12.0,12.0,1,0.9195890410958871,0.7687237186043868,6764,8359.0,10.58646175504458,10.58233890214797,0.03125355153994772,8799,8524,8799,275,0,1166,594,0,0.7628584433318161,0.7745743473325766,-0.011715904000760502
0.5,12.0,12.0,2,0.9195890410958885,0.7898103989763872,6790,8393.0,9.743816465527543,9.738629754565546,0.026520879376526696,8597,8369,8597,228,0,993,586,0,0.7935185185185185,0.7860649988309563,0.007453519687562249
0.5,12.0,12.0,3,0.9152054794520532,0.7696789672112418,6737,8324.0,10.227229825389335,10.232263224037473,0.031646292699645834,8753,8476,8753,277,0,1115,624,0,0.7729147571035747,0.7664616085668717,0.0064531485367029795
0.5,12.0,12.0,4,0.9208219178082168,0.7648116919617762,6803,8361.0,11.68098444392849,11.684991568296796,0.03159078133783024,8895,8614,8895,281,0,1223,588,0,0.7609822031989186,0.7686265709156194,-0.0076443677167007396
0.5,12.0,12.0,5,0.9186301369862996,0.7777525022747953,6838,8340.0,10.046904315196999,10.043448589626934,0.03002729754322111,8792,8528,8792,264,0,1096,594,0,0.7826285714285715,0.7729227982793752,0.009705773149196295
