seed,step_index,gap_index,within_step,post_gap,class_1_low,class_1_high,class_2_low,class_2_high,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,booked_slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
1,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18279,9079,9200,18279,0,4550,800,3729,8.152880273157837,8.120301985885442,0.20400459543738717,0.319263698630137,0.3877568493150685,0.503309809070518,74020.0,148431.0
1,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18265,13065,5200,18265,0,5917,1013,6135,7.3093761959433605,8.121160689843963,0.33588831097727895,0.5252568493150684,0.611986301369863,0.2846975088967972,95497.0,148333.0
2,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18095,9121,8974,18095,0,4582,819,3715,8.107773270474729,8.112793589389334,0.20530533296490744,0.3180650684931507,0.3881849315068493,0.49593810444874276,73951.0,146801.0
2,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18288,13119,5169,18288,0,5947,1103,6066,7.350026678862718,8.152121609798774,0.3316929133858268,0.5193493150684931,0.6137842465753425,0.2826443569553806,96425.0,149086.0
3,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18309,9182,9127,18309,0,4613,814,3755,8.166848181224134,8.142880550548911,0.20509039270304222,0.3214897260273973,0.3911815068493151,0.4984980064449178,74988.0,149088.0
3,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18231,13084,5147,18231,0,5978,1005,6101,7.37297462549679,8.180023037683068,0.33464977236575066,0.5223458904109589,0.6083904109589041,0.28232132082716255,96468.0,149130.0
4,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18359,9050,9309,18359,0,4506,775,3768,8.083314917127073,8.093578081594858,0.20523993681573072,0.3226027397260274,0.3889554794520548,0.5070537610980991,73154.0,148590.0
4,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18279,13143,5136,18279,0,6016,1046,6079,7.3405615156357,8.136386016740522,0.33256742710213905,0.5204623287671233,0.6100171232876712,0.28097817167241096,96477.0,148725.0
5,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18204,9097,9107,18204,0,4546,781,3770,8.113004287127625,8.12964183695891,0.2070973412436827,0.3227739726027397,0.3896404109589041,0.5002746649088112,73804.0,147992.0
5,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18431,13124,5307,18431,0,6000,1050,6074,7.309966473636087,8.132602680266942,0.32955346969779176,0.5200342465753425,0.6099315068493151,0.2879387987629537,95936.0,149892.0
6,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18412,9220,9192,18412,0,4558,855,3804,8.219414316702819,8.250868998479252,0.20660438844232024,0.3256849315068493,0.3988869863013699,0.49923962633065394,75783.0,151915.0
6,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18410,12961,5449,18410,0,5946,1050,5962,7.442867062726641,8.274470396523629,0.3238457360130364,0.510445205479452,0.6003424657534246,0.2959804454101032,96467.0,152333.0
7,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18051,9163,8888,18051,0,4626,804,3727,8.195241733056859,8.171015456207412,0.20647055564788655,0.31909246575342465,0.3879280821917808,0.49238269347958563,75093.0,147495.0
7,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18260,13066,5194,18260,0,5922,1065,6078,7.347160569416807,8.173274917853231,0.33285870755750274,0.5203767123287671,0.6115582191780822,0.28444687842278205,95998.0,149244.0
8,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18379,9220,9159,18379,0,4629,808,3783,8.223210412147505,8.192992001741118,0.205832743892486,0.32388698630136986,0.3930650684931507,0.49834049730670876,75818.0,150579.0
8,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18451,13054,5397,18451,0,5987,1038,6029,7.405316378121649,8.243184651238415,0.32675735732480626,0.5161815068493151,0.6050513698630137,0.29250447130236845,96669.0,152095.0
