step_index,gap_index,within_step,post_gap,mean,std,n,se,ci95,ci_low,ci_high
0,0,0.0,0.0,0.20460331506114776,0.002648897016105277,100,0.00026488970161052774,0.0005191838151566344,0.20408413124599112,0.2051224988763044
0,1,0.0,0.1,0.1996446829587632,0.002600870606511688,100,0.0002600870606511688,0.0005097706388762908,0.19913491231988692,0.20015445359763948
0,2,0.0,0.2,0.19305410646872231,0.0027116089481856705,100,0.00027116089481856706,0.0005314753538443914,0.1925226311148779,0.19358558182256672
0,3,0.0,0.3,0.18852956671703158,0.0027787501378939133,100,0.0002778750137893913,0.000544635027027207,0.18798493169000438,0.18907420174405878
0,4,0.0,0.4,0.18360251830893973,0.0022650022388956844,100,0.00022650022388956843,0.00044394043882355414,0.18315857787011616,0.1840464587477633
0,5,0.0,0.5,0.17900006630845272,0.002775585912757629,100,0.0002775585912757629,0.0005440148389004953,0.17845605146955223,0.1795440811473532
1,0,0.1,0.0,0.22176558250711065,0.0028660492259953317,100,0.00028660492259953316,0.0005617456482950849,0.22120383685881556,0.22232732815540573
1,1,0.1,0.1,0.2151161124960467,0.00328954224455557,100,0.000328954224455557,0.0006447502799328918,0.21447136221611382,0.21576086277597958
1,2,0.1,0.2,0.20911763603618558,0.002658056114162784,100,0.0002658056114162784,0.0005209789983759057,0.20859665703780966,0.2096386150345615
1,3,0.1,0.3,0.2027985973947255,0.0029491255368346916,100,0.0002949125536834692,0.0005780286052195996,0.2022205687895059,0.2033766259999451
1,4,0.1,0.4,0.19879139561941642,0.003096362362180053,100,0.0003096362362180053,0.0006068870229872903,0.19818450859642914,0.1993982826424037
1,5,0.1,0.5,0.1940072154449249,0.0029841296190599906,100,0.00029841296190599904,0.0005848894053357581,0.19342232603958914,0.19459210485026068
2,0,0.2,0.0,0.2363399529546279,0.0028990279685161234,100,0.00028990279685161234,0.0005682094818291602,0.23577174347279872,0.23690816243645707
2,1,0.2,0.1,0.22872742071468655,0.0030122937341624015,100,0.0003012293734162402,0.0005904095718958308,0.22813701114279072,0.22931783028658237
2,2,0.2,0.2,0.22231758226952628,0.0028760112612162265,100,0.00028760112612162265,0.0005636982071983804,0.2217538840623279,0.22288128047672465
2,3,0.2,0.3,0.2161814030260547,0.0024928524183584658,100,0.00024928524183584656,0.0004885990739982593,0.21569280395205645,0.21667000210005297
2,4,0.2,0.4,0.211474675980461,0.0028758248605757703,100,0.00028758248605757704,0.000563661672672851,0.21091101430778814,0.21203833765313385
2,5,0.2,0.5,0.20769701314233552,0.0029509344923523665,100,0.00029509344923523665,0.0005783831605010639,0.20711862998183445,0.2082753963028366
3,0,0.3,0.0,0.24848717456159938,0.0031353225730052906,100,0.0003135322573005291,0.000614523224309037,0.24787265133729033,0.24910169778590843
3,1,0.3,0.1,0.24067219064605244,0.0028573824397628675,100,0.00028573824397628677,0.0005600469581935221,0.2401121436878589,0.24123223760424597
3,2,0.3,0.2,0.2342020787634733,0.002846129837309358,100,0.0002846129837309358,0.0005578414481126341,0.23364423731536066,0.23475992021158593
3,3,0.3,0.3,0.22805567755251746,0.002797747604185436,100,0.00027977476041854356,0.0005483585304203453,0.22750731902209712,0.2286040360829378
3,4,0.3,0.4,0.2237677704386806,0.0021878625244106426,100,0.00021878625244106426,0.00042882105478448594,0.22333894938389612,0.22419659149346507
3,5,0.3,0.5,0.21985702558276657,0.0029451330484799305,100,0.00029451330484799303,0.0005772460775020663,0.2192797795052645,0.22043427166026863
4,0,0.4,0.0,0.25936526052154085,0.002798105795009735,100,0.0002798105795009735,0.0005484287358219081,0.25881683178571896,0.25991368925736275
4,1,0.4,0.1,0.2514310843222467,0.002578784591552887,100,0.00025787845915528873,0.0005054417799443658,0.2509256425423023,0.2519365261021911
4,2,0.4,0.2,0.2447930709183328,0.002781237730363558,100,0.0002781237730363558,0.0005451225951512574,0.24424794832318153,0.24533819351348407
4,3,0.4,0.3,0.23912739682654047,0.0026573420677104397,100,0.00026573420677104397,0.0005208390452712462,0.2386065577812692,0.23964823587181172
4,4,0.4,0.4,0.23461797925382005,0.0029975569931761765,100,0.00029975569931761767,0.0005875211706625306,0.23403045808315753,0.23520550042448257
4,5,0.4,0.5,0.23043564149261728,0.002668364666874405,100,0.0002668364666874405,0.0005229994747073833,0.2299126420179099,0.23095864096732466
5,0,0.5,0.0,0.2688976243790122,0.0030578761420701796,100,0.00030578761420701795,0.0005993437238457552,0.2682982806551665,0.26949696810285795
5,1,0.5,0.1,0.2608890551901454,0.0029858855905861444,100,0.0002985885590586144,0.0005852335757548843,0.2603038216143905,0.2614742887659003
5,2,0.5,0.2,0.2540604683078137,0.003109743073571308,100,0.00031097430735713084,0.0006095096424199764,0.25345095866539374,0.25466997795023366
5,3,0.5,0.3,0.24931692356037993,0.0027934796753981686,100,0.00027934796753981687,0.000547522016378041,0.2487694015440019,0.24986444557675797
5,4,0.5,0.4,0.24370895508957374,0.0026648795374535823,100,0.00026648795374535823,0.0005223163893409021,0.24318663870023283,0.24423127147891466
5,5,0.5,0.5,0.23968721929220968,0.00277433267513758,100,0.000277433267513758,0.0005437692043269657,0.2391434500878827,0.24023098849653665
