step_index,gap_index,within_step,post_gap,mean_delta_step,mean_delta_gap,mean_abs_step,mean_abs_gap,mean_difference,share_seeds_gap_larger
0,0,0.0,0.0,0.017162267445962883,-0.004958632102384572,0.017162267445962883,0.005303512382116524,-0.011858755063846357,0.03
0,1,0.0,0.1,0.015471429537283492,-0.006590576490040888,0.015471429537283492,0.006658580560844573,-0.00881284897643892,0.1
0,2,0.0,0.2,0.016063529567463274,-0.00452453975169074,0.016063529567463274,0.0049261135449395425,-0.01113741602252373,0.03
0,3,0.0,0.3,0.014269030677693917,-0.0049270484080918536,0.014269030677693917,0.005367116993377254,-0.008901913684316663,0.03
0,4,0.0,0.4,0.015188877310476715,-0.004602452000486979,0.015188877310476715,0.004995300357947809,-0.010193576952528906,0.04
1,0,0.1,0.0,0.014574370447517228,-0.006649470011063962,0.014574370447517228,0.0067251594784593915,-0.007849210969057836,0.16
1,1,0.1,0.1,0.013611308218639838,-0.005998476459861108,0.013611308218639838,0.00630656058758819,-0.007304747631051647,0.16
1,2,0.1,0.2,0.013199946233340688,-0.006319038641460095,0.013199946233340688,0.006381621384008423,-0.006818324849332265,0.12
1,3,0.1,0.3,0.013382805631329235,-0.004007201775309055,0.013382805631329235,0.004686579752565509,-0.008696225878763727,0.05
1,4,0.1,0.4,0.012683280361044564,-0.004784180174491518,0.012683280361044564,0.005377810858483112,-0.007305469502561453,0.13
2,0,0.2,0.0,0.012147221606971499,-0.007612532239941353,0.012147221606971499,0.007767095068855443,-0.004380126538116055,0.25
2,1,0.2,0.1,0.01194476993136592,-0.006409838445160259,0.01194476993136592,0.0065304250875237915,-0.00541434484384213,0.21
2,2,0.2,0.2,0.01188449649394704,-0.006136179243471547,0.01188449649394704,0.006251557625859672,-0.005632938868087369,0.24
2,3,0.2,0.3,0.011874274526462747,-0.004706727045593727,0.011874274526462747,0.00489762589256017,-0.006976648633902576,0.08
2,4,0.2,0.4,0.012293094458219604,-0.0037776628381254763,0.012293094458219604,0.00447913039948237,-0.007813964058737235,0.12
3,0,0.3,0.0,0.010878085959941435,-0.007814983915546931,0.010878085959941435,0.007912246684185704,-0.0029658392757557295,0.33
3,1,0.3,0.1,0.010758893676194242,-0.006470111882579138,0.010758893676194242,0.006518220238827187,-0.004240673437367054,0.3
3,2,0.3,0.2,0.010590992154859495,-0.006146401210955841,0.010609547394171586,0.006194863386888367,-0.004414684007283219,0.2
3,3,0.3,0.3,0.011071719274022977,-0.004287907113836867,0.011088196378630781,0.004583040078957304,-0.006505156299673477,0.12
3,4,0.3,0.4,0.010850208815139439,-0.003910744855914027,0.010850208815139439,0.004254906860451263,-0.006595301954688177,0.13
4,0,0.4,0.0,0.009532363857471396,-0.007934176199294124,0.009532363857471396,0.008033530936114652,-0.0014988329213567453,0.4
4,1,0.4,0.1,0.009457970867898678,-0.006638013403913885,0.009602322944346608,0.0066701140032738035,-0.0029322089410728047,0.3
4,2,0.4,0.2,0.009267397389480918,-0.005665674091792358,0.00928738400695809,0.005868871027523017,-0.0034185129794350733,0.28
4,3,0.4,0.3,0.010189526733839471,-0.004509417572720406,0.010189526733839471,0.00532590585574214,-0.004863620878097331,0.19
4,4,0.4,0.4,0.009090975835753707,-0.00418233776120278,0.009090975835753707,0.00486209512875306,-0.004228880707000647,0.22
