seed,step_index,gap_index,within_step,post_gap,served_base,served_step_up,served_gap_up,delta_step,delta_gap,abs_delta_step,abs_delta_gap,effect_difference,gap_effect_larger
1,0,0,0.0,0.0,0.20400459543738717,0.22350845948352627,0.2012862089814764,0.019503864046139102,-0.0027183864559107707,0.019503864046139102,0.0027183864559107707,-0.01678547759022833,False
1,0,1,0.0,0.1,0.2012862089814764,0.21198481561822125,0.19415817029484705,0.01069860663674485,-0.00712803868662934,0.01069860663674485,0.00712803868662934,-0.0035705679501155108,False
1,0,2,0.0,0.2,0.19415817029484705,0.20999780509218613,0.1872673527479746,0.015839634797339075,-0.0068908175468724575,0.015839634797339075,0.0068908175468724575,-0.008948817250466617,False
1,0,3,0.0,0.3,0.1872673527479746,0.19897762875831362,0.18383526950393658,0.011710276010339027,-0.0034320832440380145,0.011710276010339027,0.0034320832440380145,-0.008278192766301012,False
1,0,4,0.0,0.4,0.18383526950393658,0.19831613253666486,0.18054261441490818,0.014480863032728275,-0.003292655089028401,0.014480863032728275,0.003292655089028401,-0.011188207943699874,False
1,1,0,0.1,0.0,0.22350845948352627,0.238450565126742,0.21198481561822125,0.014942105643215742,-0.011523643865305022,0.014942105643215742,0.011523643865305022,-0.0034184617779107196,False
1,1,1,0.1,0.1,0.21198481561822125,0.22701719576719576,0.20999780509218613,0.015032380148974511,-0.0019870105260351156,0.015032380148974511,0.0019870105260351156,-0.013045369622939396,False
1,1,2,0.1,0.2,0.20999780509218613,0.22145366710584102,0.19897762875831362,0.011455862013654894,-0.011020176333872506,0.011455862013654894,0.011020176333872506,-0.00043568567978238826,False
1,1,3,0.1,0.3,0.19897762875831362,0.21238986482788813,0.19831613253666486,0.013412236069574507,-0.0006614962216487663,0.013412236069574507,0.0006614962216487663,-0.01275073984792574,False
1,1,4,0.1,0.4,0.19831613253666486,0.20727372162975116,0.19316746306365684,0.008957589093086304,-0.005148669473008016,0.008957589093086304,0.005148669473008016,-0.003808919620078288,False
1,2,0,0.2,0.0,0.238450565126742,0.2470171615363661,0.22701719576719576,0.008566596409624094,-0.011433369359546253,0.008566596409624094,0.011433369359546253,0.0028667729499221584,True
1,2,1,0.2,0.1,0.22701719576719576,0.2424773910660455,0.22145366710584102,0.015460195298849733,-0.005563528661354733,0.015460195298849733,0.005563528661354733,-0.009896666637495,False
1,2,2,0.2,0.2,0.22145366710584102,0.2340121864192787,0.21238986482788813,0.012558519313437683,-0.009063802277952893,0.012558519313437683,0.009063802277952893,-0.00349471703548479,False
1,2,3,0.2,0.3,0.21238986482788813,0.22756074714860322,0.20727372162975116,0.01517088232071509,-0.005116143198136969,0.01517088232071509,0.005116143198136969,-0.010054739122578121,False
1,2,4,0.2,0.4,0.20727372162975116,0.22495263870094723,0.20015204170286707,0.017678917071196065,-0.007121679926884089,0.017678917071196065,0.007121679926884089,-0.010557237144311976,False
1,3,0,0.3,0.0,0.2470171615363661,0.2632647462277092,0.2424773910660455,0.016247584691343075,-0.004539770470320614,0.016247584691343075,0.004539770470320614,-0.011707814221022461,False
1,3,1,0.3,0.1,0.2424773910660455,0.24924875703436594,0.2340121864192787,0.006771365968320453,-0.008465204646766783,0.006771365968320453,0.008465204646766783,0.00169383867844633,True
1,3,2,0.3,0.2,0.2340121864192787,0.24332149685878177,0.22756074714860322,0.00930931043950306,-0.006451439270675485,0.00930931043950306,0.006451439270675485,-0.002857871168827575,False
