seed,signed_step_effect,signed_gap_effect,absolute_step_effect,absolute_gap_effect,absolute_effect_difference,share_gap_larger
1,0.012388963883264683,-0.005997741423120639,0.012388963883264683,0.005997741423120639,-0.006391222460144045,0.12
2,0.012000996175538401,-0.005526720329710225,0.012000996175538401,0.0056306506456667805,-0.006370345529871621,0.2
3,0.012362766133324472,-0.005821459891890447,0.012362766133324472,0.006020079821588976,-0.006342686311735496,0.16
4,0.011929979297328948,-0.005031160949460032,0.011929979297328948,0.005749840194249178,-0.006180139103079771,0.28
5,0.012595237565072746,-0.005904913889868546,0.012595237565072746,0.006110749069033263,-0.006484488496039482,0.24
6,0.012120833445212233,-0.005694509324908539,0.012120833445212233,0.005694509324908539,-0.006426324120303695,0.16
7,0.01129507765120365,-0.0056445307561308845,0.01129507765120365,0.005835435682656479,-0.005459641968547172,0.2
8,0.012869929061114034,-0.005548566870714742,0.012869929061114034,0.006491090424192039,-0.0063788386369219964,0.24
9,0.01259170353290328,-0.00573390840312915,0.01259170353290328,0.005907741109575925,-0.006683962423327356,0.12
10,0.01270339403062918,-0.0054894153469573805,0.01270339403062918,0.005881634690705637,-0.0068217593399235435,0.16
11,0.011768623292969913,-0.005782641381171006,0.011768623292969913,0.005910625172640008,-0.005857998120329905,0.16
12,0.01242368809142687,-0.005318082891931291,0.01242368809142687,0.0056069440621133925,-0.006816744029313477,0.24
13,0.012524043377459208,-0.005927125079656545,0.012524043377459208,0.006136141069595964,-0.006387902307863244,0.08
14,0.011898082152196326,-0.00602974774971068,0.011898082152196326,0.00612418730963019,-0.005773894842566135,0.2
15,0.012068004191390097,-0.005090096490500006,0.012068004191390097,0.0059103268231580595,-0.006157677368232036,0.24
16,0.01244128432397309,-0.005163289609869171,0.01244128432397309,0.00557375312259839,-0.0068675312013746995,0.16
17,0.012463418771043596,-0.005698403854540496,0.012463418771043596,0.006269798538545205,-0.006193620232498389,0.24
