class1_no_show_threshold,class1_high_no_show,mean,std,n,se,ci95,metric
3,0.0,0.9204982876712329,0.0023804204301031417,50,0.0003366422856401859,0.0006598188798547643,average_utilization
3,0.1,0.8838647260273973,0.0030441090950362568,50,0.0004305020367543563,0.0008437839920385384,average_utilization
3,0.2,0.8476849315068493,0.00337781424309522,50,0.00047769507137622707,0.000936282339897405,average_utilization
3,0.3,0.8114743150684931,0.003761499617823671,50,0.0005319563774387449,0.0010426344997799398,average_utilization
3,0.4,0.7745376712328768,0.004148572210272024,50,0.0005866967084250824,0.0011499255485131615,average_utilization
3,0.5,0.7376164383561644,0.0045998263162035,50,0.0006505136760935661,0.0012750068051433896,average_utilization
3,0.6,0.7009931506849315,0.0046796016898692765,50,0.0006617956176317185,0.0012971194105581682,average_utilization
3,0.7,0.6646917808219177,0.004890563512654794,50,0.0006916301247243414,0.001355595044459709,average_utilization
3,0.8,0.627875,0.004658715112948323,50,0.0006588418095964024,0.0012913299468089486,average_utilization
3,0.9,0.5919914383561644,0.004312304210301546,50,0.0006098519099287044,0.0011953097434602607,average_utilization
6,0.0,0.9204982876712329,0.0023804204301031417,50,0.0003366422856401859,0.0006598188798547643,average_utilization
6,0.1,0.8938099315068493,0.002876906290471102,50,0.0004068559893660703,0.0007974377391574978,average_utilization
6,0.2,0.8675342465753425,0.003198566755574971,50,0.00045234564858898324,0.0008865974712344071,average_utilization
6,0.3,0.8412208904109589,0.003662265400025744,50,0.0005179225397726135,0.0010151281779543224,average_utilization
6,0.4,0.8143424657534247,0.004287604355851817,50,0.0006063588230135597,0.001188463293106577,average_utilization
6,0.5,0.7874417808219178,0.004423078051796568,50,0.0006255176968285474,0.0012260146857839527,average_utilization
6,0.6,0.7606609589041097,0.004492270142892393,50,0.0006353029361922144,0.0012451937549367402,average_utilization
6,0.7,0.7339058219178082,0.004788260283029895,50,0.0006771622632433311,0.001327238035956929,average_utilization
6,0.8,0.7069349315068493,0.0048015045582721055,50,0.0006790352866104648,0.0013309091617565109,average_utilization
6,0.9,0.680845890410959,0.00433978955976544,50,0.0006137389253265448,0.001202928293640028,average_utilization
