background_id,design_note,patient_characteristic,class2_reference,contrast_level,profile_id,clinic_context_id,clinic_block,horizon_days,rho,class1_share,slots_per_day,lambda_1,lambda_2,cancel_1,cancel_2,balk_threshold_1,balk_low_1,balk_high_1,balk_threshold_2,balk_low_2,balk_high_2,noshow_threshold_1,noshow_low_1,noshow_high_1,noshow_threshold_2,noshow_low_2,noshow_high_2,cap_thresholds_to_horizon
PCF_BK_LOW_SAME_C001,patient_characteristics_full_confirmatory,balking_sensitivity,low,same,BK_LOW_SAME,C001,fully_crossed_confirmatory,10,1.2,0.1,30,3.6,32.4,0.2,0.2,16,0.05,0.15,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_SAME_C002,patient_characteristics_full_confirmatory,balking_sensitivity,low,same,BK_LOW_SAME,C002,fully_crossed_confirmatory,14,1.2,0.1,30,3.6,32.4,0.2,0.2,16,0.05,0.15,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_SAME_C003,patient_characteristics_full_confirmatory,balking_sensitivity,low,same,BK_LOW_SAME,C003,fully_crossed_confirmatory,22,1.2,0.1,30,3.6,32.4,0.2,0.2,16,0.05,0.15,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_SAME_C004,patient_characteristics_full_confirmatory,balking_sensitivity,low,same,BK_LOW_SAME,C004,fully_crossed_confirmatory,10,1.2,0.1,50,6.0,54.0,0.2,0.2,16,0.05,0.15,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_SAME_C005,patient_characteristics_full_confirmatory,balking_sensitivity,low,same,BK_LOW_SAME,C005,fully_crossed_confirmatory,14,1.2,0.1,50,6.0,54.0,0.2,0.2,16,0.05,0.15,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_SAME_C006,patient_characteristics_full_confirmatory,balking_sensitivity,low,same,BK_LOW_SAME,C006,fully_crossed_confirmatory,22,1.2,0.1,50,6.0,54.0,0.2,0.2,16,0.05,0.15,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_SAME_C007,patient_characteristics_full_confirmatory,balking_sensitivity,low,same,BK_LOW_SAME,C007,fully_crossed_confirmatory,10,1.2,0.3,30,10.799999999999999,25.2,0.2,0.2,16,0.05,0.15,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_SAME_C008,patient_characteristics_full_confirmatory,balking_sensitivity,low,same,BK_LOW_SAME,C008,fully_crossed_confirmatory,14,1.2,0.3,30,10.799999999999999,25.2,0.2,0.2,16,0.05,0.15,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_SAME_C009,patient_characteristics_full_confirmatory,balking_sensitivity,low,same,BK_LOW_SAME,C009,fully_crossed_confirmatory,22,1.2,0.3,30,10.799999999999999,25.2,0.2,0.2,16,0.05,0.15,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
PCF_BK_LOW_SAME_C010,patient_characteristics_full_confirmatory,balking_sensitivity,low,same,BK_LOW_SAME,C010,fully_crossed_confirmatory,10,1.2,0.3,50,18.0,42.0,0.2,0.2,16,0.05,0.15,16,0.05,0.15,3,0.05,0.1,3,0.05,0.1,False
