background_id,n_paired_seeds,class_1_standby_joined_on_arm,class_2_standby_joined_on_arm,class_1_standby_recalled_on_arm,class_2_standby_recalled_on_arm,class_1_standby_expired_on_arm,class_2_standby_expired_on_arm,class_1_standby_recall_rate_on_arm,class_2_standby_recall_rate_on_arm,class_1_mean_standby_wait_days_on_arm,class_2_mean_standby_wait_days_on_arm,class_1_mean_original_offered_delay_recalled_on_arm,class_2_mean_original_offered_delay_recalled_on_arm,delta_utilization,delta_utilization_ci_low,delta_utilization_ci_high,utilization_status,delta_class_1_no_show_rate,delta_class_1_no_show_rate_ci_low,delta_class_1_no_show_rate_ci_high,class_1_no_show_rate_status,delta_class_2_no_show_rate,delta_class_2_no_show_rate_ci_low,delta_class_2_no_show_rate_ci_high,class_2_no_show_rate_status,delta_mean_accepted_delay,delta_mean_accepted_delay_ci_low,delta_mean_accepted_delay_ci_high,delta_class_1_served_rate,delta_class_1_served_rate_ci_low,delta_class_1_served_rate_ci_high,delta_class_2_served_rate,delta_class_2_served_rate_ci_low,delta_class_2_served_rate_ci_high,delta_overall_served_rate,delta_overall_served_rate_ci_low,delta_overall_served_rate_ci_high,delta_mean_offered_delay,delta_mean_offered_delay_ci_low,delta_mean_offered_delay_ci_high,horizon_days,rho,class1_share,slots_per_day,condition_satisfied
BG00001,20,17.5,156.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005552511415525324,0.0022874429223745684,0.009224429223744546,supported,0.0006499234336121943,-0.00324903701250701,0.004450760918884528,inconclusive,0.00012798718071648023,-0.001156824975984326,0.001449871918454745,inconclusive,0.00062670980346506,-0.0012565459083412178,0.0024566229132425834,0.0005867509193819065,-0.003426011655715884,0.004597644524983694,0.0005346928446575861,-0.00043625781153458417,0.0015837596671443397,0.0005377740502161887,-0.00034111521663623664,0.0015400234190646488,0.00049349231201643,-0.0014138342154114939,0.002386601333859165,7,0.8,0.1,30,False
BG00002,20,93.85,88.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013013698630135017,-0.003908789954338073,0.006173744292237378,inconclusive,-0.0005268004635315196,-0.0022925813847585897,0.0011297445073578016,inconclusive,0.0014362520603355996,-0.00047148484576926185,0.0031982519475444093,inconclusive,0.0006238984554078747,-0.0009100559774408285,0.0022574128708243366,-0.0009236746886260528,-0.002845461305701391,0.0009049030812410543,-0.0015900016004473105,-0.003909965248942915,0.0008102990574708288,-0.0012571720158225997,-0.0019920056962962605,-0.0005917736011842018,0.000673907450264015,-0.0009200565911452386,0.0022971392414116555,7,0.8,0.5,30,False
BG00003,20,157.35,18.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004470319634703251,0.0002920091324202343,0.008424885844749038,inconclusive,-0.00033863621163959004,-0.0013326444933323162,0.0006909686758665575,inconclusive,-0.002426381839573144,-0.007055616963073227,0.002317180995194721,inconclusive,0.0010713870710895202,-0.0007589495474842643,0.003087047722695658,0.0002917442255507163,-0.0008040608823408584,0.0012802880554647104,0.0006747740286595361,-0.004515004151545243,0.005844355894698964,0.00032641393007034616,-0.0007809662263158897,0.0013467616256286456,0.0011933097547859248,-0.0007082497334306907,0.003216071772468643,7,0.8,0.9,30,False
BG00004,20,37.55,309.05,9.3,1.2,0.0,0.0,0.2712637901420275,0.0037975897452290353,3.25,0.5,3.548769911637559,0.5277777777777778,0.0012237442922372998,0.00010958904109565459,0.0023928082191781897,inconclusive,0.00015802719533366955,-0.0017698575832446276,0.0020649099823248644,inconclusive,-0.0004967490806095353,-0.0008450630731123897,-0.00015411357037064508,inconclusive,0.0008395677793901601,-0.003385785284084628,0.004818832569634426,0.004630632587165393,-0.0006282154865301272,0.009838120136602216,-0.0011354438660621218,-0.0024374386958683947,0.00018346161634886224,-0.0005624645099636033,-0.0017288528141497289,0.0005895359016617001,0.0010947945999135733,-0.003690085596088133,0.0058873058163331025,7,3.0,0.1,30,False
BG00005,20,170.95,176.3,13.1,2.15,0.0,0.0,0.07939912195798819,0.013354037267080746,3.25,0.2534883720930233,3.5770153567659966,0.26627906976744187,-0.0007214611872145227,-0.002703310502282818,0.0013197488584476289,inconclusive,0.0003925945082309453,-0.00047398633918764626,0.001279115870932588,inconclusive,0.00011701215165428949,-0.0005860116633533774,0.0007492319999609257,inconclusive,0.0006862127436619847,-0.006145104684890358,0.0076795527020316855,0.0006092161468008728,-0.0011029806926579743,0.002362709030686777,-0.0009189292333257104,-0.0025370864665764737,0.0007187745270062632,-0.0001482576252238077,-0.0010988241221658564,0.0008242095989623721,-0.00022933821146335908,-0.006672235782068342,0.0063767351581871315,7,3.0,0.5,30,False
BG00006,20,316.6,35.05,0.0,10.35,0.0,0.0,0.0,0.3038060107733929,0.0,3.251851851851852,0.0,3.5273744264730986,0.00011415525114180647,-0.0014567351598170728,0.001548059360730846,inconclusive,-0.00023462784112058996,-0.0007457722866053584,0.00029621789878792846,inconclusive,0.00118431239107992,-0.0006710394265835254,0.0031350569935470777,inconclusive,-0.0016784834932644266,-0.006413145946217957,0.003018460380581329,-0.0002510496825669617,-0.0013190514738850852,0.0008711990411988353,0.001451407648528813,-0.002629432571692993,0.005506470749881322,-8.672792350154779e-05,-0.0009827036135429182,0.0008140333017999771,-0.0018789737225148428,-0.006388108510257182,0.002759627130272373,7,3.0,0.9,30,False
BG00007,20,294.15,298.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019369863013697585,-0.0005508219178082408,0.004578150684931413,inconclusive,-0.0010126702334220556,-0.004604737407748348,0.002404941861667102,inconclusive,-0.0009494151355965853,-0.0023707359389706336,0.0006379292002740809,inconclusive,3.775980297606904e-05,-0.00018150369174473152,0.00025537929169671433,0.0020932953236164676,-0.001642249204731987,0.005742102995570485,0.0007806612716168227,-0.001697291966342163,0.003260120016067388,0.0008963987530980378,-0.0013560205924921728,0.003182157284491747,3.8040792638199585e-05,-0.00016538685046954188,0.00023558593801850547,7,0.8,0.5,50,False
BG00008,20,1415.35,103.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018812785388128584,-0.0023380136986301567,0.006068607305936175,inconclusive,-0.0005842763220038894,-0.0014714323048234926,0.00029268474068790926,inconclusive,0.0012019236609617401,-0.007215331626550628,0.00991639956514373,inconclusive,-0.0006451210954400404,-0.005087615185086587,0.004532622408224452,0.0009576927923903467,-0.0015319214030270769,0.0032486335994474625,0.0028445684905609226,-0.003477787739837713,0.00966328825504607,0.0011163743535073157,-0.0012060967746963332,0.003147071464643876,-0.001055000891021935,-0.005573679434207728,0.004452311324055629,7,1.2,0.9,30,False
BG00009,20,313.75,136.05,0.0,2.1,0.0,0.0,0.0,0.016870967741935482,0.0,1.51,0.0,0.12363636363636363,0.00023972602739742998,-0.0012671232876710042,0.0016506849315067308,inconclusive,0.00030070604833191023,-0.0007502454685803957,0.0013785057199106098,inconclusive,-0.0030145941693670367,-0.0084392457078654,0.002927794906145687,inconclusive,0.05294745906829483,0.004733913664641735,0.09713040558415179,-0.005153066522587202,-0.009580090710321853,-0.0007993543617690034,0.004389282472959758,-0.00911798589054644,0.01763494638995215,-0.004157498987844238,-0.00828241166677153,0.00027926064106493516,0.05302927998406306,0.0050580064749517996,0.10077818555809372,7,1.2,0.9,20,False
BG00010,20,2462.1,1049.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022397260273969433,-0.004239897260273911,-0.00018493150684926863,inconclusive,6.577127784070554e-05,-0.0006028423911061776,0.0007324329915704477,inconclusive,0.0019307493868127947,0.0004167826474199414,0.0033342577556498944,inconclusive,0.023228636669603665,0.006127087166228752,0.040123195059836456,-0.0015790263900097967,-0.003440397892667569,0.0002505696434843423,-0.002457320459763335,-0.006457360622990901,0.001312897135922218,-0.001833679513525438,-0.0031679379241868104,-0.0005703422894849398,0.02600200705577329,0.010148493943640742,0.04100833297980843,7,3.0,0.7,20,False
