gap_magnitude,gap_location,class2_low,class2_high,class2_step,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
0.05,pre-threshold,0.05,0.5,0.45,1,1,18117,11732,6385,18117,0,5830,933,4968,8.261336515513127,9.203124137550367,0.27421758569299554,0.42534246575342466,0.3524314180051885,96922.0,166733.0
0.05,pre-threshold,0.05,0.5,0.45,1,2,18335,11553,6782,18335,0,5781,932,4836,8.349606162901411,9.226179438232888,0.2637578401963458,0.41404109589041094,0.3698936460321789,96463.0,169162.0
0.05,pre-threshold,0.05,0.5,0.45,2,1,18707,12036,6671,18707,0,6038,959,5030,8.459288800265869,9.476292297001123,0.26888330571443847,0.4306506849315068,0.3566044796065644,101816.0,177273.0
0.05,pre-threshold,0.05,0.5,0.45,2,2,18528,11819,6709,18528,0,6131,944,4739,8.620780099839243,9.503886010362693,0.2557750431778929,0.405736301369863,0.36210060449050085,101889.0,176088.0
0.05,pre-threshold,0.05,0.5,0.45,3,1,18400,11918,6482,18400,0,5957,946,5003,8.2514683671757,9.216304347826087,0.2719021739130435,0.42833904109589044,0.3522826086956522,98341.0,169580.0
0.05,pre-threshold,0.05,0.5,0.45,3,2,18458,11569,6889,18458,0,5840,919,4801,8.329155501771977,9.222559323870408,0.2601040199371546,0.4110445205479452,0.37322570159280527,96360.0,170230.0
0.05,pre-threshold,0.05,0.5,0.45,4,1,18237,11811,6426,18237,0,5955,916,4940,8.228346456692913,9.17497395404946,0.2708778856171519,0.4229452054794521,0.3523605856226353,97185.0,167324.0
0.05,pre-threshold,0.05,0.5,0.45,4,2,18176,11655,6521,18176,0,5851,895,4909,8.28142428142428,9.157460387323944,0.270081426056338,0.42029109589041097,0.3587698063380282,96520.0,166446.0
0.05,pre-threshold,0.05,0.5,0.45,5,1,18370,11899,6471,18370,0,5884,1001,5007,8.301958147743507,9.273979314099075,0.2725639629831247,0.42868150684931505,0.3522591181273816,98785.0,170363.0
0.05,pre-threshold,0.05,0.5,0.45,5,2,18248,11575,6673,18248,0,5922,951,4694,8.419956803455724,9.295648838228846,0.2572336694432267,0.4018835616438356,0.36568391056554145,97461.0,169627.0
0.05,pre-threshold,0.05,0.5,0.45,6,1,18321,11875,6446,18321,0,5938,932,5001,8.316042105263158,9.288357622400524,0.2729654494841985,0.4281678082191781,0.35183669013700125,98753.0,170172.0
0.05,pre-threshold,0.05,0.5,0.45,6,2,18267,11661,6606,18267,0,5918,911,4826,8.374153160106337,9.254228937428149,0.2641922592653419,0.4131849315068493,0.3616357365741501,97651.0,169047.0
0.05,pre-threshold,0.05,0.5,0.45,7,1,18315,11667,6648,18315,0,5724,930,5010,8.340361703951316,9.325853125853126,0.27354627354627353,0.4289383561643836,0.362981162981163,97307.0,170803.0
0.05,pre-threshold,0.05,0.5,0.45,7,2,18330,11533,6797,18330,0,5806,955,4759,8.462759039278591,9.330823786142934,0.25962902345881067,0.4074486301369863,0.3708128750681942,97601.0,171034.0
0.05,pre-threshold,0.05,0.5,0.45,8,1,18416,11915,6501,18416,0,5937,923,5047,8.386991187578682,9.366040399652476,0.2740551694178975,0.43210616438356164,0.3530082536924414,99931.0,172485.0
0.05,pre-threshold,0.05,0.5,0.45,8,2,18291,11596,6695,18291,0,5882,943,4763,8.45067264573991,9.347110600841944,0.2604012902520365,0.40779109589041096,0.3660270078180526,97994.0,170968.0
0.05,pre-threshold,0.05,0.5,0.45,9,1,18083,11656,6427,18083,0,5840,934,4878,8.155456417295813,9.107061881325002,0.2697561245368578,0.41763698630136986,0.35541668970856605,95060.0,164683.0
0.05,pre-threshold,0.05,0.5,0.45,9,2,18474,11640,6834,18474,0,5795,901,4938,8.20446735395189,9.094457074807838,0.26729457616109126,0.42277397260273974,0.369925300422215,95500.0,168011.0
0.05,pre-threshold,0.05,0.5,0.45,10,1,18097,11713,6384,18097,0,5689,948,5060,8.112951421497481,9.069680057468089,0.27960435431286956,0.4332191780821918,0.35276565176548597,95027.0,164134.0
0.05,pre-threshold,0.05,0.5,0.45,10,2,18276,11557,6719,18276,0,5874,930,4743,8.284589426321709,9.13679142044211,0.25952068286277086,0.40607876712328766,0.3676406215802145,95745.0,166984.0
0.05,pre-threshold,0.05,0.5,0.45,11,1,18381,11869,6512,18381,0,5900,943,5024,8.307355295307103,9.28611065774441,0.27332571677275447,0.4301369863013699,0.3542788749251945,98600.0,170688.0
0.05,pre-threshold,0.05,0.5,0.45,11,2,18274,11477,6797,18274,0,5792,921,4760,8.467892306351834,9.350990478275145,0.26047936959614754,0.4075342465753425,0.3719492174674401,97186.0,170880.0
0.05,pre-threshold,0.05,0.5,0.45,12,1,18339,11835,6504,18339,0,5958,914,4963,8.251288550908322,9.228420306450733,0.270625443044877,0.42491438356164385,0.35465401603140845,97654.0,169240.0
0.05,pre-threshold,0.05,0.5,0.45,12,2,18418,11614,6804,18418,0,5820,921,4870,8.323919407611504,9.227331957867303,0.26441524595504395,0.4169520547945205,0.3694212183733304,96674.0,169949.0
0.05,pre-threshold,0.05,0.5,0.45,13,1,18055,11707,6348,18055,0,5797,928,4977,8.217989237208508,9.164663528108557,0.2756577125450014,0.42611301369863014,0.35159235668789807,96208.0,165468.0
0.05,pre-threshold,0.05,0.5,0.45,13,2,18220,11584,6636,18220,0,5823,926,4833,8.25198549723757,9.126180021953896,0.2652579582875961,0.41378424657534246,0.3642151481888035,95591.0,166279.0
0.05,pre-threshold,0.05,0.5,0.45,14,1,18189,11895,6294,18189,0,5952,959,4981,8.259016393442623,9.209302325581396,0.27384683050195174,0.4264554794520548,0.3460333168398483,98241.0,167508.0
0.05,pre-threshold,0.05,0.5,0.45,14,2,18237,11586,6651,18237,0,5860,934,4787,8.356119454514069,9.222788835883096,0.26248834786423203,0.4098458904109589,0.3646981411416351,96814.0,168196.0
0.05,pre-threshold,0.05,0.5,0.45,15,1,18206,11720,6486,18206,0,5889,933,4886,8.201109215017064,9.149126661540151,0.2683730638251126,0.4183219178082192,0.3562561792815555,96117.0,166569.0
0.05,pre-threshold,0.05,0.5,0.45,15,2,18318,11626,6692,18318,0,5780,927,4913,8.248494753139514,9.112403100775193,0.26820613604105253,0.42063356164383564,0.36532372529752155,95897.0,166921.0
0.05,pre-threshold,0.05,0.5,0.45,16,1,18100,11804,6296,18100,0,5946,919,4931,8.32633005760759,9.25414364640884,0.27243093922651934,0.4221746575342466,0.3478453038674033,98284.0,167500.0
0.05,pre-threshold,0.05,0.5,0.45,16,2,18269,11554,6715,18269,0,5738,928,4884,8.291933529513589,9.18736657726203,0.26733811374459465,0.41815068493150687,0.3675625376320543,95805.0,167844.0
0.05,pre-threshold,0.05,0.5,0.45,17,1,18285,11816,6469,18285,0,5980,918,4906,8.21250846310088,9.143013398960896,0.2683073557560842,0.42003424657534244,0.35378725731473887,97039.0,167180.0
0.05,pre-threshold,0.05,0.5,0.45,17,2,18125,11573,6552,18125,0,5728,907,4932,8.176445174112157,9.034262068965518,0.2721103448275862,0.42226027397260274,0.36148965517241377,94626.0,163746.0
0.05,pre-threshold,0.05,0.5,0.45,18,1,17899,11658,6241,17899,0,5763,932,4950,8.053353920054898,8.994580702832561,0.2765517626683055,0.4238013698630137,0.3486786971339181,93886.0,160994.0
0.05,pre-threshold,0.05,0.5,0.45,18,2,18289,11777,6512,18289,0,5969,892,4904,8.14553791288104,8.986439936573897,0.2681393187161682,0.41986301369863016,0.3560610202854175,95930.0,164353.0
0.05,pre-threshold,0.05,0.5,0.45,19,1,18422,11929,6493,18422,0,6014,926,4986,8.320730991700897,9.294864835522745,0.27065465204646616,0.4268835616438356,0.3524590163934426,99258.0,171230.0
0.05,pre-threshold,0.05,0.5,0.45,19,2,18415,11609,6806,18415,0,5839,939,4829,8.43741924369024,9.327613358674993,0.2622318761878903,0.4134417808219178,0.36959000814553356,97950.0,171768.0
0.05,pre-threshold,0.05,0.5,0.45,20,1,18169,11706,6463,18169,0,5833,919,4951,8.281479583119769,9.237052121745831,0.27249711046287634,0.42388698630136984,0.35571577962463535,96943.0,167828.0
0.05,pre-threshold,0.05,0.5,0.45,20,2,18233,11571,6662,18233,0,5788,944,4839,8.328061533143202,9.20117369604563,0.2653979048977129,0.41429794520547947,0.36538145121483023,96364.0,167765.0
0.05,pre-threshold,0.05,0.5,0.45,21,1,18301,11847,6447,18294,7,6012,935,4898,8.29568667173124,9.25762545096753,0.2676356483252281,0.41934931506849316,0.3524106264348967,98279.0,169359.0
0.05,pre-threshold,0.05,0.5,0.45,21,2,18464,11730,6729,18459,5,5884,970,4871,8.4230179028133,9.28029687415353,0.26381065857885616,0.4170376712328767,0.3645376239232895,98802.0,171305.0
0.05,pre-threshold,0.05,0.5,0.45,22,1,18462,11954,6508,18462,0,5922,1032,4997,8.301321733311026,9.260101830787564,0.27066406673166504,0.42782534246575343,0.3525078539703174,99234.0,170960.0
0.05,pre-threshold,0.05,0.5,0.45,22,2,18288,11541,6747,18288,0,5884,922,4735,8.337059180313664,9.243383639545057,0.25891294838145235,0.4053938356164384,0.3689304461942257,96218.0,169043.0
0.05,pre-threshold,0.05,0.5,0.45,23,1,18068,11785,6283,18068,0,5860,898,5023,8.107594399660586,9.049867168474652,0.27800531326101396,0.4300513698630137,0.34774186406907237,95548.0,163513.0
0.05,pre-threshold,0.05,0.5,0.45,23,2,18157,11463,6694,18157,0,5716,938,4805,8.184506673645643,9.062675552128656,0.26463622845183676,0.4113869863013699,0.3686732389711957,93819.0,164551.0
0.05,pre-threshold,0.05,0.5,0.45,24,1,18443,11866,6577,18443,0,5948,903,5010,8.232344513736727,9.211516564550235,0.27164777964539394,0.4289383561643836,0.35661226481591934,97685.0,169888.0
