scenario,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
"A: Pre-threshold gap
(0.30 gap below threshold)",1,1,18428,12322,6106,18428,0,5766,993,5557,7.680977114104853,8.588886477100065,0.30155198610809636,0.47577054794520546,0.3313436075537226,94645.0,158276.0
"A: Pre-threshold gap
(0.30 gap below threshold)",1,2,18262,10296,7966,18262,0,5150,899,4243,8.159188034188034,8.571678896068338,0.23234037892892345,0.36327054794520547,0.43620633008432813,84007.0,156536.0
"A: Pre-threshold gap
(0.30 gap below threshold)",2,1,18136,12268,5868,18136,0,5791,939,5535,7.710955330942289,8.58618217909131,0.30519408910454343,0.4738869863013699,0.323555359505955,94598.0,155719.0
"A: Pre-threshold gap
(0.30 gap below threshold)",2,2,18072,10358,7714,18072,0,5155,880,4319,8.101177833558602,8.54382470119522,0.2389884904825144,0.369777397260274,0.4268481629039398,83912.0,154404.0
"A: Pre-threshold gap
(0.30 gap below threshold)",3,1,18286,12260,6026,18286,0,5821,951,5483,7.685644371941272,8.585803346822706,0.29984687739254073,0.46943493150684934,0.32954172591053266,94226.0,157000.0
"A: Pre-threshold gap
(0.30 gap below threshold)",3,2,18158,10413,7745,18158,0,5161,891,4358,8.103620474406991,8.553805485185594,0.24000440577156074,0.37311643835616437,0.4265337592245842,84383.0,155320.0
"A: Pre-threshold gap
(0.30 gap below threshold)",4,1,17925,12329,5596,17925,0,5900,907,5521,7.604347473436613,8.47112970711297,0.3080055788005579,0.47268835616438354,0.3121896792189679,93754.0,151845.0
"A: Pre-threshold gap
(0.30 gap below threshold)",4,2,18311,10447,7864,18311,0,5192,852,4403,8.080405858141093,8.498716618426082,0.24045655616842335,0.37696917808219177,0.42946862541641634,84416.0,155620.0
"A: Pre-threshold gap
(0.30 gap below threshold)",5,1,18336,12298,6038,18336,0,5835,966,5497,7.7837859814604,8.714768760907504,0.299792757417103,0.47063356164383563,0.32929755671902267,95725.0,159794.0
"A: Pre-threshold gap
(0.30 gap below threshold)",5,2,18495,10488,8007,18495,0,5262,880,4345,8.27965293668955,8.699161935658285,0.23492835901595024,0.3720034246575342,0.4329278183292782,86837.0,160891.0
"A: Pre-threshold gap
(0.30 gap below threshold)",6,1,18223,12283,5940,18223,0,5818,975,5490,7.712692339005129,8.603852274598035,0.30126762882072106,0.4700342465753425,0.3259616967568457,94735.0,156788.0
"A: Pre-threshold gap
(0.30 gap below threshold)",6,2,18236,10443,7793,18236,0,5228,850,4365,8.152159341185483,8.580829129195,0.2393617021276596,0.3737157534246575,0.4273415222636543,85133.0,156480.0
"A: Pre-threshold gap
(0.30 gap below threshold)",7,1,18549,12363,6186,18549,0,5838,1040,5478,7.936423198252851,8.852175319424228,0.29532589357916866,0.4690068493150685,0.33349506711952126,98118.0,164199.0
"A: Pre-threshold gap
(0.30 gap below threshold)",7,2,18103,10289,7814,18103,0,5134,877,4270,8.386626494314315,8.795503507705906,0.23587250731922885,0.3655821917808219,0.4316411644478816,86290.0,159225.0
"A: Pre-threshold gap
(0.30 gap below threshold)",8,1,18542,12294,6248,18542,0,5811,1012,5471,7.8100699528225155,8.736166540826233,0.2950598640923309,0.46840753424657533,0.336964728723978,96017.0,161986.0
"A: Pre-threshold gap
(0.30 gap below threshold)",8,2,18193,10255,7938,18193,0,5071,912,4272,8.285421745490005,8.73885560380366,0.23481558841312591,0.36575342465753424,0.4363216621777607,84967.0,158986.0
"A: Pre-threshold gap
(0.30 gap below threshold)",9,1,18302,12348,5954,18302,0,5843,900,5605,7.668772270813087,8.562397552180089,0.3062506829854661,0.4798801369863014,0.3253196371981204,94694.0,156709.0
"A: Pre-threshold gap
(0.30 gap below threshold)",9,2,18486,10435,8051,18486,0,5264,859,4309,8.12573071394346,8.58260305095748,0.23309531537379638,0.3689212328767123,0.4355187709618089,84792.0,158658.0
"A: Pre-threshold gap
(0.30 gap below threshold)",10,1,18150,12258,5892,18150,0,5780,1012,5457,7.720427475934084,8.616198347107439,0.3006611570247934,0.46720890410958904,0.32462809917355373,94637.0,156384.0
"A: Pre-threshold gap
(0.30 gap below threshold)",10,2,18073,10394,7679,18073,0,5183,895,4306,8.168077737156052,8.584407679964588,0.238255961932164,0.3686643835616438,0.4248879544071267,84899.0,155146.0
"A: Pre-threshold gap
(0.30 gap below threshold)",11,1,18501,12275,6226,18501,0,5949,968,5350,7.880325865580448,8.816712610129182,0.289173558186044,0.4580479452054795,0.3365223501432355,96731.0,163118.0
"A: Pre-threshold gap
(0.30 gap below threshold)",11,2,18603,10547,8056,18603,0,5205,875,4458,8.303403811510382,8.759662420039778,0.23963876794065472,0.38167808219178084,0.43304843304843305,87576.0,162956.0
"A: Pre-threshold gap
(0.30 gap below threshold)",12,1,18302,12378,5924,18302,0,5838,981,5559,7.678542575537244,8.579881980111463,0.3037372964703311,0.4759417808219178,0.32368047207955414,95045.0,157029.0
"A: Pre-threshold gap
(0.30 gap below threshold)",12,2,18377,10392,7985,18377,0,5269,866,4257,8.185719784449576,8.600043532676715,0.2316482559721391,0.36446917808219176,0.4345105294661806,85066.0,158043.0
"A: Pre-threshold gap
(0.30 gap below threshold)",13,1,18417,12459,5958,18417,0,5931,1022,5498,7.677181154185729,8.565292935874464,0.2985285334202096,0.47071917808219177,0.323505456914807,95650.0,157747.0
"A: Pre-threshold gap
(0.30 gap below threshold)",13,2,18248,10290,7958,18248,0,5123,853,4306,8.123420796890185,8.562856203419553,0.23597106532222709,0.3686643835616438,0.4361025865848312,83590.0,156255.0
"A: Pre-threshold gap
(0.30 gap below threshold)",14,1,18282,12311,5971,18282,0,5807,897,5601,7.680204694988222,8.597527622798381,0.3063669182802757,0.4795376712328767,0.32660540422273276,94551.0,157180.0
"A: Pre-threshold gap
(0.30 gap below threshold)",14,2,18264,10424,7840,18264,0,5254,898,4263,8.202321565617805,8.620565045992116,0.23340998685939554,0.36498287671232876,0.4292597459483136,85501.0,157446.0
"A: Pre-threshold gap
(0.30 gap below threshold)",15,1,18502,12504,5998,18502,0,5996,928,5578,7.777431222008957,8.668954707599179,0.3014809209815155,0.47756849315068495,0.32418116960328613,97249.0,160393.0
"A: Pre-threshold gap
(0.30 gap below threshold)",15,2,18211,10339,7872,18211,0,5166,878,4294,8.199245575007254,8.645763549503048,0.23579155455493933,0.3676369863013699,0.43226621272857063,84772.0,157448.0
"A: Pre-threshold gap
(0.30 gap below threshold)",16,1,18224,12197,6027,18224,0,5817,1005,5375,7.766090022136591,8.674989025460931,0.29494073748902544,0.4601883561643836,0.33071773485513606,94723.0,158093.0
