study,w1,c,gamma,served_rate_min,best Q,strict beats FCFS?,binding constraint or main failure mode,mean strict-minus-FCFS objective
A: utilization-first,1.0,0.0,0.0,0.45,0,False,objective does not beat FCFS,0.0
A: utilization-first,1.0,0.0,0.0,0.55,0,False,objective does not beat FCFS,0.0
A: utilization-first,1.0,0.0,0.0,0.65,0,False,service-rate guardrail,0.0
A: utilization-first,1.0,0.0,0.0,0.7,0,False,service-rate guardrail,0.0
B: wait-adjusted,1.0,0.0,0.0,0.45,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.0,0.0,0.0,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.0,0.0,0.0,0.65,0,False,service-rate guardrail,0.0
B: wait-adjusted,1.0,0.0,0.0,0.7,0,False,service-rate guardrail,0.0
B: wait-adjusted,1.0,0.0,0.02,0.45,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.0,0.0,0.02,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.0,0.0,0.02,0.65,0,False,service-rate guardrail,0.0
B: wait-adjusted,1.0,0.0,0.02,0.7,0,False,service-rate guardrail,0.0
B: wait-adjusted,1.0,0.0,0.05,0.45,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.0,0.0,0.05,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.0,0.0,0.05,0.65,0,False,service-rate guardrail,0.0
B: wait-adjusted,1.0,0.0,0.05,0.7,0,False,service-rate guardrail,0.0
B: wait-adjusted,1.0,0.0,0.1,0.45,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.0,0.0,0.1,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.0,0.0,0.1,0.65,20,False,service-rate guardrail,0.00020883831147642252
B: wait-adjusted,1.0,0.0,0.1,0.7,20,False,service-rate guardrail,0.00020883831147642252
B: wait-adjusted,1.0,0.02,0.0,0.45,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.0,0.02,0.0,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.0,0.02,0.0,0.65,0,False,service-rate guardrail,0.0
B: wait-adjusted,1.0,0.02,0.0,0.7,0,False,service-rate guardrail,0.0
B: wait-adjusted,1.0,0.02,0.02,0.45,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.0,0.02,0.02,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.0,0.02,0.02,0.65,0,False,service-rate guardrail,0.0
B: wait-adjusted,1.0,0.02,0.02,0.7,0,False,service-rate guardrail,0.0
B: wait-adjusted,1.0,0.02,0.05,0.45,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,1.0,0.02,0.05,0.55,0,False,objective does not beat FCFS,0.0
