h1,h2,tau1,tau2,balk_high,mean,std,n,se,ci95,metric
2,2,5,9,0.3,1.0,0.0,50,0.0,0.0,average_utilization
2,2,5,9,0.5,1.0,0.0,50,0.0,0.0,average_utilization
2,2,5,9,0.7,1.0,0.0,50,0.0,0.0,average_utilization
2,2,5,12,0.3,1.0,0.0,50,0.0,0.0,average_utilization
2,2,5,12,0.5,1.0,0.0,50,0.0,0.0,average_utilization
2,2,5,12,0.7,1.0,0.0,50,0.0,0.0,average_utilization
2,2,9,5,0.3,1.0,0.0,50,0.0,0.0,average_utilization
2,2,9,5,0.5,1.0,0.0,50,0.0,0.0,average_utilization
2,2,9,5,0.7,1.0,0.0,50,0.0,0.0,average_utilization
2,2,9,9,0.3,1.0,0.0,50,0.0,0.0,average_utilization
2,2,9,9,0.5,1.0,0.0,50,0.0,0.0,average_utilization
2,2,9,9,0.7,1.0,0.0,50,0.0,0.0,average_utilization
2,2,12,12,0.3,1.0,0.0,50,0.0,0.0,average_utilization
2,2,12,12,0.5,1.0,0.0,50,0.0,0.0,average_utilization
2,2,12,12,0.7,1.0,0.0,50,0.0,0.0,average_utilization
2,5,5,9,0.3,1.0,0.0,50,0.0,0.0,average_utilization
2,5,5,9,0.5,1.0,0.0,50,0.0,0.0,average_utilization
2,5,5,9,0.7,1.0,0.0,50,0.0,0.0,average_utilization
2,5,5,12,0.3,1.0,0.0,50,0.0,0.0,average_utilization
2,5,5,12,0.5,1.0,0.0,50,0.0,0.0,average_utilization
2,5,5,12,0.7,1.0,0.0,50,0.0,0.0,average_utilization
2,5,9,5,0.3,1.0,0.0,50,0.0,0.0,average_utilization
2,5,9,5,0.5,1.0,0.0,50,0.0,0.0,average_utilization
2,5,9,5,0.7,1.0,0.0,50,0.0,0.0,average_utilization
2,5,9,9,0.3,1.0,0.0,50,0.0,0.0,average_utilization
2,5,9,9,0.5,1.0,0.0,50,0.0,0.0,average_utilization
2,5,9,9,0.7,1.0,0.0,50,0.0,0.0,average_utilization
2,5,12,12,0.3,1.0,0.0,50,0.0,0.0,average_utilization
2,5,12,12,0.5,1.0,0.0,50,0.0,0.0,average_utilization
2,5,12,12,0.7,1.0,0.0,50,0.0,0.0,average_utilization
2,7,5,9,0.3,1.0,0.0,50,0.0,0.0,average_utilization
2,7,5,9,0.5,1.0,0.0,50,0.0,0.0,average_utilization
2,7,5,9,0.7,1.0,0.0,50,0.0,0.0,average_utilization
2,7,5,12,0.3,1.0,0.0,50,0.0,0.0,average_utilization
2,7,5,12,0.5,1.0,0.0,50,0.0,0.0,average_utilization
2,7,5,12,0.7,1.0,0.0,50,0.0,0.0,average_utilization
2,7,9,5,0.3,1.0,0.0,50,0.0,0.0,average_utilization
2,7,9,5,0.5,1.0,0.0,50,0.0,0.0,average_utilization
2,7,9,5,0.7,1.0,0.0,50,0.0,0.0,average_utilization
2,7,9,9,0.3,1.0,0.0,50,0.0,0.0,average_utilization
2,7,9,9,0.5,1.0,0.0,50,0.0,0.0,average_utilization
2,7,9,9,0.7,1.0,0.0,50,0.0,0.0,average_utilization
2,7,12,12,0.3,1.0,0.0,50,0.0,0.0,average_utilization
2,7,12,12,0.5,1.0,0.0,50,0.0,0.0,average_utilization
2,7,12,12,0.7,1.0,0.0,50,0.0,0.0,average_utilization
2,10,5,9,0.3,0.8709811643835615,0.010005406860727662,50,0.0014149782079501873,0.002773357287582367,average_utilization
2,10,5,9,0.5,0.8709811643835615,0.010005406860727662,50,0.0014149782079501873,0.002773357287582367,average_utilization
2,10,5,9,0.7,0.8709811643835615,0.010005406860727662,50,0.0014149782079501873,0.002773357287582367,average_utilization
2,10,5,12,0.3,0.8709811643835615,0.010005406860727662,50,0.0014149782079501873,0.002773357287582367,average_utilization
2,10,5,12,0.5,0.8709811643835615,0.010005406860727662,50,0.0014149782079501873,0.002773357287582367,average_utilization
2,10,5,12,0.7,0.8709811643835615,0.010005406860727662,50,0.0014149782079501873,0.002773357287582367,average_utilization
2,10,9,5,0.3,0.999859589041096,0.00014754362866928333,50,2.086582007058403e-05,4.089700733834469e-05,average_utilization
2,10,9,5,0.5,1.0,0.0,50,0.0,0.0,average_utilization
2,10,9,5,0.7,1.0,0.0,50,0.0,0.0,average_utilization
2,10,9,9,0.3,0.8709811643835615,0.010005406860727662,50,0.0014149782079501873,0.002773357287582367,average_utilization
2,10,9,9,0.5,0.8709811643835615,0.010005406860727662,50,0.0014149782079501873,0.002773357287582367,average_utilization
2,10,9,9,0.7,0.8709811643835615,0.010005406860727662,50,0.0014149782079501873,0.002773357287582367,average_utilization
2,10,12,12,0.3,0.8709811643835615,0.010005406860727662,50,0.0014149782079501873,0.002773357287582367,average_utilization
2,10,12,12,0.5,0.8709811643835615,0.010005406860727662,50,0.0014149782079501873,0.002773357287582367,average_utilization
2,10,12,12,0.7,0.8709811643835615,0.010005406860727662,50,0.0014149782079501873,0.002773357287582367,average_utilization
2,14,5,9,0.3,0.8709931506849315,0.010029384038903674,50,0.0014183690930065825,0.0027800034222929017,average_utilization
2,14,5,9,0.5,0.8710376712328767,0.0100733195818966,50,0.0014245825170836645,0.0027921817334839822,average_utilization
2,14,5,9,0.7,0.8711849315068493,0.009933090717503933,50,0.001404751160897636,0.0027533122753593663,average_utilization
2,14,5,12,0.3,0.8702876712328766,0.010232799453043081,50,0.0014471363767537514,0.0028363872984373526,average_utilization
2,14,5,12,0.5,0.8702876712328766,0.010232799453043081,50,0.0014471363767537514,0.0028363872984373526,average_utilization
2,14,5,12,0.7,0.8702876712328766,0.010232799453043081,50,0.0014471363767537514,0.0028363872984373526,average_utilization
2,14,9,5,0.3,0.999859589041096,0.00014754362866928333,50,2.086582007058403e-05,4.089700733834469e-05,average_utilization
2,14,9,5,0.5,1.0,0.0,50,0.0,0.0,average_utilization
