h1,h2,tau1,tau2,balk_high,class_id,mean,std,n,se,ci95
2,2,5,9,0.3,1,0.6799050606929989,0.0030529207425430195,50,0.0004317481918954478,0.0008462264561150777
2,2,5,9,0.3,2,0.6800515451248672,0.0025974615462584795,50,0.0003673365346461332,0.0007199796079064211
2,2,5,9,0.5,1,0.6799050606929989,0.0030529207425430195,50,0.0004317481918954478,0.0008462264561150777
2,2,5,9,0.5,2,0.6800515451248672,0.0025974615462584795,50,0.0003673365346461332,0.0007199796079064211
2,2,5,9,0.7,1,0.6799050606929989,0.0030529207425430195,50,0.0004317481918954478,0.0008462264561150777
2,2,5,9,0.7,2,0.6800515451248672,0.0025974615462584795,50,0.0003673365346461332,0.0007199796079064211
2,2,5,12,0.3,1,0.6799050606929989,0.0030529207425430195,50,0.0004317481918954478,0.0008462264561150777
2,2,5,12,0.3,2,0.6800515451248672,0.0025974615462584795,50,0.0003673365346461332,0.0007199796079064211
2,2,5,12,0.5,1,0.6799050606929989,0.0030529207425430195,50,0.0004317481918954478,0.0008462264561150777
2,2,5,12,0.5,2,0.6800515451248672,0.0025974615462584795,50,0.0003673365346461332,0.0007199796079064211
2,2,5,12,0.7,1,0.6799050606929989,0.0030529207425430195,50,0.0004317481918954478,0.0008462264561150777
2,2,5,12,0.7,2,0.6800515451248672,0.0025974615462584795,50,0.0003673365346461332,0.0007199796079064211
2,2,9,5,0.3,1,0.6799050606929989,0.0030529207425430195,50,0.0004317481918954478,0.0008462264561150777
2,2,9,5,0.3,2,0.6800515451248672,0.0025974615462584795,50,0.0003673365346461332,0.0007199796079064211
2,2,9,5,0.5,1,0.6799050606929989,0.0030529207425430195,50,0.0004317481918954478,0.0008462264561150777
2,2,9,5,0.5,2,0.6800515451248672,0.0025974615462584795,50,0.0003673365346461332,0.0007199796079064211
2,2,9,5,0.7,1,0.6799050606929989,0.0030529207425430195,50,0.0004317481918954478,0.0008462264561150777
2,2,9,5,0.7,2,0.6800515451248672,0.0025974615462584795,50,0.0003673365346461332,0.0007199796079064211
2,2,9,9,0.3,1,0.6799050606929989,0.0030529207425430195,50,0.0004317481918954478,0.0008462264561150777
2,2,9,9,0.3,2,0.6800515451248672,0.0025974615462584795,50,0.0003673365346461332,0.0007199796079064211
2,2,9,9,0.5,1,0.6799050606929989,0.0030529207425430195,50,0.0004317481918954478,0.0008462264561150777
2,2,9,9,0.5,2,0.6800515451248672,0.0025974615462584795,50,0.0003673365346461332,0.0007199796079064211
2,2,9,9,0.7,1,0.6799050606929989,0.0030529207425430195,50,0.0004317481918954478,0.0008462264561150777
2,2,9,9,0.7,2,0.6800515451248672,0.0025974615462584795,50,0.0003673365346461332,0.0007199796079064211
2,2,12,12,0.3,1,0.6799050606929989,0.0030529207425430195,50,0.0004317481918954478,0.0008462264561150777
2,2,12,12,0.3,2,0.6800515451248672,0.0025974615462584795,50,0.0003673365346461332,0.0007199796079064211
2,2,12,12,0.5,1,0.6799050606929989,0.0030529207425430195,50,0.0004317481918954478,0.0008462264561150777
2,2,12,12,0.5,2,0.6800515451248672,0.0025974615462584795,50,0.0003673365346461332,0.0007199796079064211
2,2,12,12,0.7,1,0.6799050606929989,0.0030529207425430195,50,0.0004317481918954478,0.0008462264561150777
2,2,12,12,0.7,2,0.6800515451248672,0.0025974615462584795,50,0.0003673365346461332,0.0007199796079064211
2,5,5,9,0.3,1,0.968187967183152,0.0012249371387273084,50,0.0001732322714642653,0.00033953525206996
2,5,5,9,0.3,2,0.20000494016215636,0.007221558517206828,50,0.0010212825996504834,0.0020017138953149476
2,5,5,9,0.5,1,0.968187967183152,0.0012249371387273084,50,0.0001732322714642653,0.00033953525206996
2,5,5,9,0.5,2,0.20000494016215636,0.007221558517206828,50,0.0010212825996504834,0.0020017138953149476
2,5,5,9,0.7,1,0.968187967183152,0.0012249371387273084,50,0.0001732322714642653,0.00033953525206996
2,5,5,9,0.7,2,0.20000494016215636,0.007221558517206828,50,0.0010212825996504834,0.0020017138953149476
2,5,5,12,0.3,1,0.968187967183152,0.0012249371387273084,50,0.0001732322714642653,0.00033953525206996
2,5,5,12,0.3,2,0.20000494016215636,0.007221558517206828,50,0.0010212825996504834,0.0020017138953149476
2,5,5,12,0.5,1,0.968187967183152,0.0012249371387273084,50,0.0001732322714642653,0.00033953525206996
2,5,5,12,0.5,2,0.20000494016215636,0.007221558517206828,50,0.0010212825996504834,0.0020017138953149476
2,5,5,12,0.7,1,0.968187967183152,0.0012249371387273084,50,0.0001732322714642653,0.00033953525206996
2,5,5,12,0.7,2,0.20000494016215636,0.007221558517206828,50,0.0010212825996504834,0.0020017138953149476
2,5,9,5,0.3,1,0.968187967183152,0.0012249371387273084,50,0.0001732322714642653,0.00033953525206996
2,5,9,5,0.3,2,0.20000494016215636,0.007221558517206828,50,0.0010212825996504834,0.0020017138953149476
2,5,9,5,0.5,1,0.968187967183152,0.0012249371387273084,50,0.0001732322714642653,0.00033953525206996
2,5,9,5,0.5,2,0.20000494016215636,0.007221558517206828,50,0.0010212825996504834,0.0020017138953149476
2,5,9,5,0.7,1,0.968187967183152,0.0012249371387273084,50,0.0001732322714642653,0.00033953525206996
2,5,9,5,0.7,2,0.20000494016215636,0.007221558517206828,50,0.0010212825996504834,0.0020017138953149476
2,5,9,9,0.3,1,0.968187967183152,0.0012249371387273084,50,0.0001732322714642653,0.00033953525206996
2,5,9,9,0.3,2,0.20000494016215636,0.007221558517206828,50,0.0010212825996504834,0.0020017138953149476
2,5,9,9,0.5,1,0.968187967183152,0.0012249371387273084,50,0.0001732322714642653,0.00033953525206996
2,5,9,9,0.5,2,0.20000494016215636,0.007221558517206828,50,0.0010212825996504834,0.0020017138953149476
2,5,9,9,0.7,1,0.968187967183152,0.0012249371387273084,50,0.0001732322714642653,0.00033953525206996
2,5,9,9,0.7,2,0.20000494016215636,0.007221558517206828,50,0.0010212825996504834,0.0020017138953149476
2,5,12,12,0.3,1,0.968187967183152,0.0012249371387273084,50,0.0001732322714642653,0.00033953525206996
2,5,12,12,0.3,2,0.20000494016215636,0.007221558517206828,50,0.0010212825996504834,0.0020017138953149476
2,5,12,12,0.5,1,0.968187967183152,0.0012249371387273084,50,0.0001732322714642653,0.00033953525206996
2,5,12,12,0.5,2,0.20000494016215636,0.007221558517206828,50,0.0010212825996504834,0.0020017138953149476
2,5,12,12,0.7,1,0.968187967183152,0.0012249371387273084,50,0.0001732322714642653,0.00033953525206996
2,5,12,12,0.7,2,0.20000494016215636,0.007221558517206828,50,0.0010212825996504834,0.0020017138953149476
2,7,5,9,0.3,1,0.9680439809638819,0.0012942216343719197,50,0.00018303057880454418,0.0003587399344569066
2,7,5,9,0.3,2,0.07977251686316239,0.007627317575420897,50,0.0010786655959686905,0.0021141845680986335
2,7,5,9,0.5,1,0.9680439809638819,0.0012942216343719197,50,0.00018303057880454418,0.0003587399344569066
2,7,5,9,0.5,2,0.07977251686316239,0.007627317575420897,50,0.0010786655959686905,0.0021141845680986335
2,7,5,9,0.7,1,0.9680439809638819,0.0012942216343719197,50,0.00018303057880454418,0.0003587399344569066
2,7,5,9,0.7,2,0.07977251686316239,0.007627317575420897,50,0.0010786655959686905,0.0021141845680986335
2,7,5,12,0.3,1,0.9680439809638819,0.0012942216343719197,50,0.00018303057880454418,0.0003587399344569066
2,7,5,12,0.3,2,0.07977251686316239,0.007627317575420897,50,0.0010786655959686905,0.0021141845680986335
2,7,5,12,0.5,1,0.9680439809638819,0.0012942216343719197,50,0.00018303057880454418,0.0003587399344569066
2,7,5,12,0.5,2,0.07977251686316239,0.007627317575420897,50,0.0010786655959686905,0.0021141845680986335
2,7,5,12,0.7,1,0.9680439809638819,0.0012942216343719197,50,0.00018303057880454418,0.0003587399344569066
2,7,5,12,0.7,2,0.07977251686316239,0.007627317575420897,50,0.0010786655959686905,0.0021141845680986335
2,7,9,5,0.3,1,0.9681533733651752,0.0013777494262072587,50,0.00019484319240940548,0.00038189265712243475
2,7,9,5,0.3,2,0.0005564005889295871,0.0005395078239648287,50,7.629792816574571e-05,0.0001495439392048616
2,7,9,5,0.5,1,0.967838744741767,0.0012048915707278676,50,0.00017039740005123715,0.0003339789041004248
2,7,9,5,0.5,2,0.0,0.0,50,0.0,0.0
2,7,9,5,0.7,1,0.9679589115604912,0.0012898783066257098,50,0.00018241633950409205,0.0003575360254280204
2,7,9,5,0.7,2,0.0,0.0,50,0.0,0.0
2,7,9,9,0.3,1,0.9680439809638819,0.0012942216343719197,50,0.00018303057880454418,0.0003587399344569066
2,7,9,9,0.3,2,0.07977251686316239,0.007627317575420897,50,0.0010786655959686905,0.0021141845680986335
2,7,9,9,0.5,1,0.9680439809638819,0.0012942216343719197,50,0.00018303057880454418,0.0003587399344569066
2,7,9,9,0.5,2,0.07977251686316239,0.007627317575420897,50,0.0010786655959686905,0.0021141845680986335
2,7,9,9,0.7,1,0.9680439809638819,0.0012942216343719197,50,0.00018303057880454418,0.0003587399344569066
2,7,9,9,0.7,2,0.07977251686316239,0.007627317575420897,50,0.0010786655959686905,0.0021141845680986335
2,7,12,12,0.3,1,0.9680439809638819,0.0012942216343719197,50,0.00018303057880454418,0.0003587399344569066
2,7,12,12,0.3,2,0.07977251686316239,0.007627317575420897,50,0.0010786655959686905,0.0021141845680986335
2,7,12,12,0.5,1,0.9680439809638819,0.0012942216343719197,50,0.00018303057880454418,0.0003587399344569066
2,7,12,12,0.5,2,0.07977251686316239,0.007627317575420897,50,0.0010786655959686905,0.0021141845680986335
